entry_time,intercept,ivol90,tvol90,max28,mom90,beta90,log_volume30
2022-01-01 00:00:00+00:00,-2.168404344971009e-17,-0.40143262631891086,0.49003724943754307,0.027215953559820958,-0.04300642125886956,-0.18372518443270547,0.008680057168955261
2022-02-01 00:00:00+00:00,-1.214306433183765e-17,-0.06281702940480688,0.1908487635172838,-0.05067298855581118,-0.03534719314386315,-0.1824235385996944,-0.00810018667266935
2022-03-01 00:00:00+00:00,4.163336342344337e-17,-1.4969630250303951,2.43625751379515,0.1252187435362236,-0.23394548929629283,-1.165003172480821,-0.19184571308563808
2022-04-01 00:00:00+00:00,5.9843806602085516e-18,0.2877793711794142,-0.2884165157925854,-0.03067755019555039,-0.12160103910172608,0.05240830585050477,-0.0190222525323391
2022-05-01 00:00:00+00:00,1.2224524519892283e-17,0.0473173800201902,-0.007774013148268272,-0.008505011719792186,0.0023807742964989873,-0.11443221591166051,-0.038867858570276526
2022-06-01 00:00:00+00:00,1.58476431682528e-17,-0.5299647841003334,0.712669577753366,0.08297176776924063,0.0018435502152962338,-0.3783743623673124,0.005023310048701114
2022-07-01 00:00:00+00:00,6.245004513516506e-17,0.3661095460832508,-0.7074559747131871,0.022909428046823915,0.009317337115154943,0.5383945900533397,0.0012717344712458306
2022-08-01 00:00:00+00:00,6.938893903907228e-18,0.19326644889202405,-0.38773418734736326,-0.015116890732780837,-0.0210287208645035,0.23722818753955913,0.0010288909075574885
2022-09-01 00:00:00+00:00,8.673617379884035e-18,0.21722239224722298,-0.5698872559398578,-0.004718114667225055,0.054785102408577556,0.30791946145482585,0.013633130110938457
2022-10-01 00:00:00+00:00,2.5720882502897765e-18,0.03711669065477025,-0.24970131247549174,-0.016403214783656174,0.05103336777360276,0.20147456446782858,-0.01931248769904823
2022-11-01 00:00:00+00:00,-2.0816681711721685e-17,0.1762913304976557,-0.44247142992928074,0.008054188321052161,0.14403118540050347,0.34640588622106955,-0.05027755603491475
2022-12-01 00:00:00+00:00,4.7704895589362195e-18,0.22195869443427513,-0.9189349501298434,-0.021700850274796027,0.044399113822418186,0.7387369150607568,-0.014745737499280598
2023-01-01 00:00:00+00:00,4.206704429243757e-17,0.030000826002966052,-0.4412358508527465,0.03828767973661212,-0.05027773490173487,0.6355402130379078,-0.007672900128929867
2023-02-01 00:00:00+00:00,2.0816681711721685e-17,0.16507487822833367,-0.5687620275799008,0.0327967999204001,0.01070537707752203,0.40756251418125333,-0.04743149462753518
2023-03-01 00:00:00+00:00,1.734723475976807e-17,0.27888349768284837,-0.5814370776149109,0.023123673758342508,-0.09455653765695275,0.3560219097739876,0.022079808099575177
2023-04-01 00:00:00+00:00,-3.469446951953614e-18,0.10327507765962307,-0.18446308855204596,-0.03414168732823626,-0.014053539112912482,0.14732294843333107,0.03663545355760161
2023-05-01 00:00:00+00:00,2.0816681711721685e-17,-0.0140101754311453,0.17304177631500903,-0.03722392341178139,-0.018893235646117452,-0.17829642081132452,0.01734736714914276
2023-06-01 00:00:00+00:00,4.5102810375396984e-17,0.25185720489660074,-0.692191617736407,0.3207826951288533,-0.12104575545778128,0.2572095122579956,0.00531717133924847
2023-07-01 00:00:00+00:00,6.938893903907228e-18,0.15981090950993088,-0.29798691373893826,0.06043972931469565,-0.06782151765380817,0.1257855233281868,0.053864119651462886
2023-08-01 00:00:00+00:00,6.938893903907228e-18,-0.6845118453588817,0.8289124787876342,0.021886097091091097,-0.03544771939513282,-0.35501452817809653,-0.0265899846874445
2023-09-01 00:00:00+00:00,-5.421010862427522e-18,0.1813810986668377,-0.3044482245340311,-0.0037177021357461433,0.048216070379039036,0.15077119878409972,0.0037130343113118414
2023-10-01 00:00:00+00:00,2.36725175064431e-18,-0.5420825012950213,0.6450317708330499,0.030953005531862532,0.1393868836218466,-0.20998062190901623,0.07128358938635238
2023-11-01 00:00:00+00:00,-2.7755575615628914e-17,-1.4092494384980216,2.0143428033311532,-0.023578127693069398,0.12797604982443944,-0.7591264490607191,0.029756025835852257
2023-12-01 00:00:00+00:00,6.245004513516506e-17,2.3428384338032533,-3.932081509140182,-0.05287148904803612,-0.07487825384333771,2.0338468169372335,0.029284995843575117
