entry_time,signal_cutoff,exit_time,holding_days,symbol,category,eligible_count,ivol60,ivol90,ivol120,alpha90,beta90,tvol90,max28,mom90,log_volume30,entry_price,exit_price,target_asset_return,target_market_return,target_excess_return,selection_rank
2022-01-01 00:00:00+00:00,2021-12-30 00:00:00+00:00,2022-02-01 00:00:00+00:00,31,CRVUSDT,DeFi,23,0.0627550338227881,0.0643942808229234,0.0623610489004635,0.0092438696239998,1.0508613992069902,0.0773084542141888,0.1184686716105656,0.7029801014761843,19.37411676107368,5.314,3.269,-0.3848325178773052,-0.2848087632568392,-0.1000237546204659,1
2022-01-01 00:00:00+00:00,2021-12-30 00:00:00+00:00,2022-02-01 00:00:00+00:00,31,NEARUSDT,Layer-1,23,0.0642525248009759,0.0604891706062366,0.0798530097608869,0.0090944733438236,1.1663209894080826,0.0767590416300401,0.2360626296336687,0.6767548473711384,20.144651030853208,14.5988,11.112,-0.2388415486204346,-0.2848087632568392,0.0459672146364046,2
2022-01-01 00:00:00+00:00,2021-12-30 00:00:00+00:00,2022-02-01 00:00:00+00:00,31,ZECUSDT,PoW,23,0.0593064099186036,0.0523230454732126,0.0470009054952206,0.0044997594246742,1.0991373313341566,0.0688077273553406,0.0540408027614667,0.2906840978088647,18.474085585685163,146.38,94.42,-0.3549665254816231,-0.2848087632568392,-0.0701577622247838,3
2022-01-01 00:00:00+00:00,2021-12-30 00:00:00+00:00,2022-02-01 00:00:00+00:00,31,AVAXUSDT,Layer-1,23,0.0579325372971258,0.0498083708410817,0.0591597832647253,0.0056583974790168,0.93151567767162,0.0627419091908321,0.1491937632079567,0.4074477666507574,20.40898150361328,109.441,69.82,-0.3620306831991667,-0.2848087632568392,-0.0772219199423275,4
2022-01-01 00:00:00+00:00,2021-12-30 00:00:00+00:00,2022-02-01 00:00:00+00:00,31,RUNEUSDT,DeFi,23,0.0412872861950904,0.0496629710896676,0.0484344369557923,-0.0005562760632634,1.1663686143063894,0.0685756334277498,0.1019115227927649,-0.1480879012371536,18.321069695414565,6.793,4.121,-0.3933460915648461,-0.2848087632568392,-0.1085373283080068,5
2022-02-01 00:00:00+00:00,2022-01-30 00:00:00+00:00,2022-03-01 00:00:00+00:00,28,NEARUSDT,Layer-1,24,0.0770761477829654,0.0661452654150796,0.0628776403041168,0.0085861180923363,1.1184085142239473,0.0822304781597886,0.1544058483785639,0.0188424311097419,20.67948122027125,11.112,9.749,-0.1226601871850251,0.0218992410107366,-0.1445594281957617,1
2022-02-01 00:00:00+00:00,2022-01-30 00:00:00+00:00,2022-03-01 00:00:00+00:00,28,CRVUSDT,DeFi,24,0.0476950470637748,0.0571418372641938,0.0598742837887877,0.0046073348495337,1.1607165864529934,0.0763504802786188,0.0748056892281998,-0.3491942026468617,19.61188443316997,3.269,2.438,-0.2542061792597124,0.0218992410107366,-0.2761054202704491,2
2022-02-01 00:00:00+00:00,2022-01-30 00:00:00+00:00,2022-03-01 00:00:00+00:00,28,ZECUSDT,PoW,24,0.0241575292031779,0.0513237379042081,0.0476437118940013,0.0006895956208479,1.0280406820996262,0.0683305334124839,0.0549794246509476,-0.603128046782615,18.127366596475788,94.42,118.51,0.2551366235966956,0.0218992410107366,0.233237382585959,3
2022-02-01 00:00:00+00:00,2022-01-30 00:00:00+00:00,2022-03-01 00:00:00+00:00,28,AVAXUSDT,Layer-1,24,0.0432262583475629,0.0513070538388606,0.0462808439558257,0.0083894021392345,1.0525010443789466,0.0690000290845476,0.0801675353118245,0.0443962093020955,20.032715991716824,69.82,84.52,0.2105413921512462,0.0218992410107366,0.1886421511405096,4
2022-02-01 00:00:00+00:00,2022-01-30 00:00:00+00:00,2022-03-01 00:00:00+00:00,28,KAVAUSDT,DeFi,24,0.0472696865560801,0.0402305945230303,0.036743815125698,0.0006756222232625,1.0664821210373332,0.0616722795079608,0.1577712065905177,-0.628101136309895,18.49019316337162,3.268,3.4052,0.0419828641370869,0.0218992410107366,0.0200836231263503,5
2022-03-01 00:00:00+00:00,2022-02-27 00:00:00+00:00,2022-04-01 00:00:00+00:00,31,NEARUSDT,Layer-1,24,0.0529612782341687,0.0653306479152176,0.0592266856346697,0.0085283846003547,1.1274054681856456,0.0826003292905372,0.1697477834614713,0.008705310611063,19.663332590887368,9.749,13.306,0.3648579341470919,0.4350106388532785,-0.0701527047061866,1
2022-03-01 00:00:00+00:00,2022-02-27 00:00:00+00:00,2022-04-01 00:00:00+00:00,31,CRVUSDT,DeFi,24,0.0336368326511374,0.0421418327080816,0.051751748191377,0.0009309363258338,1.3231821821107586,0.0724286825934344,0.097003067164638,-0.7624753105800807,18.771681152327137,2.438,2.635,0.0808039376538145,0.4350106388532785,-0.354206701199464,2
2022-03-01 00:00:00+00:00,2022-02-27 00:00:00+00:00,2022-04-01 00:00:00+00:00,31,SNXUSDT,DeFi,24,0.0470322615331974,0.0405811404821461,0.0372106758115404,-0.0008123905673045,1.057020488543407,0.0625359123064854,0.1058849682724432,-0.7497329227221938,17.27521162437218,4.151,6.817,0.6422548783425681,0.4350106388532785,0.2072442394892895,3
2022-03-01 00:00:00+00:00,2022-02-27 00:00:00+00:00,2022-04-01 00:00:00+00:00,31,KAVAUSDT,DeFi,24,0.0452939147443478,0.0404647506271845,0.0362399214754216,0.002232111365834,1.0810422687003085,0.0632508712906961,0.0814721686413586,-0.502714825561444,17.288851685511194,3.4052,4.5097,0.3243568659696934,0.4350106388532785,-0.1106537728835851,4
2022-03-01 00:00:00+00:00,2022-02-27 00:00:00+00:00,2022-04-01 00:00:00+00:00,31,AVAXUSDT,Layer-1,24,0.0306216920349342,0.0388003263037753,0.046638096157783,0.003240232112801,1.174321754300198,0.0653682454959532,0.1279795382864366,-0.4741538928266822,20.30466002227944,84.52,97.46,0.1530998580217699,0.4350106388532785,-0.2819107808315086,5
2022-04-01 00:00:00+00:00,2022-03-30 00:00:00+00:00,2022-05-01 00:00:00+00:00,30,ZILUSDT,PoW,25,0.1049362097368852,0.0868774064057582,0.0763530793072693,0.010353146965558,1.2677767149491197,0.1025432089792802,0.6344143119186278,0.8315199637085691,16.938571049014,0.17974,0.07191,-0.5999221097140314,-0.2869233127429471,-0.3129987969710843,1
2022-04-01 00:00:00+00:00,2022-03-30 00:00:00+00:00,2022-05-01 00:00:00+00:00,30,RUNEUSDT,DeFi,25,0.0705512570248857,0.0611971400786618,0.0555629482771952,0.0070954170968815,1.230984966247198,0.0809938155843006,0.293476361481839,0.5553966367844723,19.90815960221504,11.489,6.05,-0.473409348072069,-0.2869233127429471,-0.1864860353291219,2
2022-04-01 00:00:00+00:00,2022-03-30 00:00:00+00:00,2022-05-01 00:00:00+00:00,30,NEARUSDT,Layer-1,25,0.0397609799801343,0.0519101997899577,0.0618265563540848,-0.0005203607614896,1.161488089410393,0.072227497018247,0.1760299574726547,-0.0939036140877278,19.864785615236386,13.306,10.323,-0.2241845783856906,-0.2869233127429471,0.0627387343572564,3
2022-04-01 00:00:00+00:00,2022-03-30 00:00:00+00:00,2022-05-01 00:00:00+00:00,30,SNXUSDT,DeFi,25,0.0414735882995594,0.0457865658945072,0.0411359706520796,0.0026440631514926,1.1299672957991649,0.0670128202447313,0.1891185243378415,0.1793085988051241,17.771121603757294,6.817,4.365,-0.3596890127622121,-0.2869233127429471,-0.072765700019265,4
2022-04-01 00:00:00+00:00,2022-03-30 00:00:00+00:00,2022-05-01 00:00:00+00:00,30,ZECUSDT,PoW,25,0.0510569732037235,0.0446079487963069,0.040594755583645,0.002972304056959,0.8180523676729883,0.0572418612866986,0.235266894723531,0.2235344562641348,19.01355195219773,178.32,113.81,-0.3617653656348137,-0.2869233127429471,-0.0748420528918666,5
2022-05-01 00:00:00+00:00,2022-04-29 00:00:00+00:00,2022-06-01 00:00:00+00:00,31,ZILUSDT,PoW,25,0.1142347264973752,0.0934910041897504,0.0815745557636577,0.0068966476356946,1.130169038096703,0.1047111833105238,0.121775294794646,0.6042836745867866,20.283741984632275,0.07191,0.05482,-0.2376581838409123,-0.2521552698591458,0.0144970860182335,1
2022-05-01 00:00:00+00:00,2022-04-29 00:00:00+00:00,2022-06-01 00:00:00+00:00,31,RUNEUSDT,DeFi,25,0.0743086516047446,0.0621971206458201,0.0565628623773667,0.0054378300838319,1.307434426578477,0.0825598694098886,0.1099781179869996,0.477331394116584,19.21386980690966,6.05,3.158,-0.4780165289256198,-0.2521552698591458,-0.225861259066474,2
2022-05-01 00:00:00+00:00,2022-04-29 00:00:00+00:00,2022-06-01 00:00:00+00:00,31,ZECUSDT,PoW,25,0.0530135808697813,0.0467836767473192,0.0427790628809861,0.003197905457126,0.9486074273556392,0.061545122366543,0.128127552981196,0.2865907947692365,18.606687473446385,113.81,93.21,-0.1810034267639048,-0.2521552698591458,0.071151843095241,3
2022-05-01 00:00:00+00:00,2022-04-29 00:00:00+00:00,2022-06-01 00:00:00+00:00,31,SNXUSDT,DeFi,25,0.0461597651401845,0.0452626067357799,0.0475861706434199,-0.0010888303022151,1.3275167034035351,0.0713287009400241,0.1774742375596298,-0.0794558078775495,18.185666112992525,4.365,3.122,-0.2847651775486828,-0.2521552698591458,-0.0326099076895369,4
2022-05-01 00:00:00+00:00,2022-04-29 00:00:00+00:00,2022-06-01 00:00:00+00:00,31,ENSUSDT,Infrastructure,25,0.0491270486665446,0.043501231496607,0.0411427657257925,-0.0025815156972738,1.1810260161007715,0.0657733562438658,0.2597902328081369,-0.2094464867097478,17.484390026249567,20.407,11.863,-0.4186798647522909,-0.2521552698591458,-0.166524594893145,5
2022-06-01 00:00:00+00:00,2022-05-30 00:00:00+00:00,2022-07-01 00:00:00+00:00,30,ZILUSDT,PoW,25,0.0570458920032244,0.0980760894402782,0.0852292476547902,0.0084068730659344,1.2459287312369196,0.120512573166739,0.324939547830323,0.222780509015795,19.535445470110982,0.05482,0.03871,-0.2938708500547246,-0.3262548146530962,0.0323839645983716,1
2022-06-01 00:00:00+00:00,2022-05-30 00:00:00+00:00,2022-07-01 00:00:00+00:00,30,ENSUSDT,Infrastructure,25,0.0777386553230145,0.0683620045364355,0.0610535505038666,0.0032685286022799,1.1824379144323056,0.0955187254385428,0.2104206328436584,-0.1920298586554882,19.253142649141605,11.863,8.594,-0.2755626738599005,-0.3262548146530962,0.0506921407931957,2
2022-06-01 00:00:00+00:00,2022-05-30 00:00:00+00:00,2022-07-01 00:00:00+00:00,30,1000XECUSDT,Payment,25,0.0663182013806467,0.0583032103676638,0.0516182998406925,0.0003237073698933,1.1529039397219585,0.0874231219376202,0.2812167026149899,-0.4333285014640275,16.545576116870475,0.0507,0.0383,-0.2445759368836292,-0.3262548146530962,0.081678877769467,3
2022-06-01 00:00:00+00:00,2022-05-30 00:00:00+00:00,2022-07-01 00:00:00+00:00,30,RUNEUSDT,DeFi,25,0.0363103422305409,0.0558873714225086,0.0567956626471108,0.0003308484185,1.3518993842117035,0.0941690214112745,0.2065251585348408,-0.5082861701974024,18.712772826362507,3.158,1.867,-0.40880303989867,-0.3262548146530962,-0.0825482252455738,4
2022-06-01 00:00:00+00:00,2022-05-30 00:00:00+00:00,2022-07-01 00:00:00+00:00,30,ZECUSDT,PoW,25,0.0405141978462262,0.050388974488636,0.0462419358871273,0.0019696863601447,0.885652303113952,0.0714031465520177,0.1177830356563829,-0.1870755231639949,18.449222406818187,93.21,54.5,-0.4152987876837248,-0.3262548146530962,-0.0890439730306286,5
2022-07-01 00:00:00+00:00,2022-06-29 00:00:00+00:00,2022-08-01 00:00:00+00:00,31,ENSUSDT,Infrastructure,24,0.0616670443545929,0.0687253351756817,0.0632854850661358,0.0062748507794234,1.182631024618065,0.0992319479465887,0.1257627660660274,-0.7153609908801597,17.896850249510386,8.594,14.294,0.6632534326274147,0.365926031590784,0.2973274010366306,1
2022-07-01 00:00:00+00:00,2022-06-29 00:00:00+00:00,2022-08-01 00:00:00+00:00,31,SNXUSDT,DeFi,24,0.0731223888630182,0.0662388311709432,0.0614136950628268,0.0036905978238477,1.2965888753493535,0.102419431345283,0.4467467670814681,-1.0522990879179543,17.603436478101564,2.281,3.556,0.5589653660675142,0.365926031590784,0.1930393344767302,2
2022-07-01 00:00:00+00:00,2022-06-29 00:00:00+00:00,2022-08-01 00:00:00+00:00,31,ZILUSDT,PoW,24,0.0461812991379867,0.0516414462561795,0.0870095110070458,-0.0038034562854306,1.1147066988893983,0.0851413659414857,0.1978480331646417,-1.5103564579689692,18.429969730794248,0.03871,0.04264,0.1015241539653835,0.365926031590784,-0.2644018776254005,3
2022-07-01 00:00:00+00:00,2022-06-29 00:00:00+00:00,2022-08-01 00:00:00+00:00,31,TRXUSDT,Layer-1,24,0.0522090310654868,0.0468880351311246,0.0413104437139446,0.00560541516676,0.5743537404375388,0.0589209202102764,0.1250572444047173,-0.1317749914434074,19.369560644739817,0.06474,0.06877,0.0622489959839356,0.365926031590784,-0.3036770356068484,4
2022-07-01 00:00:00+00:00,2022-06-29 00:00:00+00:00,2022-08-01 00:00:00+00:00,31,KAVAUSDT,DeFi,24,0.0460082752064194,0.0464704311198918,0.0430119350545054,0.0044393491056168,1.1801548986362755,0.0852585908937145,0.097312522195011,-0.8699441180196861,17.53356912926258,1.7707,1.8941,0.0696899531258823,0.365926031590784,-0.2962360784649017,5
2022-08-01 00:00:00+00:00,2022-07-30 00:00:00+00:00,2022-09-01 00:00:00+00:00,31,SNXUSDT,DeFi,24,0.0765554996478073,0.0663874779940704,0.0622072583579478,0.0036727125741774,1.264626541512929,0.1027776322779066,0.2337555120062906,-0.2800942592649498,18.371974701208327,3.556,2.954,-0.1692913385826771,-0.1283625537890612,-0.0409287847936158,1
2022-08-01 00:00:00+00:00,2022-07-30 00:00:00+00:00,2022-09-01 00:00:00+00:00,31,ENSUSDT,Infrastructure,24,0.0433184809047531,0.0554254572826917,0.0635139801719601,0.0008398832050224,1.212508045400016,0.0935880036339937,0.1954570463363394,-0.4983756308625842,18.06710063967385,14.294,12.47,-0.1276059885266545,-0.1283625537890612,0.0007565652624067,2
