entry_time,signal_cutoff,exit_time,holding_days,symbol,category,eligible_count,ivol60,ivol90,ivol120,alpha90,beta90,tvol90,max28,mom90,log_volume30,entry_price,exit_price,target_asset_return,target_market_return,target_excess_return
2022-01-01 00:00:00+00:00,2021-12-30 00:00:00+00:00,2022-02-01 00:00:00+00:00,31,AAVEUSDT,DeFi,23,0.03578918842896704,0.03437758846602313,0.03418717546113677,-0.0006693775293278456,0.9618307471083943,0.0522681941032637,0.17957496810553497,-0.1413710755849813,18.71793460088129,253.95,157.49,-0.3798385508958456,-0.28480876325683924,-0.09502978763900638
2022-01-01 00:00:00+00:00,2021-12-30 00:00:00+00:00,2022-02-01 00:00:00+00:00,31,AVAXUSDT,Layer-1,23,0.05793253729712587,0.04980837084108175,0.05915978326472534,0.005658397479016803,0.9315156776716201,0.06274190919083214,0.14919376320795674,0.40744776665075744,20.408981503613276,109.441,69.82,-0.36203068319916676,-0.28480876325683924,-0.07722191994232752
2022-01-01 00:00:00+00:00,2021-12-30 00:00:00+00:00,2022-02-01 00:00:00+00:00,31,BCHUSDT,Payment,23,0.023271328694186938,0.0228686213600232,0.021989979510140603,-0.0018394694162923422,0.8246879106686111,0.0409533268432043,0.047881426897915524,-0.23172483702897306,18.555581453276154,430.23,284.72,-0.33821444343723117,-0.28480876325683924,-0.053405680180391935
2022-01-01 00:00:00+00:00,2021-12-30 00:00:00+00:00,2022-02-01 00:00:00+00:00,31,BNBUSDT,Layer-1,23,0.02439036908596283,0.02607686765786499,0.02517367143686701,0.003069429694247107,0.6842080674375263,0.03852535235330718,0.05095252082828061,0.207682396687896,20.246149324835276,511.55,374.4,-0.2681067344345617,-0.28480876325683924,0.01670202882227756
2022-01-01 00:00:00+00:00,2021-12-30 00:00:00+00:00,2022-02-01 00:00:00+00:00,31,CRVUSDT,DeFi,23,0.06275503382278814,0.06439428082292348,0.062361048900463505,0.009243869623999841,1.0508613992069902,0.07730845421418882,0.11846867161056562,0.7029801014761843,19.374116761073676,5.314,3.269,-0.3848325178773052,-0.28480876325683924,-0.10002375462046598
2022-01-01 00:00:00+00:00,2021-12-30 00:00:00+00:00,2022-02-01 00:00:00+00:00,31,DASHUSDT,PoW,23,0.029730300704155235,0.02697855467006762,0.025490214365016653,-0.002240022729089602,1.0624375836841544,0.051026796446061486,0.0821075724418705,-0.284311991411478,17.68555089836426,133.62,94.11,-0.2956892680736417,-0.28480876325683924,-0.010880504816802472
2022-01-01 00:00:00+00:00,2021-12-30 00:00:00+00:00,2022-02-01 00:00:00+00:00,31,ETCUSDT,PoW,23,0.013011171260013346,0.01356358155509435,0.01548475937864443,-0.003833302978298605,0.8510862728872163,0.037561662230285994,0.05046026836551665,-0.4065257478697335,18.51401231876852,34.057,25.646,-0.24696831782012507,-0.28480876325683924,0.037840445436714165
2022-01-01 00:00:00+00:00,2021-12-30 00:00:00+00:00,2022-02-01 00:00:00+00:00,31,HBARUSDT,Layer-1,23,0.03689686088133548,0.03679199234605922,0.042512239488206864,-0.0013845743410446868,0.9948849157161579,0.054836893579772464,0.20397569379176805,-0.20562126857363716,17.626194139842084,0.29019,0.22169,-0.236052241634791,-0.28480876325683924,0.04875652162204824
2022-01-01 00:00:00+00:00,2021-12-30 00:00:00+00:00,2022-02-01 00:00:00+00:00,31,KAVAUSDT,DeFi,23,0.024362546974422087,0.023983540629347194,0.029945595604393496,-0.0039511869218121776,1.041692942896178,0.048806987311235804,0.07933463465502366,-0.4298124160505645,17.125057468034147,3.9518,3.268,-0.17303507262513285,-0.28480876325683924,0.11177369063170639
2022-01-01 00:00:00+00:00,2021-12-30 00:00:00+00:00,2022-02-01 00:00:00+00:00,31,LINKUSDT,Infrastructure,23,0.026930300408910257,0.024723009206947245,0.026688961805758256,-0.0021001059262047103,1.1392788156512856,0.05248105209655134,0.10673493463048755,-0.27802698150324545,19.68094407156884,19.514,17.145,-0.12140002049810394,-0.28480876325683924,0.1634087427587353
