candidate_id,direction,lookbacks_days,scenario,deflated_sharpe_probability,positive_component_count_base,days,total_return,cagr,annualized_volatility,sharpe,max_drawdown,calmar,daily_skew,daily_excess_kurtosis,positive_day_fraction,positive_month_fraction,return_2021,return_2022,return_2023,turnover,trade_events,active_days,price_pnl_on_initial_equity,funding_pnl_on_initial_equity,fee_cost_on_initial_equity,slippage_cost_on_initial_equity,terminal_liquidation
LONG_FULL_9,LONG_ONLY,5/10/20/30/60/90/150/250/360,favorable,0.7151788039780487,9,1095,0.07236000341754512,0.02357686861217778,0.05554163132867762,0.44696661300228435,-0.09811044190807827,0.24030947321863502,1.2725773276070447,13.969078558682053,0.3634703196347032,0.4444444444444444,0.014222521670967714,-0.04166606621331048,0.1032920551184695,6.974934821963771,226,850,0.12410268311852382,-0.047533937332306236,0.002805828245782735,0.0014029141228913676,True
LONG_FULL_9,LONG_ONLY,5/10/20/30/60/90/150/250/360,base,0.7151788039780487,9,1095,0.06639284080357277,0.021673465161911265,0.055539039648510403,0.4134928133658723,-0.10072362130660562,0.21517758079742397,1.2704459248601088,13.96142396340618,0.3634703196347032,0.4444444444444444,0.012924789900497391,-0.04346259699411026,0.1006216820685295,6.974819540561743,226,850,0.12364182801967356,-0.04745582100642364,0.0027980474884808544,0.0069951187212021326,True
LONG_FULL_9,LONG_ONLY,5/10/20/30/60/90/150/250/360,stress,0.7151788039780487,9,1095,0.0626802214824409,0.02048563068898246,0.05553798522145006,0.39256666644342236,-0.10235301251332729,0.20014682700536093,1.2690816790113206,13.956228670742991,0.3634703196347032,0.4166666666666667,0.012114546060107756,-0.04458371685309759,0.09895596929081751,6.974747542914709,226,850,0.12335507236787192,-0.047407154622643034,0.002793199213219231,0.010474497049572118,True
LONG_FAST_4,LONG_ONLY,5/10/20/30,favorable,0.7477983865129052,4,1095,0.09247787027613996,0.029942515967858796,0.05686986699138433,0.5467370790866468,-0.11182284162427913,0.26776743939726205,2.114984484009695,21.51157063614896,0.28036529680365296,0.3888888888888889,0.03866073206211307,-0.08385767873311023,0.14809014680850674,17.277729444602407,307,671,0.14391800051210932,-0.040877339588087466,0.007041860431919441,0.0035209302159597204,True
LONG_FAST_4,LONG_ONLY,5/10/20/30,base,0.7477983865129052,4,1095,0.07748095121213106,0.02520472660401496,0.05689376616234899,0.46554139449413984,-0.11792820437697038,0.21372941898992456,2.1085648425630468,21.503637228442233,0.2776255707762557,0.3611111111111111,0.035446306837133124,-0.0877299886861197,0.1406663209658805,17.27723171572364,307,671,0.14267941561069472,-0.040721837359223245,0.006993322011240446,0.01748330502810111,True
LONG_FAST_4,LONG_ONLY,5/10/20/30,stress,0.7477983865129052,4,1095,0.06821258000627362,0.022254675546354408,0.05691064974695563,0.414816896570594,-0.12174167182732354,0.18280244728296557,2.1042895387479135,21.496063520499963,0.27671232876712326,0.3333333333333333,0.03344233811007613,-0.0901418616790729,0.13605080669983804,17.27692080933867,307,671,0.14191323670552294,-0.040625394959294,0.0069632129978855406,0.026112048742070768,True
LONG_BALANCED_4,LONG_ONLY,20/30/60/90,favorable,0.7497724468979448,4,1095,0.08855932553020152,0.028708783342346944,0.060577875270834414,0.49712222646553883,-0.0828171401044121,0.34665267728579147,1.2157542437925142,15.977349251754948,0.2831050228310502,0.4166666666666667,0.02210293711960598,-0.04995387588463407,0.1210184900568585,5.484783308579146,97,664,0.1391474033437919,-0.04725317552307625,0.002223268193676852,0.001111634096838426,True
LONG_BALANCED_4,LONG_ONLY,20/30/60/90,base,0.7497724468979448,4,1095,0.08379323414288598,0.027204209485433894,0.06055720034422421,0.4731166216753555,-0.08455527843013522,0.3217328354954409,1.2124017172078407,15.977338259334715,0.2831050228310502,0.4166666666666667,0.02105486061147266,-0.050961150663650145,0.11844174284697373,5.484630808044774,97,664,0.13874678878705304,-0.047189172757739865,0.002218394824694994,0.005545987061737487,True
LONG_BALANCED_4,LONG_ONLY,20/30/60/90,stress,0.7497724468979448,4,1095,0.08082501078843918,0.026264962525894164,0.060545004823592666,0.4580999777124785,-0.08563994142344677,0.3066905708870938,1.2102899884655358,15.976837496665237,0.2831050228310502,0.4166666666666667,0.020400354601685322,-0.05159015276058265,0.11683426664191332,5.484535556533704,97,664,0.13849722200275794,-0.047149269117538264,0.002215356230901531,0.008307585865880741,True
LONG_SLOW_5,LONG_ONLY,60/90/150/250/360,favorable,0.700912534907819,5,1095,0.07214892812046636,0.023509660475185656,0.0629644524378954,0.40020786106856676,-0.12292045052738565,0.19125914666207558,0.9216964630069593,12.4984070793976,0.2785388127853881,0.3055555555555556,0.0022445144708604925,-0.0071336799327142986,0.07743393238279617,2.1711394441916867,41,640,0.12672928399242708,-0.05325975594546424,0.0008803999509970993,0.00044019997549854967,True
LONG_SLOW_5,LONG_ONLY,60/90/150/250/360,base,0.700912534907819,5,1095,0.07028823399849293,0.022916818095685576,0.06294983007954853,0.39108808178659615,-0.12391314393002395,0.18494259260040347,0.9203160428776789,12.49768469942551,0.2785388127853881,0.3055555555555556,0.0016509664111605815,-0.007218504078599475,0.07629336458155267,2.171076442468589,41,640,0.1265965513519725,-0.053229561807627584,0.000879644441672589,0.002199111104181473,True
LONG_SLOW_5,LONG_ONLY,60/90/150/250/360,stress,0.700912534907819,5,1095,0.0691269232148779,0.02254646052990461,0.06294103993545004,0.38538420326793943,-0.12453300020357105,0.18104807956965996,0.9194585967455146,12.497083032524756,0.2776255707762557,0.3055555555555556,0.0012801721046680203,-0.007271515373562409,0.07558111122569189,2.171037089538171,41,640,0.12651369982616753,-0.053210706318382754,0.0008791726932430846,0.003296897599661567,True
LONG_SHORT_FULL_9,LONG_SHORT,5/10/20/30/60/90/150/250/360,favorable,0.6321800358021532,8,1095,0.061648636520972966,0.020155089231453704,0.06384565323235615,0.34415069287232675,-0.09595083952638084,0.21005641358575336,1.1797223389992877,12.4249327086664,0.4611872146118721,0.4166666666666667,0.006600868982189034,0.0219862495973695,0.03199704265766279,14.703461572800618,391,1035,0.10887800214349024,-0.03822297090751593,0.006004263143334401,0.0030021315716672005,True
LONG_SHORT_FULL_9,LONG_SHORT,5/10/20/30/60/90/150/250/360,base,0.6321800358021532,8,1095,0.049233633418468425,0.016160166431881118,0.06384428264806548,0.2827390613275268,-0.10189965668725376,0.15858901744369205,1.1791192734123488,12.428380617167392,0.45662100456621,0.3888888888888889,0.0037617756534809033,0.01805472290790866,0.02676351317396297,14.703168269765278,391,1035,0.10823573581471906,-0.03810965038849996,0.00596927200221613,0.014923180005540332,True
LONG_SHORT_FULL_9,LONG_SHORT,5/10/20/30/60/90/150/250/360,stress,0.6321800358021532,8,1095,0.04154806972877556,0.013671281286885772,0.06384443451437474,0.24435283393065674,-0.10559778628666538,0.12946560498694987,1.1786892937048659,12.429850588837724,0.4529680365296804,0.3888888888888889,0.0019914046760700632,0.015605207854423098,0.02350602403739588,14.702985049371442,391,1035,0.10783825881449163,-0.03803936973900994,0.005947540915096853,0.022303278431613206,True
LONG_SHORT_BALANCED_4,LONG_SHORT,20/30/60/90,favorable,0.7022528376499543,4,1095,0.09488358202999758,0.030698480870320788,0.0772526364774426,0.4296719956671129,-0.1094539094637006,0.2804694781642465,0.6498901200098999,8.08044241066046,0.44474885844748857,0.5,0.03694143277132955,-0.007431702819293506,0.06378366220415099,10.322771186580404,162,991,0.14107870139810388,-0.03977756201879825,0.004278371566208453,0.0021391857831042265,True
