decision,entry,rankable,tail_size,low_return,high_return,high_minus_low,rank_ic,top_short_proxy,dvol_top_short_proxy,increment_vs_dvol
2022-05-14 00:00:00+00:00,2022-05-16 00:00:00+00:00,25,9,-0.036410737450346,-0.029093139317855385,0.007317598132490617,-0.03461538461538462,-0.056286970369655416,-0.056286970369655416,0.0
2022-05-21 00:00:00+00:00,2022-05-23 00:00:00+00:00,25,9,-0.035336618312322855,-0.11461229519695075,-0.07927567688462789,-0.4992307692307692,0.04597566136274891,0.04597566136274891,0.0
2022-05-28 00:00:00+00:00,2022-05-30 00:00:00+00:00,25,9,0.015273845136784833,0.01860787494444469,0.003334029807659856,0.10230769230769231,-0.022982338280276404,-0.022982338280276404,0.0
2022-06-04 00:00:00+00:00,2022-06-06 00:00:00+00:00,25,9,-0.1762620656554908,-0.2330740742814928,-0.056812008626002,-0.47,0.056393213735616586,0.056393213735616586,0.0
2022-06-11 00:00:00+00:00,2022-06-13 00:00:00+00:00,25,9,-0.09498553474904696,-0.1181978803518979,-0.023212345602850945,-0.09230769230769231,-0.01590556000291099,-0.01590556000291099,0.0
2022-06-18 00:00:00+00:00,2022-06-20 00:00:00+00:00,25,9,0.06292986678337348,0.15037267321429743,0.08744280643092395,0.37538461538461537,-0.01237850911974625,-0.05414671532846722,0.041768206208720966
2022-06-25 00:00:00+00:00,2022-06-27 00:00:00+00:00,24,8,-0.08183424724075124,-0.07326975009249928,0.008564497148251957,-0.014782608695652172,0.005156745206745193,0.005156745206745193,0.0
2022-07-02 00:00:00+00:00,2022-07-04 00:00:00+00:00,24,8,0.03932233421823285,0.09976931905793011,0.060446984839697265,0.25217391304347825,0.012039775802087399,0.012039775802087399,0.0
2022-07-09 00:00:00+00:00,2022-07-11 00:00:00+00:00,24,8,0.028953123108563808,0.05942321982278165,0.03047009671421784,0.2078260869565217,-0.02398647779913654,-0.02398647779913654,0.0
2022-07-16 00:00:00+00:00,2022-07-18 00:00:00+00:00,24,8,0.07512748603931635,0.1610452106209671,0.08591772458165076,0.2295652173913043,-0.07400896711574678,-0.07400896711574678,0.0
2022-07-23 00:00:00+00:00,2022-07-25 00:00:00+00:00,24,8,0.04463189489448002,0.09010040122148352,0.0454685063270035,0.01217391304347826,-0.012086779760163813,0.008483898779531984,-0.020570678539695797
2022-07-30 00:00:00+00:00,2022-08-01 00:00:00+00:00,24,8,0.05918024755533055,0.09618838843262528,0.03700814087729473,0.3069565217391304,-0.03904898330016438,-0.011210124240021158,-0.027838859060143224
2022-08-06 00:00:00+00:00,2022-08-08 00:00:00+00:00,24,8,0.013379966767254628,0.011642090229782034,-0.0017378765374725935,0.07130434782608694,-0.027437219099690935,-0.027437219099690935,0.0
2022-08-13 00:00:00+00:00,2022-08-15 00:00:00+00:00,24,8,-0.09548007303478626,-0.19896510949334706,-0.1034850364585608,-0.6826086956521739,0.04549764698473615,0.04549764698473615,0.0
2022-08-20 00:00:00+00:00,2022-08-22 00:00:00+00:00,24,8,-0.06750458971959768,-0.10593620854418599,-0.038431618824588315,-0.2495652173913043,0.018329829565599254,0.018329829565599254,0.0
2022-08-27 00:00:00+00:00,2022-08-29 00:00:00+00:00,24,8,0.05528508139286015,0.09969080834193553,0.04440572694907538,0.29217391304347823,-0.05532144315861132,-0.0029957806344598787,-0.052325662524151446
2022-09-03 00:00:00+00:00,2022-09-05 00:00:00+00:00,24,8,0.04811174414066893,0.08519643129421296,0.03708468715354403,0.23304347826086955,-0.00022297363596454774,-0.00022297363596454774,0.0
2022-09-10 00:00:00+00:00,2022-09-12 00:00:00+00:00,25,9,-0.09723109085833609,-0.18855029444393723,-0.09131920358560114,-0.7461538461538462,0.04197879087432687,0.05645674325674326,-0.014477952382416392
2022-09-17 00:00:00+00:00,2022-09-19 00:00:00+00:00,25,9,0.0621454593084226,-0.00319263373373276,-0.06533809304215536,-0.22923076923076924,-0.007881698832593044,0.00762148039161975,-0.015503179224212793
2022-09-24 00:00:00+00:00,2022-09-26 00:00:00+00:00,25,9,-0.006564315679107597,-0.01537612091113331,-0.008811805232025714,-0.27153846153846156,0.010446645606721816,0.010446645606721816,0.0
