decision,entry,exit,symbol,signal,signal_value,underlying_return,short_proxy,dvol_symbol,dvol_underlying_return,dvol_short_proxy
2022-10-22 00:00:00+00:00,2022-10-24 00:00:00+00:00,2022-10-31 00:00:00+00:00,ENSUSDT,rv28,0.07477739400793862,0.00993280747881986,-0.0045524326389357345,ENSUSDT,0.00993280747881986,-0.0045524326389357345
2022-10-29 00:00:00+00:00,2022-10-31 00:00:00+00:00,2022-11-07 00:00:00+00:00,ENSUSDT,rv28,0.06717362794004936,-0.05276251084755568,0.011121396942658152,ENSUSDT,-0.05276251084755568,0.011121396942658152
2022-11-05 00:00:00+00:00,2022-11-07 00:00:00+00:00,2022-11-14 00:00:00+00:00,ENSUSDT,rv28,0.07533540326295038,-0.25273315824833575,0.061114058792853164,ENSUSDT,-0.25273315824833575,0.061114058792853164
2022-11-12 00:00:00+00:00,2022-11-14 00:00:00+00:00,2022-11-21 00:00:00+00:00,SOLUSDT,rv28,0.5413642956942982,-0.06651428571428564,0.014559340659340642,SOLUSDT,-0.06651428571428564,0.014559340659340642
2022-11-19 00:00:00+00:00,2022-11-21 00:00:00+00:00,2022-11-28 00:00:00+00:00,SOLUSDT,rv28,0.5921664938834039,0.15058765915768846,-0.03971614555865289,SOLUSDT,0.15058765915768846,-0.03971614555865289
2022-11-26 00:00:00+00:00,2022-11-28 00:00:00+00:00,2022-12-05 00:00:00+00:00,SOLUSDT,rv28,0.6115951587076263,-0.02816202028800452,0.00497127430277036,SOLUSDT,-0.02816202028800452,0.00497127430277036
2022-12-03 00:00:00+00:00,2022-12-05 00:00:00+00:00,2022-12-12 00:00:00+00:00,SOLUSDT,rv28,0.6103616242474306,-0.021386861313868577,0.003277484559236375,SOLUSDT,-0.021386861313868577,0.003277484559236375
2022-12-10 00:00:00+00:00,2022-12-12 00:00:00+00:00,2022-12-19 00:00:00+00:00,CRVUSDT,rv28,0.15494058484071352,-0.1273885350318471,0.02977790298873101,CRVUSDT,-0.1273885350318471,0.02977790298873101
2022-12-17 00:00:00+00:00,2022-12-19 00:00:00+00:00,2022-12-26 00:00:00+00:00,CRVUSDT,rv28,0.14083658370191154,-0.04927007299270081,0.010248287478944434,CRVUSDT,-0.04927007299270081,0.010248287478944434
2022-12-24 00:00:00+00:00,2022-12-26 00:00:00+00:00,2023-01-02 00:00:00+00:00,CRVUSDT,rv28,0.05164695639262655,0.011516314779270731,-0.004948309464048452,NEARUSDT,-0.042073628850488376,0.008449176443391326
2022-12-31 00:00:00+00:00,2023-01-02 00:00:00+00:00,2023-01-09 00:00:00+00:00,SOLUSDT,rv28,0.05763975090197888,0.44973438909491836,-0.11450282804296036,SNXUSDT,0.1966101694915252,-0.05122177314211208
2023-01-07 00:00:00+00:00,2023-01-09 00:00:00+00:00,2023-01-16 00:00:00+00:00,SOLUSDT,rv28,0.11734517454377447,0.5834485619469025,-0.1479313712559564,ETCUSDT,0.09895067176620587,-0.026806898710782234
2023-01-14 00:00:00+00:00,2023-01-16 00:00:00+00:00,2023-01-23 00:00:00+00:00,SOLUSDT,rv28,0.13557965261213295,0.05645548618084972,-0.0161831023144432,SOLUSDT,0.05645548618084972,-0.0161831023144432
2023-01-21 00:00:00+00:00,2023-01-23 00:00:00+00:00,2023-01-30 00:00:00+00:00,SOLUSDT,rv28,0.19576531943258357,0.0782774012233427,-0.021638581075066443,SOLUSDT,0.0782774012233427,-0.021638581075066443
2023-01-28 00:00:00+00:00,2023-01-30 00:00:00+00:00,2023-02-06 00:00:00+00:00,SOLUSDT,rv28,0.19261936777112276,-0.10061326178612495,0.02308408467730047,SOLUSDT,-0.10061326178612495,0.02308408467730047
2023-02-04 00:00:00+00:00,2023-02-06 00:00:00+00:00,2023-02-13 00:00:00+00:00,ZILUSDT,rv28,0.15086521340868264,0.0128383067314366,-0.005278807452089919,SOLUSDT,-0.08442360963136575,0.01903667163861067
2023-02-11 00:00:00+00:00,2023-02-13 00:00:00+00:00,2023-02-20 00:00:00+00:00,SNXUSDT,rv28,0.14220622706323655,0.11139455782312924,-0.029917870225013077,SOLUSDT,0.15672128095326743,-0.04124955100754763
2023-02-18 00:00:00+00:00,2023-02-20 00:00:00+00:00,2023-02-27 00:00:00+00:00,CRVUSDT,rv28,0.12612313719537577,-0.15269709543568477,0.03610504308969042,SNXUSDT,0.021805661820964106,-0.007520646224471796
2023-02-25 00:00:00+00:00,2023-02-27 00:00:00+00:00,2023-03-06 00:00:00+00:00,SNXUSDT,rv28,0.11513143725885858,0.1639835267690004,-0.04306511246148088,SNXUSDT,0.1639835267690004,-0.04306511246148088
2023-03-04 00:00:00+00:00,2023-03-06 00:00:00+00:00,2023-03-13 00:00:00+00:00,SNXUSDT,rv28,0.12022124877879942,-0.10517851399163713,0.024225397728678516,SNXUSDT,-0.10517851399163713,0.024225397728678516
2023-03-11 00:00:00+00:00,2023-03-13 00:00:00+00:00,2023-03-20 00:00:00+00:00,SNXUSDT,rv28,0.1149694478296753,0.03127246585190524,-0.009887347232207078,SNXUSDT,0.03127246585190524,-0.009887347232207078
2023-03-18 00:00:00+00:00,2023-03-20 00:00:00+00:00,2023-03-27 00:00:00+00:00,SNXUSDT,rv28,0.17158493863958424,-0.13942140118508206,0.03278611952703974,SNXUSDT,-0.13942140118508206,0.03278611952703974
2023-03-25 00:00:00+00:00,2023-03-27 00:00:00+00:00,2023-04-03 00:00:00+00:00,SNXUSDT,rv28,0.18572407404152763,0.03645200486026745,-0.01118223198429763,SNXUSDT,0.03645200486026745,-0.01118223198429763
2023-04-01 00:00:00+00:00,2023-04-03 00:00:00+00:00,2023-04-10 00:00:00+00:00,SNXUSDT,rv28,0.17439784721732765,0.028135990621336315,-0.009103228424564846,SNXUSDT,0.028135990621336315,-0.009103228424564846
2023-04-08 00:00:00+00:00,2023-04-10 00:00:00+00:00,2023-04-17 00:00:00+00:00,SNXUSDT,rv28,0.15929161339812942,0.08057772709996214,-0.022213662544221302,SNXUSDT,0.08057772709996214,-0.022213662544221302
2023-04-15 00:00:00+00:00,2023-04-17 00:00:00+00:00,2023-04-24 00:00:00+00:00,SNXUSDT,rv28,0.08732137510553493,-0.12733028491030607,0.02976334045834575,XRPUSDT,-0.10848694316436258,0.025052505021859878
2023-04-22 00:00:00+00:00,2023-04-24 00:00:00+00:00,2023-05-01 00:00:00+00:00,SNXUSDT,rv28,0.06776286420008423,-0.022168480451430717,0.0034728893436269097,HBARUSDT,0.05346173003486654,-0.015434663277947402
2023-04-29 00:00:00+00:00,2023-05-01 00:00:00+00:00,2023-05-08 00:00:00+00:00,ZILUSDT,rv28,0.06744608952421227,-0.06857142857142862,0.015073626373626386,ZILUSDT,-0.06857142857142862,0.015073626373626386
2023-05-06 00:00:00+00:00,2023-05-08 00:00:00+00:00,2023-05-15 00:00:00+00:00,SNXUSDT,rv28,0.058133559900354626,-0.12632471386180588,0.029511947696220703,ZILUSDT,-0.08703987730061347,0.0196907385559226
2023-05-13 00:00:00+00:00,2023-05-15 00:00:00+00:00,2023-05-22 00:00:00+00:00,ZILUSDT,rv28,0.0653986890207745,-0.01301973960520797,0.0011857041320712232,KAVAUSDT,0.010638297872340274,-0.004728805237315838
2023-05-20 00:00:00+00:00,2023-05-22 00:00:00+00:00,2023-05-29 00:00:00+00:00,KAVAUSDT,rv28,0.05761049458031894,0.1396950319724546,-0.03699298876234442,KAVAUSDT,0.1396950319724546,-0.03699298876234442
2023-05-27 00:00:00+00:00,2023-05-29 00:00:00+00:00,2023-06-05 00:00:00+00:00,KAVAUSDT,rv28,0.07664260796358442,-0.13448424687095395,0.03155183094850771,KAVAUSDT,-0.13448424687095395,0.03155183094850771
2023-06-03 00:00:00+00:00,2023-06-05 00:00:00+00:00,2023-06-12 00:00:00+00:00,KAVAUSDT,rv28,0.0775247323200386,-0.18190884611548808,0.043407980759641245,KAVAUSDT,-0.18190884611548808,0.043407980759641245
2023-06-10 00:00:00+00:00,2023-06-12 00:00:00+00:00,2023-06-19 00:00:00+00:00,KAVAUSDT,rv28,0.07734999613744767,-0.038156771912714826,0.007469962208947938,KAVAUSDT,-0.038156771912714826,0.007469962208947938
2023-06-17 00:00:00+00:00,2023-06-19 00:00:00+00:00,2023-06-26 00:00:00+00:00,DASHUSDT,rv28,0.11287708310815144,0.17086092715231782,-0.04478446255731023,DASHUSDT,0.17086092715231782,-0.04478446255731023
