decision,entry,exit,symbol,rv21,rv28,rv35,dvol28,mom28,max28,beta84,log_volume30,next_week_return
2022-05-14 00:00:00+00:00,2022-05-16 00:00:00+00:00,2022-05-23 00:00:00+00:00,1000XECUSDT,0.23038780252733398,0.24578046609728205,0.2614820414380635,0.1158762350058672,-0.5484734868773433,0.3242224316682376,1.207363829795005,16.398506827445658,0.10871080139372835
2022-05-14 00:00:00+00:00,2022-05-16 00:00:00+00:00,2022-05-23 00:00:00+00:00,AAVEUSDT,0.20098058466438937,0.21964751635071003,0.23724116472961168,0.07747904521006616,-0.531130948996418,0.13026222537207643,1.1502027065649096,18.912909923093395,0.022171503097489387
2022-05-14 00:00:00+00:00,2022-05-16 00:00:00+00:00,2022-05-23 00:00:00+00:00,AVAXUSDT,0.30715892807731654,0.31581254960831723,0.329520734720855,0.08327538563342242,-0.5841840031011759,0.12856663309835503,1.0656931742443816,19.96758358394012,-0.1320186250342371
2022-05-14 00:00:00+00:00,2022-05-16 00:00:00+00:00,2022-05-23 00:00:00+00:00,BCHUSDT,0.11212713205466626,0.11981163841380837,0.12829742374075764,0.055488567886067215,-0.40645274931744124,0.07297336006874833,0.769693352972425,18.55671888839668,-0.07864959254947612
2022-05-14 00:00:00+00:00,2022-05-16 00:00:00+00:00,2022-05-23 00:00:00+00:00,BNBUSDT,0.07040345432691106,0.07408710322634518,0.07866324079082855,0.05433443347680809,-0.30344165967142345,0.08151485812169512,0.693195496286019,19.695679128493758,0.02243158366980702
2022-05-14 00:00:00+00:00,2022-05-16 00:00:00+00:00,2022-05-23 00:00:00+00:00,CRVUSDT,0.1930837194375249,0.21040480817460525,0.22153543015819266,0.09205301945007052,-0.4091726618705034,0.20529493729679515,1.0888062253014796,18.759135959967573,-0.156498673740053
2022-05-14 00:00:00+00:00,2022-05-16 00:00:00+00:00,2022-05-23 00:00:00+00:00,DASHUSDT,0.12479022533648118,0.1352306380752712,0.1493003973563758,0.06483242009422581,-0.4689017129247962,0.08726736268724467,0.9326313034038188,17.28131682419281,-0.024904822335025334
2022-05-14 00:00:00+00:00,2022-05-16 00:00:00+00:00,2022-05-23 00:00:00+00:00,ENSUSDT,0.4077542972632131,0.4283462531988581,0.4480642425579958,0.13194689119916703,-0.3145980797533111,0.2969785779080316,1.1286907845966148,19.125726860389314,0.21687095840169857
2022-05-14 00:00:00+00:00,2022-05-16 00:00:00+00:00,2022-05-23 00:00:00+00:00,ETCUSDT,0.12521205445388245,0.13621140553984704,0.15297713623013073,0.06565893049451456,-0.451426275612696,0.14156289613004258,0.9519591054477883,19.294208067853386,-0.0480882220012655
2022-05-14 00:00:00+00:00,2022-05-16 00:00:00+00:00,2022-05-23 00:00:00+00:00,HBARUSDT,0.16811388853711423,0.17793022910699854,0.18771014546783849,0.06800745102795143,-0.5188797199299826,0.10727440147329648,0.9155582366438493,16.940254270302923,-0.035221058485494505
