decision,rv28,dvol28,mom28,max28,beta84,log_volume30
2022-05-14 00:00:00+00:00,-0.026762828749163782,0.07774746749402746,-0.01322325201855324,0.05182100796033528,-0.09608699120458149,-0.006760860379438623
2022-05-21 00:00:00+00:00,-0.0464210650586,0.007951659048013055,0.007811548430144977,0.007991443447658352,-0.0030926879170389554,-0.011975349180776473
2022-05-28 00:00:00+00:00,-0.03209797669540282,0.06728401438956737,0.0032865221679309695,-0.027930489131247776,-0.0032795704125487537,-0.015536955830154794
2022-06-04 00:00:00+00:00,-0.006931356448023701,-0.054405745555338655,-0.00485498448857433,0.06465207066332582,-0.025215336830357947,0.0062522862477392815
2022-06-11 00:00:00+00:00,-0.08118953397512656,0.10466419946223873,-0.007859161093410526,-0.04917686716553753,0.024626961906422953,-0.004827082508576559
2022-06-18 00:00:00+00:00,-0.04818365393794523,0.011921690776866539,0.004954071834364193,0.017831857875050705,0.08318453746425944,0.021099779019399204
2022-06-25 00:00:00+00:00,0.035040860440914035,0.002785919354812703,-0.016022632756515446,0.016857214799338664,-0.04288531654579783,-0.011898485467397763
2022-07-02 00:00:00+00:00,0.007793165577544614,0.17261225845030892,-0.0169803539267677,-0.1638283665964884,-0.016464969492324216,0.005008169750808598
2022-07-09 00:00:00+00:00,0.007250827422739433,0.1298689596180272,0.011622336676907246,-0.09056969984516533,-0.05862492978240576,0.009858976031735533
2022-07-16 00:00:00+00:00,-0.0011617219130135928,0.0977801750277753,-0.03612023803487328,-0.0389804497064218,0.00920901403924355,-7.239062605330152e-05
2022-07-23 00:00:00+00:00,0.08250129430138427,-0.22202422681459563,-0.011722984735378828,0.20208722684297017,-0.02226182735727126,-0.017845785949292592
2022-07-30 00:00:00+00:00,0.012603596580536485,-0.11375634089292484,0.024419056662155006,0.042428903314838805,0.06408133852423041,-0.008199599458960576
2022-08-06 00:00:00+00:00,-0.043565142991634206,0.06806604729149023,0.02833145309153954,-0.0836552734046644,0.025055835108639745,0.016760900829398347
