trade_id,strategy_variant,entry_time,exit_time,signal_cutoff,symbol,category,eligible_count,nearness26,nearness52,nearness100,mom52,selection_score,selection_rank,entry_price,exit_price,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-scheduled_long-20240101-1000XECUSDT,scheduled_long,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,1000XECUSDT,Payment,25,1.0,1.0,0.30123475964898655,0.7834482758620691,1.0,,0.03728,0.03176,0.25,6.706008583690987,21,0.0028544310455988465,0.0013197986560344018,-0.037017167381974275,-0.037294957081545066,2.0816681711721685e-17,-0.03444052603594622,-0.03775796212446353,-3.469446951953614e-17,-0.03490353107886468,-0.038220967167381964,2.7755575615628914e-17,-0.03690116851134756
development-scheduled_long-20240101-AAVEUSDT,scheduled_long,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,AAVEUSDT,DeFi,25,1.0,1.0,0.4665966827629645,1.1398035817446566,1.0,,108.77,94.87,0.25,0.002298427875333272,21,-0.0009099204759110015,-0.0013824514398448472,-0.031948147467132454,-0.03222897857865217,6.938893903907228e-18,-0.03313889905456317,-0.032697049600073524,-6.938893903907228e-18,-0.033606970075984524,-0.033165120621494876,0.0,-0.034547572061339724
development-scheduled_long-20240101-AVAXUSDT,scheduled_long,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,AVAXUSDT,Layer-1,25,0.8185881179062902,0.8185881179062902,0.4092600290999792,2.611758231679354,0.8185881179062902,,38.59,33.635,0.25,0.006478362270018139,21,-0.0012502887660977152,-0.0018754331491465733,-0.03210028504793991,-0.032381024876911135,6.938893903907228e-18,-0.03363131364300885,-0.03284894385203421,0.0,-0.03409923261813193,-0.03331686282715732,6.938893903907228e-18,-0.03519229597630389
development-scheduled_long-20240101-BCHUSDT,scheduled_long,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,BCHUSDT,Payment,25,0.9971649484536081,0.9304634623973614,0.7269433111445136,1.7911985983716376,0.9304634623973614,,259.79,232.19,0.25,0.0009623157165402824,21,-2.7123046198462893e-05,-0.00032118213903796597,-0.026559913776511818,-0.026843977828245907,3.469446951953614e-18,-0.02687110087444437,-0.027317433850417655,-3.469446951953614e-17,-0.027344556896616117,-0.02779088987258943,1.0408340855860843e-17,-0.028112072011627395
development-scheduled_long-20240101-BNBUSDT,scheduled_long,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,BNBUSDT,Layer-1,25,1.0,0.9501395013950139,0.7242396524125314,0.2868635975783185,0.9501395013950139,,311.33,302.06,0.25,0.0008030064561719076,21,0.00273890017139831,0.001369450085699155,-0.0074438698487135635,-0.007739403526804328,1.3010426069826053e-17,-0.005000503355406019,-0.008231964123277452,2.42861286636753e-17,-0.005493063951879143,-0.008724524719750743,5.204170427930421e-18,-0.007355074634051588
development-scheduled_long-20240101-CRVUSDT,scheduled_long,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,CRVUSDT,DeFi,25,0.758830694275274,0.49720670391061456,0.1823236757389523,0.18893129770992356,0.49720670391061456,,0.605,0.517,0.25,0.4132231404958678,21,-0.0009279414645825618,-0.001391912196873843,-0.03636363636363635,-0.03664181818181814,2.7755575615628914e-17,-0.0375697596464007,-0.03710547636363634,-6.938893903907228e-18,-0.0380334178282189,-0.03756913454545452,2.7755575615628914e-17,-0.038961046742328365
development-scheduled_long-20240101-DASHUSDT,scheduled_long,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,DASHUSDT,PoW,25,0.93976591493006,0.4569049271339348,0.2569666692685973,-0.21637705308259936,0.4569049271339348,,31.76,27.14,0.25,0.007871536523929471,21,-0.0007777264851469782,-0.001196320921045404,-0.03636649874055417,-0.036644678841309786,4.163336342344337e-17,-0.03742240532645676,-0.037108334162468476,0.0,-0.037886060647615454,-0.037571989483627166,3.469446951953614e-17,-0.038768310404672573
development-scheduled_long-20240101-ENSUSDT,scheduled_long,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,ENSUSDT,Infrastructure,25,1.0,0.6132304437114942,0.48275524201450126,-0.08377498837749897,0.6132304437114942,,9.684,11.79,0.25,0.025815778603882695,21,-0.0012017230016548764,-0.0018501898179511297,0.054368029739776946,0.05403540892193309,0.0,0.05283368592027821,0.05348107351301118,-3.469446951953614e-17,0.0522793505113563,0.05292673810408921,1.3877787807814457e-17,0.05107654828613808
development-scheduled_long-20240101-ETCUSDT,scheduled_long,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,ETCUSDT,PoW,25,1.0,0.9355772862718764,0.47285917315402076,0.42095869454360035,0.9355772862718764,,21.95,19.247,0.25,0.011389521640091117,21,-0.0011762150245426435,-0.0017663231385593445,-0.03078587699316629,-0.031067405466970344,3.8163916471489756e-17,-0.032243620491512984,-0.03153663806150339,-1.3877787807814457e-17,-0.03271285308604603,-0.03200587065603641,3.469446951953614e-17,-0.033772193794595756
development-scheduled_long-20240101-HBARUSDT,scheduled_long,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,HBARUSDT,Layer-1,25,0.954704979162097,0.954704979162097,0.33845256609642305,1.3875479978058145,0.954704979162097,,0.08599,0.07527,0.25,2.9073148040469823,21,-0.0008538437011460637,-0.0012820435848901032,-0.031166414699383638,-0.031447714850563996,0.0,-0.03230155855171006,-0.03191656713571342,1.3877787807814457e-17,-0.032770410836859484,-0.03238541942086287,2.0816681711721685e-17,-0.033667463005752976
