trade_id,strategy_variant,entry_time,exit_time,signal_cutoff,symbol,category,eligible_count,nearness26,nearness52,nearness100,mom52,selection_score,selection_rank,entry_price,exit_price,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-nearness100-20240101-LINKUSDT,nearness100,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,LINKUSDT,Infrastructure,25,0.9208929871390438,0.9208929871390438,0.8553558347889784,1.7238471200430645,0.8553558347889784,2.0,14.951,13.149,0.25,0.016721289545849775,21,-0.0007136118166782021,-0.0010704177250173033,-0.030131763761621327,-0.030413684703364335,1.0408340855860843e-17,-0.03112729652004254,-0.03088357101866096,-3.469446951953614e-18,-0.03159718283533916,-0.03135345733395761,1.3877787807814457e-17,-0.03242387505897491
development-nearness100-20240101-SOLUSDT,nearness100,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,SOLUSDT,Layer-1,25,0.944482008058167,0.944482008058167,0.7697086352657005,9.22983547351525,0.7697086352657005,3.0,101.775,89.414,0.25,0.0024563989191844753,21,-0.0012217305350939406,-0.0018325958026409106,-0.030363547040039324,-0.03064532891181529,-3.469446951953614e-18,-0.03186705944690923,-0.031114983582903488,-3.122502256758253e-17,-0.03233671411799743,-0.03158463825399166,0.0,-0.03341723405663257
development-nearness100-20240101-TRXUSDT,nearness100,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,TRXUSDT,Layer-1,25,0.973186409550046,0.973186409550046,0.973186409550046,0.9453010279001468,0.973186409550046,1.0,0.10769,0.10271,0.25,2.3214783173925158,21,-0.0008763939396280992,-0.001453404239906909,-0.011560962020614712,-0.011854025443402333,2.42861286636753e-17,-0.012730419383030432,-0.012342471417958939,1.214306433183765e-17,-0.013218865357587038,-0.012830917392515545,3.469446951953614e-18,-0.014284321632422454
development-nearness100-20240115-ENSUSDT,nearness100,2024-01-15T00:00:00+0000,2024-01-22T00:00:00+0000,2024-01-13T00:00:00+0000,ENSUSDT,Infrastructure,25,1.0,1.0,1.0,0.6673838209982788,1.0,1.0,23.711,18.458,0.25,0.010543629539032517,21,-0.0004706267224073215,-0.0007059400836109822,-0.05538568596853782,-0.05565245455695669,0.0,-0.056123081279364016,-0.05609710210239971,0.0,-0.05656772882480703,-0.05654174964784278,2.0816681711721685e-17,-0.05724768973145376
development-nearness100-20240115-LINKUSDT,nearness100,2024-01-15T00:00:00+0000,2024-01-22T00:00:00+0000,2024-01-13T00:00:00+0000,LINKUSDT,Infrastructure,25,0.8705411307934966,0.8705411307934966,0.8243809961509737,1.0918367346938775,0.8243809961509737,3.0,14.765,15.397,0.25,0.016931933626820182,21,-0.0005504100713173045,-0.0008256151069759568,0.010700982052150365,0.010394561462919116,5.724587470723463e-17,0.009844151391601812,0.009883866901456151,-8.673617379884035e-18,0.009333456830138847,0.009373172339993241,1.3877787807814457e-17,0.008547557233017283
development-nearness100-20240115-TRXUSDT,nearness100,2024-01-15T00:00:00+0000,2024-01-22T00:00:00+0000,2024-01-13T00:00:00+0000,TRXUSDT,Layer-1,25,1.0,1.0,1.0,0.8494170984455958,1.0,2.0,0.11118,0.10883,0.25,2.248605864364094,21,-0.00035545260891527256,-0.0005661666618438568,-0.00528422378125562,-0.005581053246986878,0.0,-0.00593650585590215,-0.00607577219373992,-4.5102810375396984e-17,-0.0064312248026551925,-0.006570491140492907,-4.336808689942018e-18,-0.007136657802336763
development-nearness100-20240129-ENSUSDT,nearness100,2024-01-29T00:00:00+0000,2024-02-05T00:00:00+0000,2024-01-27T00:00:00+0000,ENSUSDT,Infrastructure,25,0.8446881720430107,0.8446881720430107,0.8446881720430107,0.231130892678034,0.8446881720430107,2.0,18.479,17.949,0.25,0.013528870609881487,21,-0.0005170682584149576,-0.0007756023876224363,-0.007170301423237158,-0.007465999242383198,1.5612511283791264e-17,-0.007983067500798155,-0.00795883324314084,1.734723475976807e-18,-0.008475901501555796,-0.008451667243898453,-3.122502256758253e-17,-0.00922726963152089
development-nearness100-20240129-LINKUSDT,nearness100,2024-01-29T00:00:00+0000,2024-02-05T00:00:00+0000,2024-01-27T00:00:00+0000,LINKUSDT,Infrastructure,25,0.8698131521475368,0.8698131521475368,0.8236916183144711,0.9877998059060029,0.8236916183144711,3.0,14.476,18.151,0.25,0.017269964078474715,21,-0.000602919837506908,-0.0009043797562603619,0.06346711798839455,0.06312903771760153,0.0,0.06252611788009463,0.06256560867988392,-2.7755575615628914e-17,0.06196268884237702,0.062002179642166366,3.469446951953614e-17,0.061097799885906
development-nearness100-20240129-TRXUSDT,nearness100,2024-01-29T00:00:00+0000,2024-02-05T00:00:00+0000,2024-01-27T00:00:00+0000,TRXUSDT,Layer-1,25,0.9838031868324286,0.9838031868324286,0.9838031868324286,0.7805419109491365,0.9838031868324286,1.0,0.11218,0.1184,0.25,2.228561240862899,21,0.00020399158017293638,-9.299605328400788e-05,0.013861650918167212,0.013553333927616373,3.469446951953614e-17,0.01375732550778931,0.013039480593688757,2.2551405187698492e-17,0.013243472173861693,0.012525627259761085,-1.5612511283791264e-17,0.012432631206477078
development-nearness100-20240212-ENSUSDT,nearness100,2024-02-12T00:00:00+0000,2024-02-19T00:00:00+0000,2024-02-10T00:00:00+0000,ENSUSDT,Infrastructure,23,0.9560860215053764,0.9560860215053764,0.9560860215053764,0.5420742282344779,0.9560860215053764,3.0,21.412,22.497,0.25,0.01167569587147394,21,-0.0014759121259643635,-0.002213868188946545,0.012668130020549229,0.012360529142536936,3.122502256758253e-17,0.010884617016572572,0.011847868613394374,-1.734723475976807e-18,0.010371956487430011,0.011335208084251869,2.2551405187698492e-17,0.009121339895305324
development-nearness100-20240212-LINKUSDT,nearness100,2024-02-12T00:00:00+0000,2024-02-19T00:00:00+0000,2024-02-10T00:00:00+0000,LINKUSDT,Infrastructure,23,1.0,1.0,1.0,1.7268829498356437,1.0,1.0,20.153,20.135,0.25,0.012405100977521958,21,-0.0008602189998383108,-0.0012903284997574662,-0.00022329181759536687,-0.0005231578425047845,1.7889335846010823e-17,-0.0013833768423430954,-0.0010229346846622744,-1.691355389077387e-17,-0.0018831536845005854,-0.0015227115268197644,3.642919299551295e-17,-0.0028130400265772306
