entry_time,down_beta60
2022-01-01 00:00:00+00:00,-0.01092631593006195
2022-02-01 00:00:00+00:00,-0.09325974426752685
2022-03-01 00:00:00+00:00,0.1586056954932959
2022-04-01 00:00:00+00:00,-0.0735676237219964
2022-05-01 00:00:00+00:00,-0.005312515109106012
2022-06-01 00:00:00+00:00,-0.007578414062618508
2022-07-01 00:00:00+00:00,0.08445684751510242
2022-08-01 00:00:00+00:00,-0.012287522294233574
2022-09-01 00:00:00+00:00,-0.0775461147259964
2022-10-01 00:00:00+00:00,-0.018660361876612026
2022-11-01 00:00:00+00:00,-0.054379493499332694
2022-12-01 00:00:00+00:00,-0.04747736183613245
2023-01-01 00:00:00+00:00,0.2647078010556092
2023-02-01 00:00:00+00:00,-0.0016365146499814536
2023-03-01 00:00:00+00:00,-0.043972216488545386
2023-04-01 00:00:00+00:00,0.012950374469642867
2023-05-01 00:00:00+00:00,-0.04381620765105189
2023-06-01 00:00:00+00:00,-0.08065938994602972
2023-07-01 00:00:00+00:00,-0.05075895029533001
2023-08-01 00:00:00+00:00,-0.027051961742629062
2023-09-01 00:00:00+00:00,-0.026395025198348018
2023-10-01 00:00:00+00:00,-0.08646354926098151
2023-11-01 00:00:00+00:00,0.16100349242030831
2023-12-01 00:00:00+00:00,0.02960276029866646
