entry_time,signal_cutoff,exit_time,holding_days,symbol,category,down_beta45,down_beta60,down_beta90,beta60,tvol60,mom60,max28,log_volume30,target_asset_return,target_market_return,target_excess_return
2022-01-01 00:00:00+00:00,2021-12-30 00:00:00+00:00,2022-02-01 00:00:00+00:00,31,ZECUSDT,PoW,2.2458808046719625,2.384855223108969,2.063673713355547,1.4117229415963604,0.0782459107447328,-0.0867669837760276,0.0540408027614667,18.474085585685163,-0.3549665254816231,-0.2848087632568392,-0.0701577622247838
2022-01-01 00:00:00+00:00,2021-12-30 00:00:00+00:00,2022-02-01 00:00:00+00:00,31,DASHUSDT,PoW,2.058622815155646,2.0396268353801097,1.8771069108858704,1.2877552266580237,0.0567887456948809,-0.3722658755396812,0.0821075724418705,17.68555089836426,-0.2956892680736417,-0.2848087632568392,-0.0108805048168024
2022-01-01 00:00:00+00:00,2021-12-30 00:00:00+00:00,2022-02-01 00:00:00+00:00,31,RUNEUSDT,DeFi,2.138526846691938,1.9686565016112043,1.818143101678126,1.4495332117477633,0.0692191227087272,-0.7739079083240155,0.1019115227927649,18.321069695414565,-0.3933460915648461,-0.2848087632568392,-0.1085373283080068
2022-01-01 00:00:00+00:00,2021-12-30 00:00:00+00:00,2022-02-01 00:00:00+00:00,31,NEARUSDT,Layer-1,1.9679889603644285,1.9138760325350703,1.5248147930825582,1.265046355666679,0.0811933692169675,0.4159959483510898,0.2360626296336687,20.144651030853208,-0.2388415486204346,-0.2848087632568392,0.0459672146364046
2022-01-01 00:00:00+00:00,2021-12-30 00:00:00+00:00,2022-02-01 00:00:00+00:00,31,LTCUSDT,Payment,1.6479762570726135,1.782147825268401,1.6216646595157904,1.390645010923002,0.0552475621618649,-0.2612504757535898,0.0639057298742873,19.671815736289947,-0.2514535877967029,-0.2848087632568392,0.0333551754601363
2022-02-01 00:00:00+00:00,2022-01-30 00:00:00+00:00,2022-03-01 00:00:00+00:00,28,RUNEUSDT,DeFi,1.7141087080457604,1.7355557312438472,1.7243517473145489,1.6493721055405963,0.0674869972259975,-0.9935288196944214,0.1222907431949198,18.18526880422884,-0.0296044649356953,0.0218992410107366,-0.0515037059464319
2022-02-01 00:00:00+00:00,2022-01-30 00:00:00+00:00,2022-03-01 00:00:00+00:00,28,CRVUSDT,DeFi,1.6129945210096357,1.727511531987587,1.691816009962399,1.7297093965618993,0.0784684232147011,-0.4513559950654959,0.0748056892281998,19.61188443316997,-0.2542061792597124,0.0218992410107366,-0.2761054202704491
2022-02-01 00:00:00+00:00,2022-01-30 00:00:00+00:00,2022-03-01 00:00:00+00:00,28,UNIUSDT,DeFi,1.2973519541243528,1.7069213147143456,1.6037147511271652,1.4926247002551745,0.0623525902928201,-0.6653049005402543,0.0801361245839333,18.47189370783276,-0.1057373565660858,0.0218992410107366,-0.1276365975768224
2022-02-01 00:00:00+00:00,2022-01-30 00:00:00+00:00,2022-03-01 00:00:00+00:00,28,NEARUSDT,Layer-1,1.7702456556926474,1.696794270369094,1.746094232828797,1.359033769195898,0.0925545074580262,0.1954964138595158,0.1544058483785639,20.67948122027125,-0.1226601871850251,0.0218992410107366,-0.1445594281957617
2022-02-01 00:00:00+00:00,2022-01-30 00:00:00+00:00,2022-03-01 00:00:00+00:00,28,AAVEUSDT,DeFi,1.4959189146182248,1.5536614404867477,1.4867641799350388,1.6019571718694514,0.067474968586085,-0.5226404681051733,0.0746816091738997,18.89322277097933,-0.0748618959933965,0.0218992410107366,-0.0967611370041331
2022-03-01 00:00:00+00:00,2022-02-27 00:00:00+00:00,2022-04-01 00:00:00+00:00,31,CRVUSDT,DeFi,1.5315111407856403,1.5987454765849958,1.693395203246349,1.5812264951664874,0.0668002085199515,-0.7964479632547611,0.097003067164638,18.771681152327137,0.0808039376538145,0.4350106388532785,-0.354206701199464
2022-03-01 00:00:00+00:00,2022-02-27 00:00:00+00:00,2022-04-01 00:00:00+00:00,31,RUNEUSDT,DeFi,1.531533517241425,1.5596972813318055,1.786846522658727,1.5421015632426498,0.0623943736199497,-0.6716284671304698,0.1067088537763261,17.645199230140435,1.8729682420605156,0.4350106388532785,1.4379576032072368
2022-03-01 00:00:00+00:00,2022-02-27 00:00:00+00:00,2022-04-01 00:00:00+00:00,31,AVAXUSDT,Layer-1,1.4232739214158685,1.3814012899243455,1.1601033819882338,1.64446927329534,0.0622213005742147,-0.3180924055590655,0.1279795382864366,20.30466002227944,0.1530998580217699,0.4350106388532785,-0.2819107808315086
2022-03-01 00:00:00+00:00,2022-02-27 00:00:00+00:00,2022-04-01 00:00:00+00:00,31,HBARUSDT,Layer-1,1.160457375573907,1.3698555064296396,1.4060736311052946,1.1849633556533523,0.0517032635569029,-0.2986452101848311,0.1591835318734193,17.32830414443873,0.0262426138338547,0.4350106388532785,-0.4087680250194238
2022-03-01 00:00:00+00:00,2022-02-27 00:00:00+00:00,2022-04-01 00:00:00+00:00,31,LINKUSDT,Infrastructure,1.4735286111943693,1.338461334128417,1.5208018618457824,1.060706381615067,0.0537024409895936,-0.3697030201374232,0.0868907943130201,19.57120962842634,0.1194019977508764,0.4350106388532785,-0.3156086411024021
