entry_time,down_beta60,beta60,tvol60,mom60,max28,log_volume30
2022-01-01 00:00:00+00:00,-0.006658336992573137,0.01954343224073602,-0.04553905181493774,-0.011294162092670295,0.026013171810825676,-0.010380585211737037
2022-02-01 00:00:00+00:00,-0.07676077845803678,-0.12114360388657491,0.13875872755239396,-0.08808127456348416,-0.04268293278327921,-0.014328055807044625
2022-03-01 00:00:00+00:00,-0.0019984059705441884,0.20171500090537425,-0.20016449489886057,-0.2586727359465882,0.11070610605848795,-0.3017781001384036
2022-04-01 00:00:00+00:00,-0.04779561071770439,0.02598125120270731,-0.12253337351129438,-0.09062409291492575,0.12727888511423824,-0.0003863187514896141
2022-05-01 00:00:00+00:00,0.03005976209629467,-0.0899574588746462,-0.03591340799482424,0.05996239868993204,0.0026451918772736225,-0.046872997632670874
2022-06-01 00:00:00+00:00,0.018337437338889647,0.004550131085805328,-0.06874620866828601,-0.0024142981836984658,0.04235328146025857,0.003397848978727104
2022-07-01 00:00:00+00:00,0.059304010086091076,0.006773382721272536,0.004918110184414681,-0.030759366208120684,0.031015182958592336,0.0015285534987451409
2022-08-01 00:00:00+00:00,0.026413595075057267,-0.07391839235291939,0.014721248050404447,-0.023832386345203307,0.018793919990758728,0.006284338694234768
2022-09-01 00:00:00+00:00,-0.06471828663337695,-0.05696306981161054,0.03687220226200154,0.012075053528461608,-0.0091740171514447,0.032132257247067676
2022-10-01 00:00:00+00:00,-0.005689439351611689,-0.01491286845751493,-0.008808802152835069,-0.014845884773533075,-0.017487974281859813,0.007706730570226835
2022-11-01 00:00:00+00:00,-0.004742380451596383,-0.054118539490608075,0.03952869935714097,0.0494917053762362,-0.041422564639288055,-0.02938084924611633
2022-12-01 00:00:00+00:00,0.014091692116937282,0.18244307348594652,-0.17435798755036117,0.058690813146038315,-0.033575687662326124,-0.004923898867239326
2023-01-01 00:00:00+00:00,-0.013336743224204594,0.24283495419118734,-0.030806869352676153,-0.08636441948712548,0.021952541140471047,-0.007280633469935114
2023-02-01 00:00:00+00:00,0.019697430976777612,0.026746014096143363,-0.09148129567809032,-0.016159708652840946,0.08025882408442848,-0.04848267086121983
2023-03-01 00:00:00+00:00,-0.004413064829636369,-0.02279978169136184,0.011194161224911604,-0.05974559713151628,0.012216212541378797,0.04640647652481035
2023-04-01 00:00:00+00:00,0.02873554856845164,0.030409428432511498,-0.0566326362294331,-0.017100453137922488,0.005058707200737424,0.035881259611922504
2023-05-01 00:00:00+00:00,0.012175818562277571,-0.1304167178111897,0.1207358241026104,0.0034983428357327137,-0.042236460497032724,0.0020019394798568902
2023-06-01 00:00:00+00:00,0.2334310817610948,-0.39355082316879575,-0.13884798632957962,-0.22641397987356826,0.3910901813665492,0.05828576276347257
2023-07-01 00:00:00+00:00,0.028210144590682204,-0.10122185655349254,-0.01348376327974908,-0.02747866454744185,0.039309789226365445,0.045308319959365434
2023-08-01 00:00:00+00:00,-0.07771641705776691,0.09360488405181136,-0.06781651367855096,0.002164907937815458,0.008716985696858522,-0.07094254469463408
2023-09-01 00:00:00+00:00,-0.005838561800089416,-0.03102651113422911,0.01404992748244529,0.010718397593656068,0.0025098026620024904,0.011329595462672454
2023-10-01 00:00:00+00:00,-0.16864763167786986,0.054606128887133114,-0.0002323102253603662,-0.0419326648295017,0.01767525065759501,0.09778869811519389
2023-11-01 00:00:00+00:00,0.08904617619938374,0.0316335419630139,0.1771436515894592,0.003984228524228913,-0.06588049961112206,0.01821120848157617
2023-12-01 00:00:00+00:00,0.002935838557890369,0.07664092018464502,-0.13064192881378364,0.07260102572235519,0.04755955243177484,0.05687329466498259
