config_id,selected_candidate,direction,channel_lookback_15m,confirmation_bars_1m,max_entry_extension_atr,raw_trigger_count,favorable_trades,favorable_mean,favorable_median,favorable_win_rate,favorable_total_compound,favorable_max_drawdown,favorable_standard_error,favorable_mean_2021,favorable_mean_2022,favorable_mean_2023,base_trades,base_mean,base_median,base_win_rate,base_total_compound,base_max_drawdown,base_standard_error,base_mean_2021,base_mean_2022,base_mean_2023,stress_trades,stress_mean,stress_median,stress_win_rate,stress_total_compound,stress_max_drawdown,stress_standard_error,stress_mean_2021,stress_mean_2022,stress_mean_2023
LONG:12:1:0.25,True,LONG,12,1,0.25,23175,4611,-0.0014279099892314444,-0.0020189719568339667,0.3203209715896769,-0.9987470464353938,-0.9988007092040497,9.378870460621395e-05,-0.0016128985817710762,-0.0014987251460059246,-0.0011279873450390314,1680,-0.003195521728694563,-0.0038662399787002203,0.27440476190476193,-0.9956519193111161,-0.9957756566480653,0.0002076532560382054,-0.0033938588391543407,-0.0030750227527485863,-0.0019450699880324458,684,-0.004826179813021938,-0.00523609902552674,0.24707602339181287,-0.9647111963648998,-0.9656195582026957,0.0003866586973781488,-0.004693720021301736,-0.006140190895026394,0.00010875623570305664
LONG:12:1:0.5,True,LONG,12,1,0.5,35242,5363,-0.0014882551982529062,-0.0020738816571177964,0.31307104232705574,-0.9996951556799508,-0.9997099259055978,8.678347944152631e-05,-0.0016995894751242672,-0.0015097336612051328,-0.001236564578823261,4080,-0.003178215151848529,-0.004076976779146293,0.2375,-0.9999979304326687,-0.9999979304326687,0.00010971935410433854,-0.0033514939478809964,-0.003188719434375992,-0.002806821016882778,3026,-0.004248121263470888,-0.005303066766149816,0.21447455386649042,-0.9999976709375676,-0.9999976709375676,0.0001382781752038261,-0.004412712213419239,-0.004267827022018603,-0.0035156529873917835
LONG:12:2:0.25,True,LONG,12,2,0.25,13426,3297,-0.0014877022012187895,-0.0019928942830546347,0.3099787685774947,-0.9931000076630889,-0.9933571081667022,0.00011156028235336987,-0.0017798225958068742,-0.0013830986397874458,-0.001205120265455424,1065,-0.0032946002010097826,-0.0038841741549988386,0.27230046948356806,-0.9714039277016753,-0.9722471292628592,0.0002651467440263282,-0.0036540726553491807,-0.0027096193368956623,-0.0018456352919215065,430,-0.004840114173387066,-0.005256358689279842,0.26976744186046514,-0.8785740420860699,-0.8823460466216272,0.0004886304972860077,-0.004887828937400343,-0.005474729081347879,-0.00032011756755556144
LONG:12:2:0.5,True,LONG,12,2,0.5,23534,4213,-0.001541925042503449,-0.0020469279252959692,0.30572038927130313,-0.9986197230219801,-0.9986618336929496,9.74933484289781e-05,-0.0018697657934898197,-0.0014473176990056193,-0.0012583203918655646,2981,-0.00326555590173682,-0.004088734282192759,0.23482053002348205,-0.9999459269964469,-0.9999465732344754,0.00012942625315988466,-0.0035339054817706667,-0.0030891429636352957,-0.0029092192075749934,2136,-0.00426267033450087,-0.0051373280103109145,0.224250936329588,-0.9998978194790403,-0.9998978194790403,0.00016745799908233984,-0.00460475273313505,-0.0038884005688859377,-0.0034817164608027364
LONG:12:3:0.25,True,LONG,12,3,0.25,8919,2438,-0.0013823786895008755,-0.001989304839277254,0.31829368334700575,-0.9674071255697924,-0.9688597662516477,0.00013115583888334735,-0.0018243655594349197,-0.001139857599185587,-0.0010017991079315548,780,-0.003191716621680873,-0.003687164795893952,0.27564102564102566,-0.9197780804568756,-0.9216485848231207,0.0003108552501571575,-0.0037243330953121464,-0.0021227892493064534,-0.0017550203702511383,315,-0.004661617783248223,-0.0050343446268568135,0.2761904761904762,-0.7743473703817906,-0.7796306486918527,0.0005833857825780042,-0.004983781974273136,-0.003736050791479957,-0.0016103327794246627
LONG:12:3:0.5,True,LONG,12,3,0.5,16873,3411,-0.0015126382044619096,-0.002104745656217457,0.30606860158311344,-0.9946564836939903,-0.9949350589387008,0.00010841676738754527,-0.0018838288187449802,-0.0013787037192169952,-0.0012013504273730125,2270,-0.003162738777739689,-0.004012429613217204,0.24273127753303964,-0.9992895744864444,-0.9992919648116784,0.00015095605546341508,-0.0035851935292661166,-0.0027557500362162222,-0.0027078446525106814,1599,-0.004108651661044519,-0.0050483547443885765,0.23764853033145716,-0.9986840283054703,-0.9986840283054703,0.0001972093743488419,-0.004538590333272804,-0.0034251106102844535,-0.0034813203440774453
LONG:20:1:0.25,True,LONG,20,1,0.25,14946,3174,-0.00147850939438161,-0.0021252077630641557,0.3311279143037177,-0.9914930997987614,-0.991852258849582,0.00011839922428758203,-0.0016925204199422822,-0.0015273544138281949,-0.0011432948205698495,1197,-0.0036181684110249564,-0.004352098113523432,0.27401837928153716,-0.9875321923389732,-0.9877829634093044,0.000252500908262508,-0.0037989867627836217,-0.0036090737188502076,-0.0020069647659722726,493,-0.0056176180786124295,-0.006051328988294969,0.2332657200811359,-0.9393103120262265,-0.9403699739112666,0.00044963737366580996,-0.005729160267480191,-0.00616884279464028,-0.00030474336490598965
LONG:20:1:0.5,True,LONG,20,1,0.5,23389,3775,-0.0014774662513745646,-0.002182769626537452,0.32317880794701986,-0.9965353069006513,-0.9967511567408753,0.00010830490460517873,-0.0016930033204829084,-0.0014894479198875894,-0.0012133155743027384,2830,-0.003202943393558571,-0.004423779145617896,0.2554770318021201,-0.999894340724551,-0.999894340724551,0.0001379569397401474,-0.0033841262978491966,-0.003174731075268381,-0.00283215510960086,2127,-0.0043119515466608395,-0.005629784738613894,0.23554301833568406,-0.9999046587435163,-0.9999046587435163,0.00017133601370923726,-0.004473439349970732,-0.004246015242761644,-0.0037118931752501603
LONG:20:2:0.25,True,LONG,20,2,0.25,8490,2243,-0.0015442742039958972,-0.0020906496911588484,0.32322781988408383,-0.9703873122790015,-0.9712608780339863,0.00014522566144945176,-0.0019972109256189176,-0.0012868832290186482,-0.0011225308456768038,719,-0.0035660861646807976,-0.004312365614156255,0.2767732962447844,-0.925617846359775,-0.9273742311749422,0.0003399590168760813,-0.0040746141790951465,-0.002549475370453891,-0.0013454256751707248,308,-0.005549548239636514,-0.006097459703496051,0.2597402597402597,-0.8228480515015475,-0.8274066258333865,0.0005926733509490199,-0.005945300434211712,-0.004677514880377404,-0.0006021748320008977
LONG:20:2:0.5,True,LONG,20,2,0.5,15401,2956,-0.001547106316277386,-0.002165225589540338,0.3135994587280108,-0.9903663579577447,-0.9906637755118372,0.0001226234557329327,-0.0019098768325004714,-0.0013944219792957357,-0.0012274040654452957,2049,-0.0032467817287371464,-0.004194623893670796,0.25866276232308444,-0.9987941904327045,-0.9988104520176273,0.0001647327061489392,-0.0036735435709825794,-0.002844086532516099,-0.00271761889068012,1480,-0.00431217138984526,-0.005226978291514858,0.23986486486486486,-0.9984094129731568,-0.9984122504537941,0.00020852276017284337,-0.004773584129799046,-0.0036351765536073066,-0.003356466450586178
