method,block_weeks,eligible_weeks,effect,critical_mean,mean_gate_power,mean_gate_wilson_low,mean_gate_wilson_high,joint_power,joint_wilson_low,joint_wilson_high,draws
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,1,208,0.0025,0.0061244520773,0.13796,0.133740762968,0.142290480878,0.13228,0.128136768953,0.136536220184,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,1,208,0.005,0.0061244520773,0.35852,0.352597502476,0.364485970011,0.34848,0.342597177306,0.354409380168,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,1,208,0.0075,0.0061244520773,0.65636,0.650449286569,0.662222668773,0.64584,0.639889568599,0.651745619218,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,1,208,0.01,0.0061244520773,0.88144,0.877374053438,0.885388741687,0.87616,0.872018917047,0.880185500461,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,1,260,0,0.00552097140779,0.0352,0.0329860904683,0.0375567283912,0.03296,0.0308176969099,0.0352458102332,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,1,260,0.0025,0.00552097140779,0.15856,0.154084708841,0.163140205255,0.15172,0.147326507248,0.15622050857,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,1,260,0.005,0.00552097140779,0.4242,0.418085791119,0.430337499909,0.41428,0.408187437489,0.420398901652,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,1,260,0.0075,0.00552097140779,0.74092,0.735452266299,0.746313706336,0.73372,0.728205253937,0.739162931038,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,1,260,0.01,0.00552097140779,0.93708,0.934002371165,0.940023327486,0.93364,0.930487427952,0.936659327706,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,1,312,0,0.00513171899076,0.03444,0.0322500955891,0.0367729567952,0.03208,0.0299665601769,0.0343372173634,25000
