signal_date,action_time,target_end_time,hold_days,sp500_close,btc_anchor,action_price,btc_return,sp500_return,btc_variance_20,rho,delta_rho,target,forecast,low_event,high_event,direction,signed_gross,plan_net
2022-08-03,2022-08-04 00:15:00+00:00,2022-08-05 00:15:00+00:00,1.0,4155.17,22801.5,22826.2,-0.007584697519358819,0.015517460750035557,0.0016000031192185706,0.41555773149516206,-0.01373280842147806,-0.008566257888173216,-0.0031808599219309416,True,False,1.0,-0.008566257888173216,-0.0035511535131391944
2022-08-10,2022-08-11 00:15:00+00:00,2022-08-12 00:15:00+00:00,1.0,4210.24,23941.0,24006.5,0.034025427074473716,0.021067154907856916,0.001178889995716552,0.41907900791877456,0.01217471437950457,-0.010245377811810834,-0.006621357447924514,False,True,-1.0,0.010245377811810834,0.0011517554118568181
2022-08-19,2022-08-20 00:15:00+00:00,2022-08-23 00:15:00+00:00,3.0,4228.48,20825.0,20937.1,-0.1073513297905178,-0.012983869381359623,0.001403482180114183,0.4572928851511783,0.04268763839483375,0.020727379679122117,0.004161010151607429,False,True,-1.0,-0.020727379679122117,-0.006810612043068201
2022-08-22,2022-08-23 00:15:00+00:00,2022-08-24 00:15:00+00:00,1.0,4137.99,21387.0,21375.6,0.026629072750694788,-0.021632427725287454,0.0012432753789851979,0.4132840338831387,-0.04400885126803955,0.0074201466517725264,-0.00515563099663255,True,False,1.0,0.0074201466517725264,0.00044544762184724125
2022-08-26,2022-08-27 00:15:00+00:00,2022-08-30 00:15:00+00:00,3.0,4057.66,20228.7,20183.5,-0.06319453901085254,-0.03426852674898546,0.0010813457107880747,0.44890594892172814,0.0430930167571571,0.00246926534961796,0.0016276363468631042,False,True,-1.0,-0.00246926534961796,-0.002246083460692161
2022-09-09,2022-09-10 00:15:00+00:00,2022-09-13 00:15:00+00:00,3.0,4067.36,21352.0,21253.5,0.10055856696620363,0.015155971507018435,0.0016379429559805255,0.4633046425737099,0.02351929292005306,0.05200351333885899,-0.011858505610412476,False,True,-1.0,-0.05200351333885899,-0.014629645458002419
2022-09-13,2022-09-14 00:15:00+00:00,2022-09-15 00:15:00+00:00,1.0,3932.69,20162.6,20197.2,-0.1046063603256301,-0.04419911011958206,0.0022701559300127563,0.5295439483974199,0.06091508920194,0.0021168634812809167,0.0040781829381700664,False,True,-1.0,-0.0021168634812809167,-0.0019388049114161194
2022-09-22,2022-09-23 00:15:00+00:00,2022-09-24 00:15:00+00:00,1.0,3757.99,19392.5,19361.9,0.04995753343250492,-0.00846330926893181,0.0018781613032107347,0.49642478755677477,-0.024051708427954788,-0.006939667497121132,-0.00891766432211667,True,False,1.0,-0.006939667497121132,-0.0031445059153761734
2022-09-29,2022-09-30 00:15:00+00:00,2022-10-01 00:15:00+00:00,1.0,3640.47,19582.5,19530.2,0.008981873622005533,-0.02135277627216209,0.0016637834033284074,0.46558805408444964,-0.018539738189513766,-0.004243458392762263,-0.004708682674932312,True,False,1.0,-0.004243458392762263,-0.002470453639286456
2022-10-04,2022-10-05 00:15:00+00:00,2022-10-06 00:15:00+00:00,1.0,3790.93,20332.9,20242.8,0.03559397439494285,0.03012534086530393,0.0015523846384357814,0.4725018562849499,0.012525542649441668,-0.000237149464560694,-0.008335825491035904,False,True,-1.0,0.000237149464560694,-0.001350301674955717
