signal_date,action_time,target_end_time,hold_days,sp500_close,btc_anchor,action_price,btc_return,sp500_return,btc_variance_20,rho,delta_rho,target,forecast,low_event,high_event,direction,signed_gross,plan_net
2022-08-01,2022-08-02 00:15:00+00:00,2022-08-03 00:15:00+00:00,1.0,4118.63,23257.6,23372.9,-0.021834389983513943,-0.0028270386343186996,0.0017111828926841678,0.429228419593234,-0.0006408589341095339,-0.018573069772520767,-0.001624730292044204,False,False,0.0,-0.0,-0.00010958904109589041
2022-08-02,2022-08-03 00:15:00+00:00,2022-08-04 00:15:00+00:00,1.0,4091.19,22975.1,22942.8,-0.012220939550199908,-0.006684702509967414,0.0016149192429723868,0.4292905399166401,6.212032340613405e-05,-0.00509516276305791,-0.002291279279121554,False,False,0.0,-0.0,-0.00010958904109589041
2022-08-03,2022-08-04 00:15:00+00:00,2022-08-05 00:15:00+00:00,1.0,4155.17,22801.5,22826.2,-0.007584697519358819,0.015517460750035557,0.0016000031192185706,0.41555773149516206,-0.01373280842147806,-0.008566257888173216,-0.0031808599219309416,True,False,1.0,-0.008566257888173216,-0.0035511535131391944
2022-08-04,2022-08-05 00:15:00+00:00,2022-08-06 00:15:00+00:00,1.0,4151.94,22608.9,22631.5,-0.008482689203031525,-0.0007776471390832699,0.0014771010166671219,0.4143279376107079,-0.0012297938844541556,0.025740138868255543,-0.0024697680314982344,False,False,0.0,0.0,-0.00010958904109589041
2022-08-05,2022-08-06 00:15:00+00:00,2022-08-09 00:15:00+00:00,3.0,4145.19,23298.0,23221.6,0.030023885910570102,-0.0016270689959386672,0.0015220963125066457,0.4077987300311653,-0.0065292075795426174,0.023762011251389964,-0.0049926153780494725,False,False,0.0,0.0,-0.00032876712328767124
2022-08-08,2022-08-09 00:15:00+00:00,2022-08-10 00:15:00+00:00,1.0,4140.06,23804.3,23780.0,0.021498716649482427,-0.0012383454103545306,0.0012356499678499017,0.4034470501762125,-0.004351679854952772,-0.029956442265470448,-0.004594285574038334,False,False,0.0,-0.0,-0.00010958904109589041
2022-08-09,2022-08-10 00:15:00+00:00,2022-08-11 00:15:00+00:00,1.0,4122.47,23140.1,23078.2,-0.028299193349699634,-0.004257782198348112,0.0012239990419564855,0.40690429353927,0.0034572433630574717,0.03943617801538703,-0.0009449509255657408,False,False,0.0,0.0,-0.00010958904109589041
2022-08-10,2022-08-11 00:15:00+00:00,2022-08-12 00:15:00+00:00,1.0,4210.24,23941.0,24006.5,0.034025427074473716,0.021067154907856916,0.001178889995716552,0.41907900791877456,0.01217471437950457,-0.010245377811810834,-0.006621357447924514,False,True,-1.0,0.010245377811810834,0.0011517554118568181
2022-08-11,2022-08-12 00:15:00+00:00,2022-08-13 00:15:00+00:00,1.0,4207.27,23917.3,23761.8,-0.0009904238945953082,-0.0007056718966173459,0.0011634958168883676,0.4176268548882076,-0.0014521530305669494,0.024620963977311207,-0.00352932992355699,False,False,0.0,0.0,-0.00010958904109589041
2022-08-12,2022-08-13 00:15:00+00:00,2022-08-16 00:15:00+00:00,3.0,4280.15,24387.5,24354.1,0.019468659491983054,0.01717407440983608,0.0011754719747972694,0.42030093794208806,0.0026740830538804494,-0.010604562003775301,-0.0056335006060027615,False,False,0.0,-0.0,-0.00032876712328767124
2022-08-15,2022-08-16 00:15:00+00:00,2022-08-17 00:15:00+00:00,1.0,4297.14,24085.2,24097.2,-0.012473161977918893,0.003961629423932771,0.0009091062466229826,0.41588485034972766,-0.004416087592360396,-0.007188432888292641,-0.003194187507806606,False,False,0.0,-0.0,-0.00010958904109589041
2022-08-16,2022-08-17 00:15:00+00:00,2022-08-18 00:15:00+00:00,1.0,4305.2,23843.0,23924.6,-0.010106870765040627,0.0018739092755182558,0.0008259138658302742,0.41312427522128503,-0.0027605751284426328,-0.022376345169124956,-0.003280939161402224,False,False,0.0,-0.0,-0.00010958904109589041
2022-08-17,2022-08-18 00:15:00+00:00,2022-08-19 00:15:00+00:00,1.0,4274.04,23333.1,23395.2,-0.02161771987502114,-0.00726407864047862,0.0008467917147532949,0.4173376674963772,0.004213392275092154,-0.014374985190177618,-0.0021427870798060257,False,False,0.0,-0.0,-0.00010958904109589041
2022-08-18,2022-08-19 00:15:00+00:00,2022-08-20 00:15:00+00:00,1.0,4283.74,23185.0,23061.3,-0.006367435487824707,0.002266944033161183,0.0008482673408078164,0.4146052467563445,-0.0027324207400326594,-0.09663318300150182,-0.0035813370531191198,False,False,0.0,-0.0,-0.00010958904109589041
2022-08-19,2022-08-20 00:15:00+00:00,2022-08-23 00:15:00+00:00,3.0,4228.48,20825.0,20937.1,-0.1073513297905178,-0.012983869381359623,0.001403482180114183,0.4572928851511783,0.04268763839483375,0.020727379679122117,0.004161010151607429,False,True,-1.0,-0.020727379679122117,-0.006810612043068201
2022-08-22,2022-08-23 00:15:00+00:00,2022-08-24 00:15:00+00:00,1.0,4137.99,21387.0,21375.6,0.026629072750694788,-0.021632427725287454,0.0012432753789851979,0.4132840338831387,-0.04400885126803955,0.0074201466517725264,-0.00515563099663255,True,False,1.0,0.0074201466517725264,0.00044544762184724125
2022-08-23,2022-08-24 00:15:00+00:00,2022-08-25 00:15:00+00:00,1.0,4128.73,21518.2,21534.8,0.006115827869024917,-0.002240309064050325,0.0012447608491683506,0.41134098206898284,-0.0019430518141558828,-0.010817629224496996,-0.0036747276166638086,False,False,0.0,-0.0,-0.00010958904109589041
2022-08-24,2022-08-25 00:15:00+00:00,2022-08-26 00:15:00+00:00,1.0,4140.77,21355.0,21303.1,-0.007613184379196202,0.002911907251337381,0.0009512336292457149,0.4088869460802987,-0.0024540359886841556,0.008846782238204398,-0.003186716679557924,False,False,0.0,0.0,-0.00010958904109589041
2022-08-25,2022-08-26 00:15:00+00:00,2022-08-27 00:15:00+00:00,1.0,4199.12,21548.3,21492.4,0.009011022833733345,0.013993218645290096,0.0008820433515860937,0.40581293216457104,-0.003074013915727647,-0.0628339453345695,-0.004763299887678246,False,False,0.0,-0.0,-0.00010958904109589041
2022-08-26,2022-08-27 00:15:00+00:00,2022-08-30 00:15:00+00:00,3.0,4057.66,20228.7,20183.5,-0.06319453901085254,-0.03426852674898546,0.0010813457107880747,0.44890594892172814,0.0430930167571571,0.00246926534961796,0.0016276363468631042,False,True,-1.0,-0.00246926534961796,-0.002246083460692161
2022-08-29,2022-08-30 00:15:00+00:00,2022-08-31 00:15:00+00:00,1.0,4030.61,20275.5,20233.4,0.0023108724935443407,-0.006688723509263949,0.0010577756880745372,0.44638092208282926,-0.0025250268388988806,-0.018078354333177196,-0.004662372152293133,False,False,0.0,-0.0,-0.00010958904109589041
2022-08-30,2022-08-31 00:15:00+00:00,2022-09-01 00:15:00+00:00,1.0,3986.16,19803.2,19870.9,-0.023569719806234228,-0.011089367791653617,0.0010780847044872745,0.4485270969047466,0.002146174821917368,0.011438589182082532,-0.002633390629638613,False,False,0.0,0.0,-0.00010958904109589041
2022-08-31,2022-09-01 00:15:00+00:00,2022-09-02 00:15:00+00:00,1.0,3955.0,20041.4,20099.5,0.011956593252368643,-0.00784776025709875,0.0010823563287743955,0.44268821646333756,-0.005838880441409067,-6.96558998829026e-05,-0.005205204572868394,False,False,0.0,-0.0,-0.00010958904109589041
2022-09-01,2022-09-02 00:15:00+00:00,2022-09-03 00:15:00+00:00,1.0,3966.85,20122.6,20098.1,0.00404342747885018,0.0029917276491103818,0.0010795759932574701,0.44091811131828423,-0.0017701051450533245,-0.0073861148855746085,-0.004907561768173176,False,False,0.0,-0.0,-0.00010958904109589041
