trade_id,stage,kind,symbol,category,decision_time,entry_time,exit_time,lookback_days,hold_days,top_targets,feature_value,condition_premium1,target_median_quote_volume_30d,feature_rank,rankable_targets,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_price_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,favorable_after_hurdle_return,base_price_cost_return,base_reconciliation_error,base_net_return,base_after_hurdle_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return,stress_after_hurdle_return
development-winner_negative_premium-1000XECUSDT-20220210-5-3,development,winner_negative_premium,1000XECUSDT,Payment,2022-02-09T00:00:00Z,2022-02-10T00:00:00Z,2022-02-11T00:00:00Z,5,1,3,0.1748277112803771,-0.00031954,13560070.842495,3,25,0.09717,0.09265,2.5728105382319644,3,-7.366483482556345e-05,-0.00011049725223834517,-0.011629103632808502,-0.011922126170628794,2.7755575615628914e-17,-0.011995791005454358,-0.012101950314539311,-0.012410504044458176,-3.469446951953614e-18,-0.01248416887928374,-0.012590275713027843,-0.012898881918287558,6.938893903907228e-18,-0.013009379170525904,-0.013115429571350812
development-winner_negative_premium-1000XECUSDT-20220314-5-3,development,winner_negative_premium,1000XECUSDT,Payment,2022-03-13T00:00:00Z,2022-03-14T00:00:00Z,2022-03-15T00:00:00Z,5,1,3,0.06234630406480557,-8.804666666666667e-05,10491815.82403,3,25,0.07341,0.07593,3.4055305816646233,3,-7.605149843345593e-05,-0.00011407724765018391,0.008581937065794853,0.008276787903555405,5.0306980803327406e-17,0.008200736405121948,0.008092407014800296,0.007768211115651846,3.9898639947466563e-17,0.007692159617218391,0.0075838848725751085,0.007259634327748232,1.9949319973733282e-17,0.007145557080098048,0.0070373410669331005
development-winner_negative_premium-1000XECUSDT-20220403-5-3,development,winner_negative_premium,1000XECUSDT,Payment,2022-04-02T00:00:00Z,2022-04-03T00:00:00Z,2022-04-04T00:00:00Z,5,1,3,0.3744262994983456,-0.010748306666666665,16645724.78595,3,25,0.12877,0.11618,1.9414459889725868,3,0.0008208531476644404,0.00038757187165003494,-0.024442805001164858,-0.024728139318164144,6.938893903907228e-18,-0.023907286170499704,-0.024012165610445058,-0.0252037111788459,1.734723475976807e-17,-0.02438285803118146,-0.024487686371769457,-0.025679283039527823,0.0,-0.025291711167877786,-0.025396441853799745
development-winner_negative_premium-1000XECUSDT-20220405-5-3,development,winner_negative_premium,1000XECUSDT,Payment,2022-04-04T00:00:00Z,2022-04-05T00:00:00Z,2022-04-06T00:00:00Z,5,1,3,0.13910128836283642,-1.8703333333333334e-05,19324200.6747,2,25,0.10876,0.11095,2.2986392055902907,2,-1.2268161186097832e-05,-3.183945940879e-05,0.005034019860242711,0.004730999448326556,-2.949029909160572e-17,0.004718731287140458,0.00461077603212523,0.004225968448878292,-3.469446951953614e-18,0.004213700287692195,0.0041057992973669855,0.0037209374494299174,-2.42861286636753e-17,0.0036890979900211273,0.003581253367286985
development-winner_negative_premium-1000XECUSDT-20220517-5-3,development,winner_negative_premium,1000XECUSDT,Payment,2022-05-16T00:00:00Z,2022-05-17T00:00:00Z,2022-05-18T00:00:00Z,5,1,3,0.28921974083264423,-0.00021278,15333892.26016,1,25,0.04675,0.04927,5.347593582887701,2,0.0002154270971278075,0.00010771354856390375,0.013475935828877017,0.01316785026737971,2.42861286636753e-17,0.013383277364507519,0.013274391119303397,0.012654382417112309,-2.2551405187698492e-17,0.012869809514240117,0.012760978440250481,0.012140914566844963,6.071532165918825e-17,0.012248628115408866,0.012139863786264637
development-winner_negative_premium-1000XECUSDT-20220520-5-3,development,winner_negative_premium,1000XECUSDT,Payment,2022-05-19T00:00:00Z,2022-05-20T00:00:00Z,2022-05-21T00:00:00Z,5,1,3,0.10465663217309484,-0.00024264,16063312.906624999,3,25,0.04701,0.04527,5.318017443097213,3,0.0005408322421335886,0.00025648815085832803,-0.009253350350989176,-0.009547798340778568,2.0816681711721685e-17,-0.00900696609864498,-0.009113446551692772,-0.010038550542437769,3.469446951953614e-18,-0.00949771830030418,-0.009604146022893945,-0.010529302744096997,3.469446951953614e-17,-0.010272814593238668,-0.010379159033099272
development-winner_negative_premium-1000XECUSDT-20220608-5-3,development,winner_negative_premium,1000XECUSDT,Payment,2022-06-07T00:00:00Z,2022-06-08T00:00:00Z,2022-06-09T00:00:00Z,5,1,3,0.13479942985135418,-0.0005708966666666666,15835885.361095,2,25,0.05572,0.05349,4.486719310839914,3,1.146867372577168e-06,-2.3901382358219678e-05,-0.010005384063173,-0.010299380832735072,1.214306433183765e-17,-0.010298233965362495,-0.010404575673956251,-0.010789381451902363,-1.9081958235744878e-17,-0.010788234584529786,-0.010894523643421694,-0.011279382071069599,3.469446951953614e-18,-0.011303283453427819,-0.011409517171227401
development-winner_negative_premium-1000XECUSDT-20220610-5-3,development,winner_negative_premium,1000XECUSDT,Payment,2022-06-09T00:00:00Z,2022-06-10T00:00:00Z,2022-06-11T00:00:00Z,5,1,3,0.0649834437086092,-0.00017523666666666667,14774117.91877,2,25,0.05147,0.04781,4.857198367981348,3,-4.839229041480474e-05,-7.258843562220712e-05,-0.017777346026811747,-0.01806667961919567,-6.938893903907228e-18,-0.018115071909610474,-0.01822057371275876,-0.018548912939576473,-3.8163916471489756e-17,-0.018597305229991277,-0.018702755218020117,-0.01903114625995725,2.42861286636753e-17,-0.019103734695579456,-0.019209130268655672
development-winner_negative_premium-1000XECUSDT-20220914-5-3,development,winner_negative_premium,1000XECUSDT,Payment,2022-09-13T00:00:00Z,2022-09-14T00:00:00Z,2022-09-15T00:00:00Z,5,1,3,0.04174573055028463,-0.00023736000000000002,18924002.930605,2,25,0.04391,0.04616,5.693463903438852,2,-1.8421058438282854e-05,-3.5443164154235946e-05,0.012810293782737403,0.012502607606467764,-2.42861286636753e-17,0.01248418654802948,0.012375396908547165,0.01198980499886132,-1.214306433183765e-17,0.011971383940423037,0.011862649400676162,0.011477002391254876,3.8163916471489756e-17,0.011441559227100639,0.011332881616084478
development-winner_negative_premium-1000XECUSDT-20220929-5-3,development,winner_negative_premium,1000XECUSDT,Payment,2022-09-28T00:00:00Z,2022-09-29T00:00:00Z,2022-09-30T00:00:00Z,5,1,3,0.05283307810107196,-0.0008473866666666667,20069336.040195,3,25,0.04127,0.04148,6.05766900896535,3,-5.847600582868912e-05,-8.771400874303369e-05,0.0012721104918827497,0.0009713472255876154,1.0299920638612292e-17,0.0009128712197589263,0.0008053248976931382,0.0004700758783620085,-1.22514845490862e-17,0.0004115998725333194,0.00030410741118935825,-3.119546886354296e-05,2.0952206983282373e-17,-0.00011890947760657665,-0.00022634493665696365
development-winner_negative_premium-1000XECUSDT-20230719-5-3,development,winner_negative_premium,1000XECUSDT,Payment,2023-07-18T00:00:00Z,2023-07-19T00:00:00Z,2023-07-20T00:00:00Z,5,1,3,0.007409793814432852,-0.0003566366666666666,83285205.389305,3,25,0.03127,0.03144,7.99488327470419,2,-1.0216621707707068e-05,-2.9932423421810046e-05,0.0013591301566997505,0.0010583146786057318,1.1492543028346347e-17,0.0010480980568980248,0.0009405372049471339,0.0005569563639270525,-5.778797579347739e-17,0.0005467397422193454,0.00043923276033486225,5.559804924853973e-05,3.960048435003305e-17,2.566562582672968e-05,-8.178536756342503e-05
development-winner_negative_premium-1000XECUSDT-20230801-5-3,development,winner_negative_premium,1000XECUSDT,Payment,2023-07-31T00:00:00Z,2023-08-01T00:00:00Z,2023-08-02T00:00:00Z,5,1,3,0.0443466486120514,-0.0009550833333333333,83285205.389305,2,24,0.03085,0.03126,8.103727714748784,2,1.612834636953e-06,-6.544654123987032e-06,0.003322528363047028,0.0030205348460292103,3.903127820947816e-18,0.0030221476806661634,0.002914374720566215,0.0025172143111832357,3.5128150388530344e-17,0.0025188271458201888,0.002411108266623385,0.00201389377633715,1.214306433183765e-17,0.002007349122213163,0.0018996852004278253
development-winner_negative_premium-1000XECUSDT-20230803-5-3,development,winner_negative_premium,1000XECUSDT,Payment,2023-08-02T00:00:00Z,2023-08-03T00:00:00Z,2023-08-04T00:00:00Z,5,1,3,0.006720430107526765,-0.00012376,76927563.57161,2,24,0.02996,0.02927,8.344459279038718,2,-4.9119859813084116e-05,-7.367978971962617e-05,-0.005757676902536701,-0.006054222296395184,6.071532165918825e-18,-0.006103342156208268,-0.006210134598525818,-0.006548468074098812,-4.2500725161431774e-17,-0.006597587933911896,-0.006704327270392607,-0.007042713851802385,2.168404344971009e-17,-0.007116393641522011,-0.00722307723324489
development-winner_negative_premium-1000XECUSDT-20231228-5-3,development,winner_negative_premium,1000XECUSDT,Payment,2023-12-27T00:00:00Z,2023-12-28T00:00:00Z,2023-12-29T00:00:00Z,5,1,3,0.17881380938329872,-0.0010451833333333333,11397953.89328,3,25,0.03994,0.03802,6.259389083625438,2,0.0007722993441405858,0.0003861496720702929,-0.012018027040560875,-0.012310816224336524,1.214306433183765e-17,-0.011538516880195937,-0.011644725322578875,-0.01279880540811218,-1.0408340855860843e-17,-0.012026506063971593,-0.012132662072777745,-0.013286794591887835,1.0408340855860843e-17,-0.012900644919817543,-0.013006707003945905
