decision_time,rankable,low_rsj_return,high_rsj_return,low_minus_high,reversal_low_minus_high,rsj_minus_reversal_spread,rsj_rank_ic,controlled_rsj_slope,equal_weight_market_return,score_prior_return_1d_spearman,score_realized_variance_15m_spearman,score_mom14_spearman,score_beta84_spearman,score_total_vol28_spearman,score_max28_spearman,score_log_volume30_spearman,selected_symbol,selected_gross_return,reversal_selected_symbol,reversal_selected_gross_return
2022-03-26T00:00:00Z,25,0.018984788444575386,0.03580723362545994,-0.016822445180884556,-0.006556469680813869,-0.010265975500070686,0.07999999999999999,-0.08797257944150982,0.060800061874002206,0.7207692307692307,0.3130769230769231,0.3492307692307692,-0.041538461538461545,0.1276923076923077,0.20076923076923076,-0.31846153846153846,AVAXUSDT,0.027340019102196633,SOLUSDT,0.02939690877866452
2022-03-27T00:00:00Z,25,0.04128572712912981,0.08262389848122582,-0.04133817135209601,-0.03330806916944667,-0.008030102182649344,0.2753846153846154,-0.002888555327789779,0.056173487526467426,0.8200000000000001,0.28076923076923077,-0.027692307692307697,0.2815384615384615,-0.005384615384615384,0.024615384615384615,0.06076923076923077,ETCUSDT,0.02988667348329921,ETCUSDT,0.02988667348329921
2022-03-28T00:00:00Z,25,-0.011563922856821573,-0.044432450234903234,0.03286852737808166,0.034116651284033406,-0.001248123905951748,-0.021538461538461538,0.015009934918016216,-0.009575713073629984,0.5923076923076923,-0.030769230769230767,-0.11846153846153845,-0.06384615384615384,-0.29615384615384616,-0.24769230769230768,-0.25769230769230766,RUNEUSDT,-0.008909548711989235,XRPUSDT,0.01461817331306281
2022-03-29T00:00:00Z,25,0.03584828192344545,0.018453593126801393,0.017394688796644055,0.012006152743315956,0.005388536053328098,-0.2376923076923077,-0.018940325546095607,0.044177049121812334,0.6030769230769231,0.2653846153846154,0.17615384615384613,0.011538461538461539,-0.1576923076923077,0.006923076923076924,-0.07384615384615385,ZECUSDT,0.0001545117428924936,ZECUSDT,0.0001545117428924936
2022-03-30T00:00:00Z,25,0.015505623466055085,0.0159279850714233,-0.0004223616053682152,0.03444174100626696,-0.034864102611635174,-0.22384615384615386,0.007721566753318122,0.06126039809227507,0.61,0.45461538461538464,0.31999999999999995,0.28307692307692306,0.019999999999999997,-0.026153846153846153,0.1853846153846154,XRPUSDT,0.008762705923589076,XRPUSDT,0.008762705923589076
2022-04-05T00:00:00Z,25,-0.049680369461794396,-0.06961406261164964,0.01993369314985524,-0.01695777693043876,0.036891470080294,-0.23153846153846153,-0.013346194611372347,-0.06244886688389732,0.7746153846153846,0.08615384615384615,0.018461538461538463,0.18615384615384614,0.37,0.3484615384615385,0.33230769230769236,LTCUSDT,-0.03721190781049932,VETUSDT,-0.06669183339625018
2022-04-06T00:00:00Z,25,-0.08426528062485197,-0.06918848037485063,-0.01507680025000134,0.0022846124004171284,-0.01736141265041847,0.057692307692307696,0.0031484721469686276,-0.06143028079536588,0.6569230769230769,0.10307692307692308,0.20615384615384616,-0.1946153846153846,-0.07692307692307691,-0.05846153846153846,0.08615384615384615,ETCUSDT,-0.0974596802104244,AVAXUSDT,-0.057575073379995456
2022-04-07T00:00:00Z,25,0.01590976329264073,0.07432591804945651,-0.05841615475681578,-0.01498892767203186,-0.04342722708478392,0.5715384615384614,0.020239378307768282,0.04894739620745393,0.4715384615384615,0.5876923076923077,0.4923076923076923,0.2623076923076923,0.22076923076923075,0.28384615384615386,-0.04076923076923076,LTCUSDT,0.00989049805722364,ETCUSDT,0.1241915279801622
2022-04-08T00:00:00Z,25,-0.06362577981254111,-0.05153642252945987,-0.012089357283081241,-0.020865042053604954,0.008775684770523713,0.21769230769230768,-0.007606511995334034,-0.0557751997924165,0.7676923076923077,0.22999999999999998,0.16307692307692304,-0.019999999999999997,0.11153846153846154,0.25,0.19230769230769232,LTCUSDT,-0.03182931094788388,LTCUSDT,-0.03182931094788388
2022-04-09T00:00:00Z,25,0.049856133794591265,0.013270793812213988,0.03658533998237728,0.021358227373540675,0.015227112608836604,-0.4876923076923077,-0.010913902781003642,0.023052217853951222,0.6153846153846153,-0.06230769230769231,-0.07769230769230769,-0.30615384615384617,-0.2892307692307692,-0.2169230769230769,0.20923076923076922,ETCUSDT,0.030826808489683444,RUNEUSDT,0.07227813357731017
2022-04-10T00:00:00Z,25,-0.036830476290108424,-0.03157420167246017,-0.005256274617648257,-0.0032451004030046304,-0.0020111742146436268,-0.11923076923076922,0.00434025716378037,-0.034513142736783374,0.7853846153846153,0.26384615384615384,-0.043076923076923075,0.20923076923076922,-0.002307692307692308,-0.01769230769230769,-0.052307692307692305,NEARUSDT,-0.1067933382933669,NEARUSDT,-0.1067933382933669
2022-04-11T00:00:00Z,25,-0.07023156722016925,-0.09356708809095511,0.02333552087078586,0.01217863316293058,0.011156887707855279,-0.2169230769230769,0.005737472560487379,-0.08397260925147025,0.6353846153846153,0.4238461538461538,0.07615384615384616,-0.018461538461538463,0.07384615384615385,0.14615384615384616,-0.21769230769230768,AVAXUSDT,-0.08218838965218467,NEARUSDT,0.01832511052732766
2022-04-12T00:00:00Z,25,0.049633109782866745,0.025020249795438997,0.024612859987427748,0.008023110418383439,0.01658974956904431,-0.23307692307692307,-0.012011289586121288,0.03686779800087819,0.5384615384615384,0.31076923076923074,0.31999999999999995,-0.14846153846153848,-0.07923076923076922,0.024615384615384615,0.04692307692307692,RUNEUSDT,0.01861494402499342,RUNEUSDT,0.01861494402499342
2022-04-13T00:00:00Z,25,0.029234187977142057,0.0414336246900834,-0.012199436712941346,-0.006439916170812146,-0.0057595205421292,0.06846153846153846,0.0055239203398113595,0.030477680201900316,0.46076923076923076,-0.3592307692307692,0.10076923076923076,-0.53,-0.4392307692307692,-0.33999999999999997,0.08846153846153845,ZILUSDT,0.027101769911504592,ZILUSDT,0.027101769911504592
2022-04-14T00:00:00Z,25,-0.010271911155317937,-0.024549948921076002,0.014278037765758065,0.011811420515896873,0.0024666172498611916,0.030769230769230767,-0.00431245768430432,-0.0190053794575435,0.6407692307692306,0.10846153846153846,-0.30153846153846153,0.2230769230769231,0.1446153846153846,0.012307692307692308,0.15923076923076923,NEARUSDT,-0.03705008513886443,SOLUSDT,-0.036207717960933805
2022-04-15T00:00:00Z,25,0.017597653417923097,0.004244431572686102,0.013353221845236993,-0.017972849999256232,0.03132607184449322,-0.17076923076923078,0.010061591166580662,0.015710282913981383,0.653076923076923,0.4923076923076923,0.022307692307692306,0.33307692307692305,0.31846153846153846,0.32692307692307687,0.09230769230769231,LINKUSDT,0.03049360146252278,SOLUSDT,-9.886307464168631e-05
2022-04-16T00:00:00Z,25,-0.015865254796305895,0.006496222330310641,-0.022361477126616534,-0.009822411304551415,-0.01253906582206512,0.18615384615384614,0.0050991395397866415,-0.0031170267134339145,0.8453846153846154,-0.32846153846153847,0.45692307692307693,-0.5884615384615385,-0.5507692307692308,-0.29692307692307696,-0.39,AVAXUSDT,0.005443940375891021,ZILUSDT,-0.009629229661627048
2022-04-17T00:00:00Z,25,-0.028115450621124548,-0.02743958821403416,-0.0006758624070903885,-0.0011389536010063123,0.0004630911939159238,0.12538461538461537,0.006927056318099672,-0.0317954107126063,0.5084615384615384,-0.4084615384615385,0.2623076923076923,-0.3815384615384615,-0.3730769230769231,-0.23846153846153845,-0.07153846153846154,ZILUSDT,-0.004725124943207537,RUNEUSDT,-0.039758429793658845
2022-04-18T00:00:00Z,25,0.02446742790844003,0.04466052488118222,-0.020193096972742186,0.019379787767640134,-0.03957288474038232,0.2030769230769231,-0.00023343588952879756,0.04294323862844882,0.6753846153846154,0.41615384615384615,0.002307692307692308,0.22999999999999998,0.023846153846153843,0.14923076923076922,0.1746153846153846,ETCUSDT,0.018651519702886477,RUNEUSDT,0.08595387840670865
2022-04-19T00:00:00Z,25,0.021034370269034187,0.025845057379586554,-0.004810687110552367,0.02010961077182587,-0.024920297882378237,-0.31153846153846154,0.02169744593584397,0.02863339479233019,0.8084615384615383,0.11076923076923079,0.37846153846153846,-0.2076923076923077,-0.2692307692307692,-0.16692307692307692,-0.2169230769230769,ZILUSDT,0.024729803993405408,ZILUSDT,0.024729803993405408
2022-04-20T00:00:00Z,25,-0.006418048213397376,-0.004153457989705034,-0.002264590223692342,-0.005196125875051227,0.002931535651358885,0.04461538461538461,-0.012730143701492017,-0.0015035590646918617,0.8492307692307692,0.39307692307692305,-0.16461538461538464,0.6007692307692307,0.39615384615384613,0.19538461538461538,0.24615384615384614,XRPUSDT,-0.025452196382429015,XRPUSDT,-0.025452196382429015
2022-04-21T00:00:00Z,25,-0.04082773816589835,-0.03678066575683623,-0.004047072409062123,0.021951359944813963,-0.025998432353876087,-0.15307692307692308,0.02999373690197632,-0.0287527937003561,0.7838461538461537,0.5661538461538461,0.050769230769230775,0.34615384615384615,0.4876923076923077,0.4230769230769231,-0.11846153846153845,AVAXUSDT,-0.041698449021103534,NEARUSDT,-0.06727316255685889
2022-04-22T00:00:00Z,25,-0.0008740903007043554,-0.024693076848178543,0.023818986547474188,0.03156626164623157,-0.007747275098757386,-0.22230769230769232,0.04573489465647057,-0.006851604317788049,0.3730769230769231,0.7092307692307692,0.24461538461538462,-0.06769230769230769,0.47307692307692306,0.5669230769230769,-0.3238461538461538,NEARUSDT,-0.004363449691991761,ZILUSDT,-0.028785658881323783
2022-04-23T00:00:00Z,25,0.007681808489718866,0.016829221505428295,-0.009147413015709429,-0.012123184362301311,0.0029757713465918822,-0.1992307692307692,-0.022520034366330013,-0.002369896187098064,0.7861538461538461,0.10461538461538461,0.08538461538461539,-0.08923076923076922,-0.09538461538461537,-0.18692307692307694,-0.050769230769230775,ZILUSDT,-0.015618067264176028,ZILUSDT,-0.015618067264176028
2022-04-24T00:00:00Z,25,-0.02235221237175995,-0.00596954992138774,-0.01638266245037221,-0.01478601835448765,-0.0015966440958845602,0.09769230769230769,0.004007412634461609,-0.018861469665685745,0.8492307692307692,0.6284615384615384,0.28384615384615386,0.12615384615384617,0.42076923076923073,0.2946153846153846,-0.34307692307692306,ETCUSDT,-0.03833376664644539,ETCUSDT,-0.03833376664644539
2022-04-25T00:00:00Z,25,0.024319859084779294,0.03658201726791965,-0.01226215818314036,-0.01151087397258399,-0.0007512842105563688,0.2846153846153846,-0.022677731612244522,0.016875091824430987,0.8792307692307693,0.27,0.2815384615384615,0.10692307692307691,-0.03538461538461538,-0.18,-0.1746153846153846,ZILUSDT,-0.013334603295551917,ZILUSDT,-0.013334603295551917
2022-04-26T00:00:00Z,25,-0.08753181116511735,-0.0967002383424594,0.00916842717734205,-0.0018520371277533226,0.011020464305095373,0.005384615384615384,-0.005012604647306023,-0.07826076754757562,0.7746153846153846,0.14923076923076922,0.6869230769230769,0.08230769230769232,0.016923076923076923,-0.02692307692307692,0.021538461538461538,NEARUSDT,-0.11644499861457458,NEARUSDT,-0.11644499861457458
