decision_time,signal_date,entry_time,exit_time,symbol,resolution_minutes,rsj,realized_variance_15m,prior_return_1d,mom14,beta84,total_vol28,max28,log_volume30,target_return,group
2022-03-26T00:00:00Z,2022-03-25T00:00:00Z,2022-03-26T00:15:00Z,2022-03-27T00:15:00Z,AVAXUSDT,30,-0.615440967889136,0.001510760749221163,-0.04648241206030157,0.17310664605873227,1.179579902939037,0.049969722649095855,0.12693333333333334,20.39102447102989,0.027340019102196633,low
2022-03-26T00:00:00Z,2022-03-25T00:00:00Z,2022-03-26T00:15:00Z,2022-03-27T00:15:00Z,XRPUSDT,30,-0.5356859032468873,0.00036103698751177354,-0.02230924409635704,0.026538749065536882,0.8179719586028045,0.037211480164058355,0.09063731485256143,20.24392139713512,0.007633587786259444,low
2022-03-26T00:00:00Z,2022-03-25T00:00:00Z,2022-03-26T00:15:00Z,2022-03-27T00:15:00Z,LINKUSDT,30,-0.5318330129571458,0.0013194639397627345,-0.035643564356435675,0.19527534897990484,0.8815572459549796,0.04552626136739011,0.10860956292167812,19.28442314223272,0.011064918452190708,low
2022-03-26T00:00:00Z,2022-03-25T00:00:00Z,2022-03-26T00:15:00Z,2022-03-27T00:15:00Z,NEARUSDT,30,-0.4883512009309076,0.0035372028688508807,-0.051757585163342834,0.19335937500000044,1.1964369643249793,0.07599408540576658,0.2108934249666632,19.696983652098933,0.03246226261970464,low
2022-03-26T00:00:00Z,2022-03-25T00:00:00Z,2022-03-26T00:15:00Z,2022-03-27T00:15:00Z,SNXUSDT,30,-0.4287737436594349,0.003309864040743446,-0.04301686564335805,0.21306749939947123,1.1372697853195588,0.0687549196639992,0.20792838874680308,17.6232592111355,0.011660079051383443,low
2022-03-26T00:00:00Z,2022-03-25T00:00:00Z,2022-03-26T00:15:00Z,2022-03-27T00:15:00Z,CRVUSDT,30,-0.41091422691204543,0.001850168736353203,-0.04119377889869691,0.1596339603457042,1.2585477486725,0.05225967796679234,0.11476909007773228,18.378255030175087,0.043193717277487,other
2022-03-26T00:00:00Z,2022-03-25T00:00:00Z,2022-03-26T00:15:00Z,2022-03-27T00:15:00Z,LTCUSDT,30,-0.3863138521568158,0.0010136740594906264,-0.02063730528979202,0.1865121180189675,0.8771929389385622,0.04053418637459722,0.1039743465163736,19.129193953204933,0.006128538021127339,other
2022-03-26T00:00:00Z,2022-03-25T00:00:00Z,2022-03-26T00:15:00Z,2022-03-27T00:15:00Z,BNBUSDT,30,-0.3773099188932738,0.0005387696274280292,-0.009490690429616588,0.10320342128621007,0.794810139061978,0.03213940392361862,0.09861932938856022,19.732887187382516,0.011629604398812887,other
2022-03-26T00:00:00Z,2022-03-25T00:00:00Z,2022-03-26T00:15:00Z,2022-03-27T00:15:00Z,VETUSDT,30,-0.36438747423054685,0.0025448781693249724,-0.033188531711555114,0.20511154429283063,1.075555966524971,0.04607195019142705,0.1437362637362638,17.999433344346464,0.21132547338335117,other
2022-03-26T00:00:00Z,2022-03-25T00:00:00Z,2022-03-26T00:15:00Z,2022-03-27T00:15:00Z,KAVAUSDT,30,-0.33544249736554366,0.0009258480136856733,-0.010143702451394843,0.23056714065219563,0.9891271868393853,0.042077773296236895,0.12941956882255368,17.065362066023575,0.03470692811844933,other
2022-03-26T00:00:00Z,2022-03-25T00:00:00Z,2022-03-26T00:15:00Z,2022-03-27T00:15:00Z,DASHUSDT,30,-0.31880013958426984,0.0028393044718386926,-0.02879137798306397,0.32995994096563375,0.8736407327454204,0.05827017518424865,0.13961664965407738,17.36414480062189,0.005691699604743139,other
2022-03-26T00:00:00Z,2022-03-25T00:00:00Z,2022-03-26T00:15:00Z,2022-03-27T00:15:00Z,ZILUSDT,30,-0.3129111290072275,0.002030507173426684,-0.03216670038438196,0.18065153010858803,1.0230801300393935,0.04239105318207188,0.10720697614773034,16.729513921911927,0.8892122219912699,other
2022-03-26T00:00:00Z,2022-03-25T00:00:00Z,2022-03-26T00:15:00Z,2022-03-27T00:15:00Z,AAVEUSDT,30,-0.2831311827597794,0.0027330125675199286,-0.032575035731300606,0.3941812564366629,1.1041708648437154,0.05472983079558592,0.16063960639606378,18.503980242948288,0.00036848246637588566,other
2022-03-26T00:00:00Z,2022-03-25T00:00:00Z,2022-03-26T00:15:00Z,2022-03-27T00:15:00Z,TRXUSDT,30,-0.28295112756836105,0.00045966082016852064,-0.01980801462745685,0.06895978730475272,0.5781797673064721,0.02112985970144993,0.06431034482758613,18.06026858974444,0.02451132485262164,other
2022-03-26T00:00:00Z,2022-03-25T00:00:00Z,2022-03-26T00:15:00Z,2022-03-27T00:15:00Z,UNIUSDT,30,-0.2826965713028779,0.0019262634133478795,-0.019207571680430413,0.24338313139630663,0.9599704830432073,0.044519041231370626,0.07908980448470104,18.055946636146206,-0.0013195098963241225,other
2022-03-26T00:00:00Z,2022-03-25T00:00:00Z,2022-03-26T00:15:00Z,2022-03-27T00:15:00Z,SOLUSDT,30,-0.2666899864993119,0.0021316981205874745,-0.036845191555903045,0.22209821428571486,1.1047259933480376,0.05172300345369216,0.1641930583148301,20.51264105950438,0.02939690877866452,other
2022-03-26T00:00:00Z,2022-03-25T00:00:00Z,2022-03-26T00:15:00Z,2022-03-27T00:15:00Z,HBARUSDT,30,-0.2399014028359694,0.001600847463355008,0.012618010167029903,0.08733794716833998,0.8367749168068463,0.032645078971702435,0.0973063170441002,17.218102726393298,0.011996610623020931,other
