config_id,selected_candidate,direction,filter,raw_trigger_count,eligible_trigger_count,eligible_trigger_fraction,trigger_funding_positive,trigger_funding_negative,trigger_funding_zero,trigger_funding_unknown,favorable_trades,favorable_mean,favorable_median,favorable_win_rate,favorable_total_compound,favorable_max_drawdown,favorable_standard_error,favorable_p01,favorable_worst,favorable_mean_2021,favorable_mean_2022,favorable_mean_2023,base_trades,base_mean,base_median,base_win_rate,base_total_compound,base_max_drawdown,base_standard_error,base_p01,base_worst,base_mean_2021,base_mean_2022,base_mean_2023,stress_trades,stress_mean,stress_median,stress_win_rate,stress_total_compound,stress_max_drawdown,stress_standard_error,stress_p01,stress_worst,stress_mean_2021,stress_mean_2022,stress_mean_2023
LONG:NON_ADVERSE_LATEST_SETTLED_FUNDING,True,LONG,NON_ADVERSE_LATEST_SETTLED_FUNDING,15401,1958,0.12713460164924356,13443,1958,0,0,401,-0.0013664100943972923,-0.0023235254379662925,0.3316708229426434,-0.4285947707609552,-0.4360353134377123,0.00037623216831300535,-0.020562075033230088,-0.023692084488149384,-0.0010927168642007351,-0.0016077873563920373,-0.0010692364979601166,294,-0.0027377917478301874,-0.004045485995544132,0.29591836734693877,-0.5580539460808591,-0.5580539460808591,0.0004945406077431323,-0.021851687527829768,-0.024475206901105485,-0.0025326660432058307,-0.0028885597263867187,-0.0025265732625436403,217,-0.003752510896821336,-0.004755434015569641,0.2488479262672811,-0.5617894187410784,-0.5617894187410784,0.000626443194183004,-0.024211076834461272,-0.02496530814920301,-0.0038193613209717616,-0.004008507259324053,-0.0012886520945499906
LONG:UNFILTERED,False,LONG,UNFILTERED,15401,15401,1.0,13443,1958,0,0,2956,-0.001547106316277386,-0.002165225589540338,0.3135994587280108,-0.9903663579577447,-0.9906637755118372,0.0001226234557329327,-0.016985816982970157,-0.03454116081544059,-0.0019098768325004714,-0.0013944219792957357,-0.0012274040654452957,2049,-0.0032467817287371464,-0.004194623893670796,0.25866276232308444,-0.9987941904327045,-0.9988104520176273,0.0001647327061489392,-0.020345312426296818,-0.0353156022311353,-0.0036735435709825794,-0.002844086532516099,-0.00271761889068012,1480,-0.00431217138984526,-0.005226978291514858,0.23986486486486486,-0.9984094129731568,-0.9984122504537941,0.00020852276017284337,-0.022211437379089947,-0.03580027785594459,-0.004773584129799046,-0.0036351765536073066,-0.003356466450586178
SHORT:NON_ADVERSE_LATEST_SETTLED_FUNDING,True,SHORT,NON_ADVERSE_LATEST_SETTLED_FUNDING,13683,11948,0.8732003215669079,11948,1735,0,0,2399,-0.0019077266367129092,-0.0023569392425043523,0.31471446436015005,-0.9904847084737829,-0.9905495539967485,0.00016005637426115454,-0.022227999379468743,-0.05910849386129224,-0.0025651565920008987,-0.0015850989385139944,-0.0012877655027926506,1740,-0.0037912862632897906,-0.004815634158955522,0.2557471264367816,-0.9987387505410245,-0.9987387505410245,0.00020879488847177054,-0.026452514112305137,-0.05995369107287469,-0.004328321641591608,-0.003259542050177755,-0.0030942359152482894,1305,-0.005148152189881559,-0.006645151449517176,0.2222222222222222,-0.9988819499666229,-0.9988819499666229,0.00026573410298368836,-0.02813579588722474,-0.05998213597451954,-0.005637471037809338,-0.00423796328016341,-0.004787018455907781
SHORT:UNFILTERED,False,SHORT,UNFILTERED,13683,13683,1.0,11948,1735,0,0,2729,-0.0018437959946405234,-0.0023333383468870563,0.31366801026016855,-0.9940448729460262,-0.9940854563928998,0.00015287146348991155,-0.0227403718076987,-0.05910849386129224,-0.0024829130671220226,-0.001515452253690261,-0.0013531606447876655,1981,-0.0036864815506483448,-0.004794267014953132,0.2579505300353357,-0.9993858029994823,-0.9993858029994823,0.00019998892761211202,-0.026619157190101987,-0.05995369107287469,-0.004200246499010789,-0.003231956180509004,-0.0031205286424493663,1484,-0.005051007878896982,-0.00659642371750649,0.22506738544474394,-0.9994928704635982,-0.9994928704635982,0.00025512597135973666,-0.028226886582603396,-0.05998213597451954,-0.005489378495856787,-0.0043607401141102665,-0.004852611536321305
