trade_id,week_id,entry_time,exit_time,decision_time,symbol,formation_days,state_window_weeks,state_mode,selection_mode,current_state_return,previous_state_return,formation_return,market_formation_return,leg_weight,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-20210215-BNBUSDT-7-6-up_up-winner,development-20210215,2021-02-15T00:00:00Z,2021-02-22T00:00:00Z,2021-02-14T00:00:00Z,BNBUSDT,7,6,up_up,winner,2.850333017777385,3.023004001273998,0.989834331834361,0.3099851522679797,0.25,135.89,294.945,0.0018397233056148357,20,-0.013123720688404969,-0.019685581032607452,0.2926171903745677,0.29214162006034294,0.0,0.279017899371938,0.2913491784402827,0.0,0.27822545775187774,0.2905567368202222,0.0,0.2708711557876148
development-20210222-BNBUSDT-7-6-up_up-winner,development-20210222,2021-02-22T00:00:00Z,2021-03-01T00:00:00Z,2021-02-21T00:00:00Z,BNBUSDT,7,6,up_up,winner,2.9694064774355438,2.850333017777385,1.1706074614999555,0.25680859493493247,0.25,294.945,210.196,0.000847615657156419,22,-0.0002536389710992757,-0.0007973083977896433,-0.07183457932834936,-0.07209147858075232,2.7755575615628914e-17,-0.07234511755185159,-0.07251968710217158,0.0,-0.07277332607327085,-0.07294789562359089,-2.7755575615628914e-17,-0.07374520402138053
development-20210301-ADAUSDT-7-6-up_up-winner,development-20210301,2021-03-01T00:00:00Z,2021-03-08T00:00:00Z,2021-02-28T00:00:00Z,ADAUSDT,7,6,up_up,winner,2.300160684023532,2.9694064774355438,0.19330831372050117,-0.1589312321525523,0.25,1.31367,1.13111,0.1903065457839488,21,-0.000867829747231706,-0.001301744620847559,-0.03474236299831765,-0.03502151758051866,0.0,-0.03588934732775037,-0.03548679606293814,-2.7755575615628914e-17,-0.03635462581016985,-0.03595207454535765,0.0,-0.03725381916620521
development-20210308-ETHUSDT-7-6-up_up-winner,development-20210308,2021-03-08T00:00:00Z,2021-03-15T00:00:00Z,2021-03-07T00:00:00Z,ETHUSDT,7,6,up_up,winner,2.7180175705035348,2.300160684023532,0.21655620276523657,0.09190777194689864,0.25,1727.73,1850.5,0.00014469853507203094,20,-0.003998651415056217,-0.005997977122584325,0.017764639150793238,0.01745398036730278,1.734723475976807e-17,0.013455328952246562,0.016936226386935482,6.938893903907228e-18,0.012937574971879265,0.016418472406568185,1.734723475976807e-17,0.010420495283983859
development-20210315-BTCUSDT-7-6-up_up-winner,development-20210315,2021-03-15T00:00:00Z,2021-03-22T00:00:00Z,2021-03-14T00:00:00Z,BTCUSDT,7,6,up_up,winner,1.3389794006558882,2.7180175705035348,0.1576979590460057,0.05281458652516905,0.25,59037.11,57415.19,4.234624628475208e-06,21,-0.001902490497580725,-0.0028537357463710874,-0.006868222377416494,-0.0071641014439900175,3.5561831257524545e-17,-0.009066591941570742,-0.0076572373425460305,-1.0408340855860843e-17,-0.009559727840126755,-0.008150373241102071,8.673617379884035e-18,-0.011004108987473159
development-20210322-XRPUSDT-7-6-up_up-winner,development-20210322,2021-03-22T00:00:00Z,2021-03-29T00:00:00Z,2021-03-21T00:00:00Z,XRPUSDT,7,6,up_up,winner,0.6550679108982713,1.3389794006558882,0.17796995903504764,0.03970694831940776,0.25,0.5174,0.5463,0.48318515655199074,21,-0.002289765349121617,-0.003434648023682426,0.013964051024352553,0.013655672593737955,1.9081958235744878e-17,0.011365907244616339,0.013141716921144242,-1.214306433183765e-17,0.010851951572022626,0.012627761248550473,1.214306433183765e-17,0.009193113224868047
development-20210329-XRPUSDT-7-6-up_up-winner,development-20210329,2021-03-29T00:00:00Z,2021-04-05T00:00:00Z,2021-03-28T00:00:00Z,XRPUSDT,7,6,up_up,winner,0.24742564181650417,0.6550679108982713,0.05544822256568782,-0.012663432975944059,0.25,0.5463,0.6353,0.45762401610836534,22,-0.006749263272992815,-0.010123894909489225,0.04072853743364452,0.0404041003111843,-1.3877787807814457e-17,0.033654837038191485,0.0398633962108732,2.7755575615628914e-17,0.03311413293788039,0.03932269211056194,-6.938893903907228e-18,0.029198797201072716
development-20210405-BNBUSDT-7-6-up_up-winner,development-20210405,2021-04-05T00:00:00Z,2021-04-12T00:00:00Z,2021-04-04T00:00:00Z,BNBUSDT,7,6,up_up,winner,0.12490348335608648,0.24742564181650417,0.2994988820642934,0.1333648427295532,0.25,349.277,526.188,0.0007157642787815974,20,-0.004628813770214032,-0.00694322065532105,0.1266265743235312,0.1262505983789371,2.7755575615628914e-17,0.12162178460872307,0.12562404778055808,-5.551115123125783e-17,0.12099523401034405,0.12499749718217923,0.0,0.11805427652685818
development-20210412-XRPUSDT-7-6-up_up-winner,development-20210412,2021-04-12T00:00:00Z,2021-04-19T00:00:00Z,2021-04-11T00:00:00Z,XRPUSDT,7,6,up_up,winner,0.8007575971771057,0.12490348335608648,1.1348968991027863,0.34639193127135764,0.25,1.3563,1.4105,0.18432500184325,22,-0.011657447183560569,-0.017486170775340853,0.00999041509990417,0.009684420850844255,4.336808689942018e-17,-0.001973026332716314,0.009174436429993438,4.163336342344337e-17,-0.0024830107535671313,0.00866445200914251,-2.949029909160572e-17,-0.008821718766198344
development-20210419-DOGEUSDT-7-6-up_up-winner,development-20210419,2021-04-19T00:00:00Z,2021-04-26T00:00:00Z,2021-04-18T00:00:00Z,DOGEUSDT,7,6,up_up,winner,1.5471774796832602,0.8007575971771057,3.331504533991522,0.5445070957658295,0.25,0.322945,0.251418,0.7741256251064423,20,-0.000775097941231634,-0.0012912800237408846,-0.055370883586988495,-0.05563766105683629,2.0816681711721685e-17,-0.05641275899806793,-0.056082323395779454,0.0,-0.05685742133701109,-0.056526985734722646,-1.3877787807814457e-17,-0.05781826575846353
development-20210426-BNBUSDT-7-6-up_up-winner,development-20210426,2021-04-26T00:00:00Z,2021-05-03T00:00:00Z,2021-04-25T00:00:00Z,BNBUSDT,7,6,up_up,winner,1.148236647867337,1.5471774796832602,0.04855774515843336,-0.1120780172475827,0.25,505.543,622.072,0.0004945177759359738,21,-0.002206149270887765,-0.003309223906331648,0.0576256619120431,0.05729108651489584,-2.7755575615628914e-17,0.05508493724400807,0.056733495428380964,-2.7755575615628914e-17,0.054527346157493196,0.056175904341866034,-4.163336342344337e-17,0.052866680435534386
development-20210503-XRPUSDT-7-6-up_up-winner,development-20210503,2021-05-03T00:00:00Z,2021-05-10T00:00:00Z,2021-05-02T00:00:00Z,XRPUSDT,7,6,up_up,winner,1.710750652060515,1.148236647867337,0.5081112398609502,0.3119533599366893,0.25,1.5619,1.5365,0.16006146360202317,21,-0.005223803969047811,-0.007835705953571715,-0.0040655611754913945,-0.004363121838786094,1.474514954580286e-17,-0.009586925807833904,-0.004859058716947334,-3.903127820947816e-17,-0.010082862685995144,-0.005354995595108547,6.938893903907228e-18,-0.013190701548680262
development-20210510-DOGEUSDT-7-6-up_up-winner,development-20210510,2021-05-10T00:00:00Z,2021-05-17T00:00:00Z,2021-05-09T00:00:00Z,DOGEUSDT,7,6,up_up,winner,2.3243555042404376,1.710750652060515,0.5242535719624972,0.21082982996954902,0.25,0.570871,0.5134,0.43792730757036175,21,-0.00021988914241501145,-0.000524240087357389,-0.025168120293376284,-0.025453019421200235,2.0816681711721685e-17,-0.025672908563615246,-0.02592786640177905,-3.469446951953614e-18,-0.02614775554419406,-0.02640271338235778,4.85722573273506e-17,-0.026926953469715166
development-20210517-ADAUSDT-7-6-up_up-winner,development-20210517,2021-05-17T00:00:00Z,2021-05-24T00:00:00Z,2021-05-16T00:00:00Z,ADAUSDT,7,6,up_up,winner,1.788777392129552,2.3243555042404376,0.3010364188421284,-0.04922856583570665,0.25,2.301,1.3136,0.10864841373315949,21,0.0005751725273830835,-0.00011330694493454469,-0.10727944372012169,-0.1075150760538896,1.3877787807814457e-17,-0.10693990352650652,-0.1079078609778357,-1.3877787807814457e-17,-0.10733268845045262,-0.1083006459017819,-2.7755575615628914e-17,-0.10841395284671644
development-20210816-XRPUSDT-7-6-up_up-winner,development-20210816,2021-08-16T00:00:00Z,2021-08-23T00:00:00Z,2021-08-15T00:00:00Z,XRPUSDT,7,6,up_up,winner,0.488629421799065,0.18491965517330433,0.6482811698306823,0.32847316207695343,0.25,1.285,1.2266,0.19455252918287938,21,-0.0014945455623231907,-0.002241818343484786,-0.01136186770428016,-0.011655050583657567,2.42861286636753e-17,-0.013149596145980758,-0.0121436955330739,0.0,-0.013638241095397092,-0.012632340482490262,-6.938893903907228e-18,-0.014874158825975047
development-20210823-ADAUSDT-7-6-up_up-winner,development-20210823,2021-08-23T00:00:00Z,2021-08-30T00:00:00Z,2021-08-22T00:00:00Z,ADAUSDT,7,6,up_up,winner,0.6428847555921449,0.488629421799065,0.2477064220183487,0.03972197101389389,0.25,2.7067,2.8524,0.09236339453947612,21,-0.0015756561859063803,-0.0023634842788595707,0.01345734658440162,0.013149272176451066,6.418476861114186e-17,0.011573615990544685,0.012635822904274618,3.9898639947466563e-17,0.011060166718368238,0.01212237363209806,-1.3877787807814457e-17,0.00975888935323849
