trade_id,week_id,entry_time,exit_time,decision_time,symbol,formation_days,state_window_weeks,state_mode,selection_mode,current_state_return,previous_state_return,formation_return,market_formation_return,leg_weight,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-20210215-BNBUSDT-7-4-none-winner,development-20210215,2021-02-15T00:00:00Z,2021-02-22T00:00:00Z,2021-02-14T00:00:00Z,BNBUSDT,7,4,none,winner,2.122011063926527,1.4109602977505613,0.989834331834361,0.3099851522679797,0.25,135.89,294.945,0.0018397233056148357,20,-0.013123720688404969,-0.019685581032607452,0.2926171903745677,0.29214162006034294,0.0,0.279017899371938,0.2913491784402827,0.0,0.27822545775187774,0.2905567368202222,0.0,0.2708711557876148
development-20210222-BNBUSDT-7-4-none-winner,development-20210222,2021-02-22T00:00:00Z,2021-03-01T00:00:00Z,2021-02-21T00:00:00Z,BNBUSDT,7,4,none,winner,3.048498422372111,2.122011063926527,1.1706074614999555,0.25680859493493247,0.25,294.945,210.196,0.000847615657156419,22,-0.0002536389710992757,-0.0007973083977896433,-0.07183457932834936,-0.07209147858075232,2.7755575615628914e-17,-0.07234511755185159,-0.07251968710217158,0.0,-0.07277332607327085,-0.07294789562359089,-2.7755575615628914e-17,-0.07374520402138053
development-20210301-ADAUSDT-7-4-none-winner,development-20210301,2021-03-01T00:00:00Z,2021-03-08T00:00:00Z,2021-02-28T00:00:00Z,ADAUSDT,7,4,none,winner,1.034644535799416,3.048498422372111,0.19330831372050117,-0.1589312321525523,0.25,1.31367,1.13111,0.1903065457839488,21,-0.000867829747231706,-0.001301744620847559,-0.03474236299831765,-0.03502151758051866,0.0,-0.03588934732775037,-0.03548679606293814,-2.7755575615628914e-17,-0.03635462581016985,-0.03595207454535765,0.0,-0.03725381916620521
development-20210308-ETHUSDT-7-4-none-winner,development-20210308,2021-03-08T00:00:00Z,2021-03-15T00:00:00Z,2021-03-07T00:00:00Z,ETHUSDT,7,4,none,winner,0.5120041346400577,1.034644535799416,0.21655620276523657,0.09190777194689864,0.25,1727.73,1850.5,0.00014469853507203094,20,-0.003998651415056217,-0.005997977122584325,0.017764639150793238,0.01745398036730278,1.734723475976807e-17,0.013455328952246562,0.016936226386935482,6.938893903907228e-18,0.012937574971879265,0.016418472406568185,1.734723475976807e-17,0.010420495283983859
development-20210315-BTCUSDT-7-4-none-winner,development-20210315,2021-03-15T00:00:00Z,2021-03-22T00:00:00Z,2021-03-14T00:00:00Z,BTCUSDT,7,4,none,winner,0.21517408428593887,0.5120041346400577,0.1576979590460057,0.05281458652516905,0.25,59037.11,57415.19,4.234624628475208e-06,21,-0.001902490497580725,-0.0028537357463710874,-0.006868222377416494,-0.0071641014439900175,3.5561831257524545e-17,-0.009066591941570742,-0.0076572373425460305,-1.0408340855860843e-17,-0.009559727840126755,-0.008150373241102071,8.673617379884035e-18,-0.011004108987473159
development-20210322-XRPUSDT-7-4-none-winner,development-20210322,2021-03-22T00:00:00Z,2021-03-29T00:00:00Z,2021-03-21T00:00:00Z,XRPUSDT,7,4,none,winner,0.005264400594884977,0.21517408428593887,0.17796995903504764,0.03970694831940776,0.25,0.5174,0.5463,0.48318515655199074,21,-0.002289765349121617,-0.003434648023682426,0.013964051024352553,0.013655672593737955,1.9081958235744878e-17,0.011365907244616339,0.013141716921144242,-1.214306433183765e-17,0.010851951572022626,0.012627761248550473,1.214306433183765e-17,0.009193113224868047
development-20210329-XRPUSDT-7-4-none-winner,development-20210329,2021-03-29T00:00:00Z,2021-04-05T00:00:00Z,2021-03-28T00:00:00Z,XRPUSDT,7,4,none,winner,0.1800869800159719,0.005264400594884977,0.05544822256568782,-0.012663432975944059,0.25,0.5463,0.6353,0.45762401610836534,22,-0.006749263272992815,-0.010123894909489225,0.04072853743364452,0.0404041003111843,-1.3877787807814457e-17,0.033654837038191485,0.0398633962108732,2.7755575615628914e-17,0.03311413293788039,0.03932269211056194,-6.938893903907228e-18,0.029198797201072716
development-20210405-BNBUSDT-7-4-none-winner,development-20210405,2021-04-05T00:00:00Z,2021-04-12T00:00:00Z,2021-04-04T00:00:00Z,BNBUSDT,7,4,none,winner,0.22489199992436615,0.1800869800159719,0.2994988820642934,0.1333648427295532,0.25,349.277,526.188,0.0007157642787815974,20,-0.004628813770214032,-0.00694322065532105,0.1266265743235312,0.1262505983789371,2.7755575615628914e-17,0.12162178460872307,0.12562404778055808,-5.551115123125783e-17,0.12099523401034405,0.12499749718217923,0.0,0.11805427652685818
development-20210412-XRPUSDT-7-4-none-winner,development-20210412,2021-04-12T00:00:00Z,2021-04-19T00:00:00Z,2021-04-11T00:00:00Z,XRPUSDT,7,4,none,winner,0.5664531309545804,0.22489199992436615,1.1348968991027863,0.34639193127135764,0.25,1.3563,1.4105,0.18432500184325,22,-0.011657447183560569,-0.017486170775340853,0.00999041509990417,0.009684420850844255,4.336808689942018e-17,-0.001973026332716314,0.009174436429993438,4.163336342344337e-17,-0.0024830107535671313,0.00866445200914251,-2.949029909160572e-17,-0.008821718766198344
development-20210419-DOGEUSDT-7-4-none-winner,development-20210419,2021-04-19T00:00:00Z,2021-04-26T00:00:00Z,2021-04-18T00:00:00Z,DOGEUSDT,7,4,none,winner,1.3269999107485893,0.5664531309545804,3.331504533991522,0.5445070957658295,0.25,0.322945,0.251418,0.7741256251064423,20,-0.000775097941231634,-0.0012912800237408846,-0.055370883586988495,-0.05563766105683629,2.0816681711721685e-17,-0.05641275899806793,-0.056082323395779454,0.0,-0.05685742133701109,-0.056526985734722646,-1.3877787807814457e-17,-0.05781826575846353
