trade_id,week_id,entry_time,exit_time,decision_time,symbol,formation_days,state_window_weeks,state_mode,selection_mode,current_state_return,previous_state_return,formation_return,market_formation_return,leg_weight,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-20210215-BNBUSDT-7-3-up_up-winner,development-20210215,2021-02-15T00:00:00Z,2021-02-22T00:00:00Z,2021-02-14T00:00:00Z,BNBUSDT,7,3,up_up,winner,2.221252972559207,1.3832415646248992,0.989834331834361,0.3099851522679797,0.25,135.89,294.945,0.0018397233056148357,20,-0.013123720688404969,-0.019685581032607452,0.2926171903745677,0.29214162006034294,0.0,0.279017899371938,0.2913491784402827,0.0,0.27822545775187774,0.2905567368202222,0.0,0.2708711557876148
development-20210222-BNBUSDT-7-3-up_up-winner,development-20210222,2021-02-22T00:00:00Z,2021-03-01T00:00:00Z,2021-02-21T00:00:00Z,BNBUSDT,7,3,up_up,winner,1.419117928973506,2.221252972559207,1.1706074614999555,0.25680859493493247,0.25,294.945,210.196,0.000847615657156419,22,-0.0002536389710992757,-0.0007973083977896433,-0.07183457932834936,-0.07209147858075232,2.7755575615628914e-17,-0.07234511755185159,-0.07251968710217158,0.0,-0.07277332607327085,-0.07294789562359089,-2.7755575615628914e-17,-0.07374520402138053
development-20210301-ADAUSDT-7-3-up_up-winner,development-20210301,2021-03-01T00:00:00Z,2021-03-08T00:00:00Z,2021-02-28T00:00:00Z,ADAUSDT,7,3,up_up,winner,0.3847361228541464,1.419117928973506,0.19330831372050117,-0.1589312321525523,0.25,1.31367,1.13111,0.1903065457839488,21,-0.000867829747231706,-0.001301744620847559,-0.03474236299831765,-0.03502151758051866,0.0,-0.03588934732775037,-0.03548679606293814,-2.7755575615628914e-17,-0.03635462581016985,-0.03595207454535765,0.0,-0.03725381916620521
development-20210308-ETHUSDT-7-3-up_up-winner,development-20210308,2021-03-08T00:00:00Z,2021-03-15T00:00:00Z,2021-03-07T00:00:00Z,ETHUSDT,7,3,up_up,winner,0.15421471153495303,0.3847361228541464,0.21655620276523657,0.09190777194689864,0.25,1727.73,1850.5,0.00014469853507203094,20,-0.003998651415056217,-0.005997977122584325,0.017764639150793238,0.01745398036730278,1.734723475976807e-17,0.013455328952246562,0.016936226386935482,6.938893903907228e-18,0.012937574971879265,0.016418472406568185,1.734723475976807e-17,0.010420495283983859
development-20210329-XRPUSDT-7-3-up_up-winner,development-20210329,2021-03-29T00:00:00Z,2021-04-05T00:00:00Z,2021-03-28T00:00:00Z,XRPUSDT,7,3,up_up,winner,0.08075701110895794,0.19522260131910985,0.05544822256568782,-0.012663432975944059,0.25,0.5463,0.6353,0.45762401610836534,22,-0.006749263272992815,-0.010123894909489225,0.04072853743364452,0.0404041003111843,-1.3877787807814457e-17,0.033654837038191485,0.0398633962108732,2.7755575615628914e-17,0.03311413293788039,0.03932269211056194,-6.938893903907228e-18,0.029198797201072716
development-20210405-BNBUSDT-7-3-up_up-winner,development-20210405,2021-04-05T00:00:00Z,2021-04-12T00:00:00Z,2021-04-04T00:00:00Z,BNBUSDT,7,3,up_up,winner,0.163445126617348,0.08075701110895794,0.2994988820642934,0.1333648427295532,0.25,349.277,526.188,0.0007157642787815974,20,-0.004628813770214032,-0.00694322065532105,0.1266265743235312,0.1262505983789371,2.7755575615628914e-17,0.12162178460872307,0.12562404778055808,-5.551115123125783e-17,0.12099523401034405,0.12499749718217923,0.0,0.11805427652685818
development-20210412-XRPUSDT-7-3-up_up-winner,development-20210412,2021-04-12T00:00:00Z,2021-04-19T00:00:00Z,2021-04-11T00:00:00Z,XRPUSDT,7,3,up_up,winner,0.5066294723591203,0.163445126617348,1.1348968991027863,0.34639193127135764,0.25,1.3563,1.4105,0.18432500184325,22,-0.011657447183560569,-0.017486170775340853,0.00999041509990417,0.009684420850844255,4.336808689942018e-17,-0.001973026332716314,0.009174436429993438,4.163336342344337e-17,-0.0024830107535671313,0.00866445200914251,-2.949029909160572e-17,-0.008821718766198344
development-20210419-DOGEUSDT-7-3-up_up-winner,development-20210419,2021-04-19T00:00:00Z,2021-04-26T00:00:00Z,2021-04-18T00:00:00Z,DOGEUSDT,7,3,up_up,winner,1.3568456678986682,0.5066294723591203,3.331504533991522,0.5445070957658295,0.25,0.322945,0.251418,0.7741256251064423,20,-0.000775097941231634,-0.0012912800237408846,-0.055370883586988495,-0.05563766105683629,2.0816681711721685e-17,-0.05641275899806793,-0.056082323395779454,0.0,-0.05685742133701109,-0.056526985734722646,-1.3877787807814457e-17,-0.05781826575846353
development-20210426-BNBUSDT-7-3-up_up-winner,development-20210426,2021-04-26T00:00:00Z,2021-05-03T00:00:00Z,2021-04-25T00:00:00Z,BNBUSDT,7,3,up_up,winner,0.8464443218849651,1.3568456678986682,0.04855774515843336,-0.1120780172475827,0.25,505.543,622.072,0.0004945177759359738,21,-0.002206149270887765,-0.003309223906331648,0.0576256619120431,0.05729108651489584,-2.7755575615628914e-17,0.05508493724400807,0.056733495428380964,-2.7755575615628914e-17,0.054527346157493196,0.056175904341866034,-4.163336342344337e-17,0.052866680435534386
development-20210503-XRPUSDT-7-3-up_up-winner,development-20210503,2021-05-03T00:00:00Z,2021-05-10T00:00:00Z,2021-05-02T00:00:00Z,XRPUSDT,7,3,up_up,winner,0.7992152030691062,0.8464443218849651,0.5081112398609502,0.3119533599366893,0.25,1.5619,1.5365,0.16006146360202317,21,-0.005223803969047811,-0.007835705953571715,-0.0040655611754913945,-0.004363121838786094,1.474514954580286e-17,-0.009586925807833904,-0.004859058716947334,-3.903127820947816e-17,-0.010082862685995144,-0.005354995595108547,6.938893903907228e-18,-0.013190701548680262
