trade_id,week_id,entry_time,exit_time,decision_time,symbol,formation_days,state_window_weeks,state_mode,selection_mode,current_state_return,previous_state_return,formation_return,market_formation_return,leg_weight,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-20210215-BTCUSDT-7-4-up_up-all,development-20210215,2021-02-15T00:00:00Z,2021-02-22T00:00:00Z,2021-02-14T00:00:00Z,BTCUSDT,7,4,up_up,all,2.122011063926527,1.4109602977505613,0.2524105355959252,0.3099851522679797,0.041666666666666664,48655.21,57475.5,8.563659814985213e-07,20,-0.0010137844785884232,-0.001520676717882635,0.007553396302951589,0.0074988642651698245,2.6020852139652106e-18,0.006485079786581401,0.007407982067571317,-4.336808689942018e-18,0.006394197588982894,0.00731709986997281,-3.469446951953614e-18,0.005796423152090175
development-20210215-ETHUSDT-7-4-up_up-all,development-20210215,2021-02-15T00:00:00Z,2021-02-22T00:00:00Z,2021-02-14T00:00:00Z,ETHUSDT,7,4,up_up,all,2.122011063926527,1.4109602977505613,0.11885929813460372,0.3099851522679797,0.041666666666666664,1804.0,1934.59,2.3096821877309682e-05,20,-0.001106598936336457,-0.001659898404504685,0.0030162139689578664,0.0029644042405765,5.204170427930421e-18,0.001857805304240043,0.002878056503002588,1.734723475976807e-18,0.0017714575666661308,0.0027917087654286826,4.336808689942018e-18,0.0011318103609239975
development-20210215-BNBUSDT-7-4-up_up-all,development-20210215,2021-02-15T00:00:00Z,2021-02-22T00:00:00Z,2021-02-14T00:00:00Z,BNBUSDT,7,4,up_up,all,2.122011063926527,1.4109602977505613,0.989834331834361,0.3099851522679797,0.041666666666666664,135.89,294.945,0.00030662055093580594,20,-0.0021872867814008287,-0.003280930172101242,0.04876953172909461,0.048690270010057164,0.0,0.046502983228656335,0.04855819640671378,0.0,0.04637090962531295,0.048426122803370365,0.0,0.04514519263126912
development-20210215-XRPUSDT-7-4-up_up-all,development-20210215,2021-02-15T00:00:00Z,2021-02-22T00:00:00Z,2021-02-14T00:00:00Z,XRPUSDT,7,4,up_up,all,2.122011063926527,1.4109602977505613,0.41714422158548237,0.3099851522679797,0.041666666666666664,0.5935,0.546,0.07020499859590001,20,-0.0011329264875602216,-0.0016993897313403326,-0.0033347374333052523,-0.003382736590845259,7.37257477290143e-18,-0.0045156630784054805,-0.0034627371875877444,7.806255641895632e-18,-0.004595663675147966,-0.0035427377843302438,8.673617379884035e-19,-0.005242127515670577
development-20210215-DOGEUSDT-7-4-up_up-all,development-20210215,2021-02-15T00:00:00Z,2021-02-22T00:00:00Z,2021-02-14T00:00:00Z,DOGEUSDT,7,4,up_up,all,2.122011063926527,1.4109602977505613,-0.19632192746379595,0.3099851522679797,0.041666666666666664,0.062711,0.05609,0.6644235726852811,20,-0.001274403714166441,-0.0019116055712496607,-0.004399148474749245,-0.004446508985664392,5.204170427930421e-18,-0.005720912699830833,-0.00452544581001206,2.6020852139652106e-18,-0.005799849524178501,-0.0046043826343597355,2.6020852139652106e-18,-0.006515988205609396
development-20210215-ADAUSDT-7-4-up_up-all,development-20210215,2021-02-15T00:00:00Z,2021-02-22T00:00:00Z,2021-02-14T00:00:00Z,ADAUSDT,7,4,up_up,all,2.122011063926527,1.4109602977505613,0.2779844539213019,0.3099851522679797,0.041666666666666664,0.84499,1.10075,0.049310248247513774,20,-0.001297628805332499,-0.001951758620488837,0.012611589091784114,0.012554022138329048,1.734723475976807e-18,0.011256393332996549,0.012458084782857391,3.469446951953614e-18,0.011160455977524892,0.012362147427385728,5.204170427930421e-18,0.010410388806896891
development-20210222-BTCUSDT-7-4-up_up-all,development-20210222,2021-02-22T00:00:00Z,2021-03-01T00:00:00Z,2021-02-21T00:00:00Z,BTCUSDT,7,4,up_up,all,3.048498422372111,2.122011063926527,0.18152670597866094,0.25680859493493247,0.041666666666666664,57475.5,45162.64,7.24946571437685e-07,22,-0.0002659044750324759,-0.0003988567125487139,-0.008926165641592213,-0.00897080994220726,0.0,-0.009236714417239736,-0.009045222465598378,3.469446951953614e-18,-0.009311126940630854,-0.009119634988989503,6.938893903907228e-18,-0.009518491701538217
development-20210222-ETHUSDT-7-4-up_up-all,development-20210222,2021-02-22T00:00:00Z,2021-03-01T00:00:00Z,2021-02-21T00:00:00Z,ETHUSDT,7,4,up_up,all,3.048498422372111,2.122011063926527,0.07272162742086619,0.25680859493493247,0.041666666666666664,1934.59,1419.96,2.153772461693003e-05,22,-0.00019584846700659018,-0.00029377270050988527,-0.011083959219610699,-0.011127308844078927,5.204170427930421e-18,-0.011323157311085517,-0.011199564868568185,-1.734723475976807e-18,-0.011395413335574775,-0.011271820893057432,5.204170427930421e-18,-0.011565593593567318
development-20210222-BNBUSDT-7-4-up_up-all,development-20210222,2021-02-22T00:00:00Z,2021-03-01T00:00:00Z,2021-02-21T00:00:00Z,BNBUSDT,7,4,up_up,all,3.048498422372111,2.122011063926527,1.1706074614999555,0.25680859493493247,0.041666666666666664,294.945,210.196,0.0001412692761927365,22,-4.22731618498793e-05,-0.00013288473296494058,-0.011972429888058226,-0.01201524643012539,1.734723475976807e-18,-0.01205751959197527,-0.012086614517028596,0.0,-0.012128887678878476,-0.012157982603931805,5.204170427930421e-18,-0.012290867336896745
development-20210222-XRPUSDT-7-4-up_up-all,development-20210222,2021-02-22T00:00:00Z,2021-03-01T00:00:00Z,2021-02-21T00:00:00Z,XRPUSDT,7,4,up_up,all,3.048498422372111,2.122011063926527,-0.08020219039595611,0.25680859493493247,0.041666666666666664,0.546,0.4159,0.0763125763125763,22,-0.00025427102088024266,-0.000381406531320364,-0.00992826617826618,-0.009972309218559218,3.469446951953614e-18,-0.01022658023943946,-0.010045720242673986,5.204170427930421e-18,-0.010299991263554228,-0.010119131266788768,0.0,-0.010500537798109132
