decision_time,rankable,rmom_high_return,rmom_low_return,rmom_high_minus_low,raw_mom_high_minus_low,rmom_minus_raw_spread,rmom_rank_ic,controlled_rmom_slope,rmom_tail_beta_spread,raw_mom_tail_beta_spread,equal_weight_market_return,score_raw_mom14_spearman,score_beta84_spearman,score_idio_vol84_spearman,score_total_vol28_spearman,score_max28_spearman,score_log_volume30_spearman,selected_symbol,selected_gross_return
2023-03-04T00:00:00Z,24,-0.1077414842470689,0.03108042203946968,-0.1388219062865386,-0.039470728325101255,-0.09935117796143733,-0.48956521739130426,-0.04246222290265582,0.12081338150036824,-0.47673540263231895,-0.04209438897468707,0.38,0.2713043478260869,0.09739130434782609,0.32260869565217387,0.2756521739130435,-0.004347826086956522,SNXUSDT,-0.10517851399163713
2023-03-11T00:00:00Z,24,0.044558995435588146,0.08197618611393724,-0.037417190678349095,-0.052418788008857756,0.01500159733050866,-0.2643478260869565,0.01138376883725356,0.2269927153400363,-0.3214232962423911,0.0845062808793825,0.4339130434782608,0.1973913043478261,0.2756521739130435,0.36347826086956525,0.3478260869565217,0.11217391304347826,SOLUSDT,0.08275144852176486
2023-03-18T00:00:00Z,24,-0.08988763782514339,-0.02992045978366322,-0.05996717804148017,-0.057485974207290756,-0.0024812038341894133,-0.3913043478260869,-0.01588872497906796,-0.15557809422547453,-0.26113163992636756,-0.031200443334616898,0.6182608695652172,-0.18086956521739128,-0.09304347826086956,-0.06695652173913043,-0.05739130434782608,0.17565217391304347,BNBUSDT,-0.02239428231089946
2023-03-25T00:00:00Z,24,0.05161039034312511,0.07206222697987612,-0.020451836636751007,-0.02416753715781148,0.0037157005210604714,-0.23391304347826083,-0.05206474002740288,-0.48750108597098907,-0.21295862631480234,0.023786276936292258,0.4982608695652173,-0.5478260869565217,0.05130434782608695,-0.1434782608695652,0.2069565217391304,0.5930434782608696,XRPUSDT,0.15613133794951972
2023-04-01T00:00:00Z,24,-0.03354477388215171,0.04362757988136423,-0.07717235376351594,-0.055560796652428884,-0.02161155711108706,-0.4660869565217391,-0.016191301536295926,-0.37801981365302717,-0.25970533940499674,0.010245322842957016,0.5678260869565217,-0.5304347826086956,0.1034782608695652,-0.033913043478260865,0.11043478260869564,0.3391304347826086,XRPUSDT,-0.024343122102009174
2023-04-08T00:00:00Z,24,0.06790014800131616,0.1441631648561284,-0.07626301685481224,-0.03835710363553053,-0.03790591321928171,-0.45217391304347826,-0.003743037590194089,-0.21995353957155783,0.17063204960577172,0.09249914276403065,0.2278260869565217,-0.5243478260869565,-0.3069565217391304,-0.2052173913043478,-0.07130434782608694,0.15304347826086956,XRPUSDT,0.031287128712871315
2023-04-15T00:00:00Z,24,-0.1396583990620025,-0.13080369690188334,-0.00885470216011916,-0.06588953216983706,0.0570348300097179,0.09391304347826085,0.0016668859596942103,-0.025824018158047912,0.39002847961778686,-0.12638170294734433,0.09043478260869564,-0.0608695652173913,-0.04869565217391304,0.3608695652173913,0.5791304347826086,0.23826086956521736,XRPUSDT,-0.10848694316436258
2023-04-22T00:00:00Z,24,-0.021175440688514135,0.0015873377482832796,-0.022762778436797415,-0.005949543721372708,-0.01681323471542471,0.021739130434782605,-0.016838906377706114,-0.04989775721682721,-0.06330298850799598,-0.003054658978469141,0.328695652173913,0.10869565217391304,0.08695652173913042,0.15043478260869564,0.4130434782608695,0.1591304347826087,SOLUSDT,0.05903732351707758
2023-04-29T00:00:00Z,24,-0.031494652752788045,-0.06394638570098107,0.03245173294819303,0.037865133550008756,-0.005413400601815728,0.10782608695652172,0.010586503918514905,-0.06805011765547897,-0.3497955040498202,-0.04585534146859591,0.41913043478260864,0.1782608695652174,-0.1026086956521739,0.1878260869565217,0.13739130434782607,0.4130434782608695,SOLUSDT,-0.047034494896163404
2023-05-06T00:00:00Z,24,-0.03945481289825279,-0.06020320330003446,0.02074839040178167,0.027857269765963873,-0.007108879364182204,0.2278260869565217,0.009001452206700608,-0.09366845431927295,-0.3518107176482188,-0.03511913815272082,0.5139130434782608,-0.19913043478260867,-0.09217391304347824,0.009565217391304347,0.10956521739130433,0.5660869565217391,SOLUSDT,-0.03435061637194703
