date,SPOT_LONG_BALANCED_4
2021-01-01 00:00:00+00:00,0.002117835589797057
2021-01-02 00:00:00+00:00,0.01649683142302405
2021-01-03 00:00:00+00:00,0.00468474349814052
2021-01-04 00:00:00+00:00,-0.005738908980078006
2021-01-05 00:00:00+00:00,0.011191013921282966
2021-01-06 00:00:00+00:00,0.015915542004064198
2021-01-07 00:00:00+00:00,0.0111555341464038
2021-01-08 00:00:00+00:00,0.004798189525134111
2021-01-09 00:00:00+00:00,-0.002052796687780245
2021-01-10 00:00:00+00:00,-0.00806105029597659
2021-01-11 00:00:00+00:00,-0.011511646773723516
2021-01-12 00:00:00+00:00,-0.005739950649661707
2021-01-13 00:00:00+00:00,0.014164229306613096
2021-01-14 00:00:00+00:00,0.0074587558607033255
2021-01-15 00:00:00+00:00,-0.010030546915019478
2021-01-16 00:00:00+00:00,-0.003151659607140034
2021-01-17 00:00:00+00:00,-0.0007039229428815741
2021-01-18 00:00:00+00:00,0.0033985020950599854
2021-01-19 00:00:00+00:00,-0.0031216561136592214
2021-01-20 00:00:00+00:00,-0.0017916267535921238
2021-01-21 00:00:00+00:00,-0.019583144824220522
2021-01-22 00:00:00+00:00,0.00421528857275244
2021-01-23 00:00:00+00:00,-0.0017789212822312273
2021-01-24 00:00:00+00:00,0.0003738164843138936
2021-01-25 00:00:00+00:00,-1.1709498335732427e-05
2021-01-26 00:00:00+00:00,0.000438741551402444
2021-01-27 00:00:00+00:00,-0.0043155108260519714
2021-01-28 00:00:00+00:00,0.006184302775074535
2021-01-29 00:00:00+00:00,0.0018187323745260109
2021-01-30 00:00:00+00:00,2.18504730136182e-05
2021-01-31 00:00:00+00:00,-0.0023934747032015036
2021-02-01 00:00:00+00:00,0.0008887911178623309
2021-02-02 00:00:00+00:00,0.003974729889826056
2021-02-03 00:00:00+00:00,0.004393206330452815
2021-02-04 00:00:00+00:00,-0.0013862020182983104
2021-02-05 00:00:00+00:00,0.0027541958022239132
2021-02-06 00:00:00+00:00,0.001819548202427912
2021-02-07 00:00:00+00:00,-0.0007924671057076837
2021-02-08 00:00:00+00:00,0.015363615001650954
2021-02-09 00:00:00+00:00,9.093644639812659e-05
2021-02-10 00:00:00+00:00,-0.003219596095334065
2021-02-11 00:00:00+00:00,0.006332320179751827
2021-02-12 00:00:00+00:00,-0.0013570512611557062
2021-02-13 00:00:00+00:00,-0.000266852922761851
2021-02-14 00:00:00+00:00,0.002838672878963111
2021-02-15 00:00:00+00:00,-0.0013251582037894227
2021-02-16 00:00:00+00:00,0.0024328495692700347
2021-02-17 00:00:00+00:00,0.0059291441105231435
2021-02-18 00:00:00+00:00,-0.0011193458763174569
2021-02-19 00:00:00+00:00,0.00860224820293376
2021-02-20 00:00:00+00:00,-0.00012697127652594453
2021-02-21 00:00:00+00:00,0.0030710926006489725
2021-02-22 00:00:00+00:00,-0.006486982021686294
2021-02-23 00:00:00+00:00,-0.010217354765093556
2021-02-24 00:00:00+00:00,0.0015597456761067274
2021-02-25 00:00:00+00:00,-0.00516157651989424
2021-02-26 00:00:00+00:00,-0.0015886422728768057
2021-02-27 00:00:00+00:00,-0.0003403345973296279
2021-02-28 00:00:00+00:00,-0.0019390935069638626
2021-03-01 00:00:00+00:00,0.005287838267691969
2021-03-02 00:00:00+00:00,-0.0013688461830888565
2021-03-03 00:00:00+00:00,0.0022822497196992586
2021-03-04 00:00:00+00:00,-0.002356457251219135
2021-03-05 00:00:00+00:00,0.00045155482903980193
2021-03-06 00:00:00+00:00,0.00015596841933551708
2021-03-07 00:00:00+00:00,0.00249714911370158
2021-03-08 00:00:00+00:00,0.0016730010895973368
2021-03-09 00:00:00+00:00,0.0029863477142337835
