target_vol,scenario,days,total_return,cagr,annualized_volatility,sharpe,max_drawdown,calmar,daily_skew,daily_excess_kurtosis,positive_day_fraction,positive_month_fraction,return_2021,return_2022,turnover,trade_events,active_days,maximum_gross_weight,maximum_absolute_net_weight,fee_cost_on_initial_equity,slippage_cost_on_initial_equity,terminal_liquidation,monthly_target_weight_min,monthly_target_weight_median,monthly_target_weight_max
0.06,favorable,730,0.06354369134955551,0.03130430513407889,0.07618633946480137,0.44233530727009757,-0.07113542083002045,0.4400663518794831,0.3656141140388667,9.010686991518522,0.5315068493150685,0.5,0.07285123258896609,-0.008675518987802167,0.7662566582590722,25,730,0.19630497402317956,0.19630497402317956,0.00032760784382548935,0.0004914117657382341,True,0.030120803845520808,0.06931040471416919,0.194884479484448
0.06,base,730,0.061914974970668,0.0305137892969356,0.07618714742106987,0.43227254830326695,-0.07181204445181388,0.4249118588652695,0.36686192904894993,9.010694458427427,0.5287671232876713,0.5,0.07221091084716846,-0.00960252854390653,0.7662217317715226,25,730,0.19630497402317956,0.19630497402317956,0.00032735865786271697,0.0021278312761076595,True,0.030120803845520808,0.06931040471416919,0.194884479484448
0.06,stress,730,0.05947651410746513,0.029329121517920775,0.07619041946440502,0.4171692455353013,-0.07282586122754486,0.40272948405349784,0.3686880834256521,9.009447541211738,0.5287671232876713,0.5,0.0712510744148338,-0.010991410499915255,0.766169428092415,25,730,0.1963049740231796,0.1963049740231796,0.00032698538323865025,0.004577795365341102,True,0.030120803845520808,0.06931040471416919,0.194884479484448
0.08,favorable,730,0.08396681940130568,0.04116602049135509,0.10124838513195514,0.4486782831900416,-0.09439461951544392,0.4361055821049198,0.3709810199982053,8.893682474880187,0.5315068493150685,0.5,0.09735196433331539,-0.012197677105488247,1.0191799289153287,25,730,0.26157706681176507,0.26157706681176507,0.0004451208690461762,0.0006676813035692643,True,0.040161071794027746,0.09241387295222558,0.2598459726459307
0.08,base,730,0.08175943145490083,0.04010463989130497,0.10124918976460662,0.43860772208037835,-0.0952709829797419,0.4209533547043667,0.372216015409761,8.893761243548227,0.5287671232876713,0.5,0.09648485337382406,-0.013429662866402126,1.0191177345842188,25,730,0.261577066811765,0.261577066811765,0.0004446696128367508,0.0028903524834388798,True,0.040161071794027746,0.09241387295222558,0.2598459726459307
0.08,stress,730,0.07845666781167182,0.038514545716699544,0.10125313354167827,0.42349303060284704,-0.09658359734494404,0.398769012290426,0.3740228363847485,8.892633991882153,0.5287671232876713,0.5,0.09518535057918553,-0.015274750304747786,1.0190246480448357,25,730,0.2615770668117652,0.2615770668117652,0.0004439939448922591,0.006215915228491625,True,0.040161071794027746,0.09241387295222558,0.2598459726459307
0.10,favorable,730,0.10396243694356189,0.050731757428240876,0.1261591321099122,0.45490992167286926,-0.11741499383138987,0.4320722232553419,0.3758528203349811,8.780658825156294,0.5315068493150685,0.5,0.12194413484393496,-0.016027266725608835,1.2709945059779475,25,730,0.32676796362354277,0.32676796362354277,0.0005667890516341007,0.0008501835774511509,True,0.050201339742534684,0.115517341190282,0.3248074658074134
0.10,base,730,0.10115954679824779,0.049396125665276625,0.12615979730217558,0.44483154175381534,-0.11847875398322838,0.4169196923886374,0.37707457016200047,8.780803419899812,0.5287671232876713,0.5,0.12084366281797165,-0.017561874749090434,1.2708972234638378,25,730,0.32676796362354277,0.32676796362354277,0.0005660711819479266,0.003679462682661523,True,0.050201339742534684,0.115517341190282,0.3248074658074134
0.10,stress,730,0.09696838490547188,0.047395782241704376,0.1261642052837485,0.42970543759891655,-0.12007146631214827,0.3947297696730892,0.37886142386272953,8.779786842580986,0.5287671232876713,0.5,0.11919479598035254,-0.019859287368658718,1.2707517019364951,25,730,0.3267679636235428,0.3267679636235428,0.0005649967934135273,0.007909955107789381,True,0.050201339742534684,0.115517341190282,0.3248074658074134
