decision_time,entry_time,exit_time,symbol,vix_window_weeks,vix_beta,market_beta,mom7,mom28,vol28,max28,log_volume30,target_return,beta_percentile,middle_score,group
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,ETCUSDT,52,-0.016352850808434738,0.8381387340297541,-0.035851667304674754,-0.1303945693124982,0.03317465047896697,0.05665564072143425,19.42893523186333,-0.051357374392220434,0.0,0.0,low
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,RUNEUSDT,52,-0.007213593717823263,1.377871629349391,-0.08513074144447207,-0.23159579392052773,0.04976134283613153,0.10008345855698264,17.406000567721247,-0.10013531799729358,0.043478260869565216,0.08695652173913038,low
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,UNIUSDT,52,-0.006542362081935926,0.8808035229070236,-0.04688967327090155,-0.11937666149166153,0.03910788901649928,0.05350203742286275,17.75750283464217,-0.0707420828737988,0.08695652173913043,0.17391304347826086,low
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,TRXUSDT,52,-0.006205957753246227,0.3925794456405305,-0.010669929324696851,0.04525797109730534,0.0285928172772978,0.059919054864141064,17.84576824862209,-0.03839857121595469,0.13043478260869565,0.26086956521739135,low
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,AAVEUSDT,52,-0.004405013587764461,1.314298940165285,-0.05912305101411333,-0.1706714479353805,0.04370656382214495,0.07458095414192645,17.816520786516833,-0.028799999999999937,0.17391304347826086,0.34782608695652173,low
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,DASHUSDT,52,-0.0032049424093137935,0.8302191132566563,-0.009757574906585829,0.09825611539141897,0.04256570716443466,0.07443593556046935,17.702857042354157,-0.18481090185270255,0.21739130434782608,0.4347826086956521,other
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,BCHUSDT,52,-0.0028183908313164086,0.7243470973758231,-0.04952156898934571,-0.08760521298958221,0.03068632670685189,0.06375213522991707,18.308885863653565,-0.029701372074253496,0.2608695652173913,0.5217391304347826,other
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,LTCUSDT,52,-0.0027928544586088844,0.6375969800801855,-0.010987914088207438,-0.09910966407697941,0.0322172048916436,0.07123925856660307,19.733793832471758,-0.15116796440489433,0.30434782608695654,0.6086956521739131,other
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,CRVUSDT,52,-0.0025745280477400545,1.3167237985427782,-0.0652743317329956,-0.17623598225838677,0.05985199710867371,0.128524277487796,18.979994703939745,0.023655913978494425,0.34782608695652173,0.6956521739130435,other
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,BNBUSDT,52,-0.0014707475238419088,0.6729490455758593,-0.03973988133039834,-0.13526068563714916,0.02713973122483723,0.06919100988727145,19.87044756647752,-0.0019058179424095156,0.391304347826087,0.782608695652174,middle
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,AVAXUSDT,52,-0.001421871622587334,1.206445792135117,-0.09849260505492796,-0.24954506582453065,0.04529056430634386,0.09540538902666285,19.243351317644414,0.0023548367106649426,0.43478260869565216,0.8695652173913043,middle
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,XMRUSDT,52,-0.0011227260732139532,0.7676100059089486,-0.037134153424383726,-0.1701665191410005,0.02817504184218696,0.0432205146428748,17.26849673207558,0.002809928413728402,0.4782608695652174,0.9565217391304348,middle
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,LINKUSDT,52,-0.0009452875085779189,0.892279989984747,-0.0705064412132964,-0.0484203188838257,0.03680724321643565,0.08707078869494134,19.306504153141297,-0.0561797752808989,0.5217391304347826,0.9565217391304348,middle
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,XLMUSDT,52,-0.0008818753896119302,0.6379132599374008,-0.039858688904885455,-0.08196438641075866,0.02604310706180257,0.052047945687406116,17.2315248342362,-0.004962478818687943,0.5652173913043478,0.8695652173913044,middle
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,NEARUSDT,52,-0.0008164012642724039,1.1794814806218785,-0.09712844083602563,-0.1788997574101798,0.05607917773140064,0.11312194723545121,18.94116386862577,-0.04240631163708086,0.6086956521739131,0.7826086956521738,other
