config_id,selected_candidate,direction,filter,raw_trigger_count,eligible_trigger_count,eligible_trigger_fraction,confirmation_flow_positive,confirmation_flow_negative,confirmation_flow_zero,confirmation_flow_unknown,favorable_trades,favorable_mean,favorable_median,favorable_win_rate,favorable_total_compound,favorable_max_drawdown,favorable_standard_error,favorable_p01,favorable_worst,favorable_mean_2021,favorable_mean_2022,favorable_mean_2023,base_trades,base_mean,base_median,base_win_rate,base_total_compound,base_max_drawdown,base_standard_error,base_p01,base_worst,base_mean_2021,base_mean_2022,base_mean_2023,stress_trades,stress_mean,stress_median,stress_win_rate,stress_total_compound,stress_max_drawdown,stress_standard_error,stress_p01,stress_worst,stress_mean_2021,stress_mean_2022,stress_mean_2023
LONG:CONFIRMATION_TAKER_FLOW_ALIGNED,True,LONG,CONFIRMATION_TAKER_FLOW_ALIGNED,15401,9192,0.5968443607557951,9192,6209,0,0,2701,-0.001596820169281966,-0.002171435424758874,0.31210662717512033,-0.9874256866484495,-0.9878992045599942,0.00012784488644377866,-0.017637020149885583,-0.03454116081544059,-0.0020400638367023016,-0.0013745238957950463,-0.001217341980053119,1763,-0.003296380013654362,-0.004208165975776405,0.2597844583096994,-0.9971795031749242,-0.9972450206542938,0.0001786031852244694,-0.021041355934082604,-0.0353156022311353,-0.0036446159529673876,-0.002868570584654745,-0.002939758728204716,1213,-0.004484983059546791,-0.005264071804485711,0.23742786479802144,-0.9958831670414872,-0.995957341355133,0.00023301855326244853,-0.022427893627788065,-0.03580027785594459,-0.004868031952979703,-0.0040274508664081485,-0.003294368445388494
LONG:UNFILTERED,False,LONG,UNFILTERED,15401,15401,1.0,9192,6209,0,0,2956,-0.001547106316277386,-0.002165225589540338,0.3135994587280108,-0.9903663579577447,-0.9906637755118372,0.0001226234557329327,-0.016985816982970157,-0.03454116081544059,-0.0019098768325004714,-0.0013944219792957357,-0.0012274040654452957,2049,-0.0032467817287371464,-0.004194623893670796,0.25866276232308444,-0.9987941904327045,-0.9988104520176273,0.0001647327061489392,-0.020345312426296818,-0.0353156022311353,-0.0036735435709825794,-0.002844086532516099,-0.00271761889068012,1480,-0.00431217138984526,-0.005226978291514858,0.23986486486486486,-0.9984094129731568,-0.9984122504537941,0.00020852276017284337,-0.022211437379089947,-0.03580027785594459,-0.004773584129799046,-0.0036351765536073066,-0.003356466450586178
SHORT:CONFIRMATION_TAKER_FLOW_ALIGNED,True,SHORT,CONFIRMATION_TAKER_FLOW_ALIGNED,13683,8448,0.6174084630563473,5235,8448,0,0,2505,-0.0018599829713968887,-0.0023569392425043523,0.3093812375249501,-0.9912934618576066,-0.9914141476472421,0.00015969108782277867,-0.022206242066140153,-0.05910849386129224,-0.0025115939914409293,-0.0015514933902008668,-0.0012889515095283347,1684,-0.003721998898300224,-0.004888819504571831,0.26068883610451304,-0.9982527498463409,-0.9982527498463409,0.00022206648362215606,-0.025535898665853235,-0.05995369107287469,-0.004205812773421933,-0.0031489997888741184,-0.0033720063164757114,1214,-0.005077137604861541,-0.0067814983891347404,0.2372322899505766,-0.9980568801753407,-0.9980568801753407,0.00029425043225511134,-0.027576829013220307,-0.05998829578962734,-0.005550562143879433,-0.004239119973009063,-0.005109393524867091
SHORT:UNFILTERED,False,SHORT,UNFILTERED,13683,13683,1.0,5235,8448,0,0,2729,-0.0018437959946405234,-0.0023333383468870563,0.31366801026016855,-0.9940448729460262,-0.9940854563928998,0.00015287146348991155,-0.0227403718076987,-0.05910849386129224,-0.0024829130671220226,-0.001515452253690261,-0.0013531606447876655,1981,-0.0036864815506483448,-0.004794267014953132,0.2579505300353357,-0.9993858029994823,-0.9993858029994823,0.00019998892761211202,-0.026619157190101987,-0.05995369107287469,-0.004200246499010789,-0.003231956180509004,-0.0031205286424493663,1484,-0.005051007878896982,-0.00659642371750649,0.22506738544474394,-0.9994928704635982,-0.9994928704635982,0.00025512597135973666,-0.028226886582603396,-0.05998213597451954,-0.005489378495856787,-0.0043607401141102665,-0.004852611536321305
