trade_id,slot_id,variant,symbol,signal_time,decision_time,entry_time,exit_time,oi,rolling_q25,rolling_q75,direction,direction_name,six_hour_return,entry_price,exit_price,quantity_per_unit_plan_capital,notional_fraction,funding_events,actual_funding_return,stress_funding_return,maximum_adverse_price_return,gross_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-main-202411020015-BTCUSDT,20241102-A,main,BTCUSDT,2024-11-02T00:15:00Z,2024-11-02T00:16:00Z,2024-11-02T00:16:00Z,2024-11-02T12:16:00Z,-0.6451660060270359,-0.27620966333346686,0.3144501853156561,-1,SHORT,0.0017098445595855605,69598.8,69604.2,3.5920159542980626e-06,0.25,1,2.507729957192868e-05,1.253864978596434e-05,-0.001128970614435898,-1.9396886153188628e-05,-0.00031940852428494204,-6.152847328855238e-17,-0.0002943312247130134,-0.0008194279328091469,-3.0357660829594124e-18,-0.0007943506332372183,-0.0013194473413334629,-2.8189256484623115e-18,-0.0013069086915474986
development-main-202411021215-BTCUSDT,20241102-B,main,BTCUSDT,2024-11-02T12:15:00Z,2024-11-02T12:16:00Z,2024-11-02T12:16:00Z,2024-11-03T00:16:00Z,-0.7474959505351617,-0.2790184932915562,0.3144501853156561,-1,SHORT,-0.00032889445504047377,69604.2,69324.3,3.591737280221596e-06,0.25,2,4.9840166773991376e-05,2.4920083386995688e-05,-0.00034408843144523305,0.001005327264734004,0.0007059304610928241,-2.0166160408230382e-17,0.0007557706278668155,0.00020693639155394683,-9.974659986866641e-18,0.0002567765583279382,-0.00029205767798498594,-2.8731357570865868e-18,-0.00026713759459799023
development-main-202411030015-BTCUSDT,20241103-A,main,BTCUSDT,2024-11-03T00:15:00Z,2024-11-03T00:16:00Z,2024-11-03T00:16:00Z,2024-11-03T12:16:00Z,-0.6385734986851523,-0.2790184932915562,0.3144501853156561,-1,SHORT,0.0007752195372645598,69324.3,68310.1,3.6062390821111786e-06,0.25,1,2.4664936577304064e-05,1.2332468288652032e-05,-0.00012044838534247537,0.003657447677077147,0.003359642145683378,-1.5178830414797062e-17,0.0033843070822606822,0.00286330178782912,-2.6020852139652106e-17,0.0028879667244064242,0.0023669614299747233,-1.7780915628762273e-17,0.0023792938982633753
development-main-202411041215-BTCUSDT,20241104-B,main,BTCUSDT,2024-11-04T12:15:00Z,2024-11-04T12:16:00Z,2024-11-04T12:16:00Z,2024-11-05T00:16:00Z,-0.39501797545442796,-0.2886844441802293,0.313241077551736,-1,SHORT,-0.0017884057971013778,68876.6,67904.7,3.629679746096642e-06,0.25,2,4.953071792048025e-05,2.4765358960240124e-05,-0.0013328184027666667,0.003527685745231358,0.003229802356678496,-8.673617379884035e-19,0.0032793330745989765,0.002733332159035151,-1.5612511283791264e-17,0.0027828628769556315,0.002236861961391834,-3.0357660829594124e-18,0.002261627320352074
development-main-202411051215-BTCUSDT,20241105-B,main,BTCUSDT,2024-11-05T12:15:00Z,2024-11-05T12:16:00Z,2024-11-05T12:16:00Z,2024-11-06T00:16:00Z,-0.6247886006227023,-0.3180471670658281,0.3124908866244216,-1,SHORT,0.002622669609268824,68735.9,69622.5,3.6371095744727283e-06,0.25,2,5.054058150665083e-05,2.5270290753325415e-05,-0.006552252898412603,-0.0032246613487275423,-0.003526596145536798,-1.9081958235744878e-17,-0.003476055564030147,-0.004029822741682315,-9.540979117872439e-18,-0.003979282160175664,-0.004533049337827805,2.7755575615628914e-17,-0.00450777904707448
development-main-202411060015-BTCUSDT,20241106-A,main,BTCUSDT,2024-11-06T00:15:00Z,2024-11-06T00:16:00Z,2024-11-06T00:16:00Z,2024-11-06T12:16:00Z,-0.5339653984163772,-0.323339912652275,0.3124908866244216,-1,SHORT,-0.0012480382846502547,69622.5,74601.2,3.5907932062192538e-06,0.25,1,2.63648621682933e-05,1.318243108414665e-05,-0.02166540988904453,-0.01787748213580379,-0.018188208625085273,-3.469446951953614e-18,-0.01816184376291698,-0.018706096833710356,-4.5102810375396984e-17,-0.018679731971542064,-0.019223985042335384,2.0816681711721685e-17,-0.019210802611251236
development-main-202411070015-BTCUSDT,20241107-A,main,BTCUSDT,2024-11-07T00:15:00Z,2024-11-07T00:16:00Z,2024-11-07T00:16:00Z,2024-11-07T12:16:00Z,-0.5147023293855411,-0.3431610723974963,0.3101776308602558,-1,SHORT,0.008639181765174753,75421.6,75013.1,3.3147002980578505e-06,0.25,1,2.4793958229472723e-05,1.2396979114736362e-05,-0.002157538424005845,0.001354055071756632,0.0010548675047996892,3.2526065174565133e-18,0.0010796614630291619,0.0005562223723044879,-4.553649124439119e-18,0.0005810163305339606,5.757723980928664e-05,-1.214306433183765e-17,6.9974218924023e-05
development-main-202411080015-BTCUSDT,20241108-A,main,BTCUSDT,2024-11-08T00:15:00Z,2024-11-08T00:16:00Z,2024-11-08T00:16:00Z,2024-11-08T12:16:00Z,0.349594625543034,-0.36790392094904084,0.3010691202583977,1,LONG,1.5774653812306028e-05,76072.5,76028.5,3.2863386900653983e-06,0.25,1,-2.5032337572710247e-05,-3.754850635906537e-05,-0.0016306812580104413,-0.00014459890236287752,-0.00044451214302143605,2.3744027577432547e-17,-0.0004695444805941463,-0.0009443676308784066,1.5720931501039814e-17,-0.0009693999684511168,-0.0014442231187354049,2.7755575615628914e-17,-0.0014817716250944703
development-main-202411081215-BTCUSDT,20241108-B,main,BTCUSDT,2024-11-08T12:15:00Z,2024-11-08T12:16:00Z,2024-11-08T12:16:00Z,2024-11-09T00:16:00Z,0.32751231830813454,-0.36790392094904084,0.3010691202583977,1,LONG,0.0005698478124687156,76028.5,76544.2,3.288240593987781e-06,0.25,2,-5.028024675363516e-05,-7.542037013045274e-05,-0.001342917458584586,0.001695745674319489,0.001394728226914943,4.575333167888829e-17,0.001344447980161308,0.0008930334986879673,-4.92227786308419e-17,0.0008427532519343321,0.00039133877046110266,1.5287250632045613e-17,0.0003159184003306499
development-main-202411100015-BTCUSDT,20241110-A,main,BTCUSDT,2024-11-10T00:15:00Z,2024-11-10T00:16:00Z,2024-11-10T00:16:00Z,2024-11-10T12:16:00Z,0.39707801454738756,-0.3431610723974963,0.3010691202583977,1,LONG,0.006602535499619533,76701.1,79433.5,3.2594056669330687e-06,0.25,1,-6.580761210073912e-05,-9.871141815110868e-05,-0.00031420670629236924,0.008906000044327898,0.008600656444301302,1.734723475976807e-18,0.008534848832200563,0.008091755787857036,3.469446951953614e-18,0.008025948175756296,0.0075828551314127135,0.0,0.007484143713261605
development-main-202411120015-BTCUSDT,20241112-A,main,BTCUSDT,2024-11-12T00:15:00Z,2024-11-12T00:16:00Z,2024-11-12T00:16:00Z,2024-11-12T12:16:00Z,0.3109922862112793,-0.323339912652275,0.3101776308602558,1,LONG,0.03956189899009033,87825.1,87710.0,2.846566642110285e-06,0.25,1,-0.00011092402712322558,-0.00016638604068483837,-0.006618552099570629,-0.00032763982050691037,-0.0006274432366145943,1.1926223897340549e-17,-0.00073836726373782,-0.001127115793378014,-4.0549161250957866e-17,-0.0012380398205012397,-0.0016267883501413782,4.336808689942018e-18,-0.0017931743908262167
development-main-202411121215-BTCUSDT,20241112-B,main,BTCUSDT,2024-11-12T12:15:00Z,2024-11-12T12:16:00Z,2024-11-12T12:16:00Z,2024-11-13T00:16:00Z,-0.5808759739327387,-0.323339912652275,0.3113371325065346,-1,SHORT,-0.008120721806756048,87710.0,87807.3,2.8503021320259948e-06,0.25,2,0.0001207783987837086,6.03891993918543e-05,-0.006299167711777465,-0.0002773343974461376,-0.0005775007980846347,-2.949029909160572e-17,-0.0004567223993009261,-0.0010777782988827256,-5.789639601072594e-17,-0.000956999900099017,-0.0015780557996808164,-4.466912950640278e-17,-0.0015176666002889622
development-main-202411140015-BTCUSDT,20241114-A,main,BTCUSDT,2024-11-14T00:15:00Z,2024-11-14T00:16:00Z,2024-11-14T00:16:00Z,2024-11-14T12:16:00Z,-0.4234280607781702,-0.323339912652275,0.30983278456500046,-1,SHORT,-0.025404369274746097,90146.1,91613.7,2.773275826685791e-06,0.25,1,2.5186585997619416e-05,1.2593292998809708e-05,-0.004381775806163557,-0.004070059603244042,-0.00437250163900596,2.862293735361732e-17,-0.004347315053008341,-0.004876574140644935,1.9081958235744878e-17,-0.0048513875546473155,-0.0053806466422840205,-2.0816681711721685e-17,-0.00536805334928521
development-main-202411170015-BTCUSDT,20241117-A,main,BTCUSDT,2024-11-17T00:15:00Z,2024-11-17T00:16:00Z,2024-11-17T00:16:00Z,2024-11-17T12:16:00Z,0.588110536818941,-0.3123669055963503,0.29468661380882755,1,LONG,-0.004177388814027294,90824.8,90898.7,2.7525521663686567e-06,0.25,1,-2.4938095101778365e-05,-3.740714265266755e-05,-0.003921561071425411,0.00020341360509462772,-9.67084430684162e-05,1.2793585635328952e-17,-0.00012164653817019456,-0.0005969117346253938,-5.312590645178972e-17,-0.0006218498297271722,-0.0010971150261822882,4.336808689942018e-18,-0.0011345221688349558
development-main-202411180015-BTCUSDT,20241118-A,main,BTCUSDT,2024-11-18T00:15:00Z,2024-11-18T00:16:00Z,2024-11-18T00:16:00Z,2024-11-18T12:16:00Z,-0.39760509751538986,-0.3123669055963503,0.3010691202583977,-1,SHORT,-0.006491012741863589,89769.2,90563.4,2.7849195492440614e-06,0.25,1,9.318014706252278e-05,4.659007353126139e-05,-0.007368061651434998,-0.0022117831060096253,-0.0025131101758732177,1.3444106938820255e-17,-0.002419930028810695,-0.0030153232860490597,-1.214306433183765e-17,-0.002922143138986537,-0.003517536396224985,1.3010426069826053e-18,-0.0034709463226937237
development-main-202411181215-BTCUSDT,20241118-B,main,BTCUSDT,2024-11-18T12:15:00Z,2024-11-18T12:16:00Z,2024-11-18T12:16:00Z,2024-11-19T00:16:00Z,0.5506442142926591,-0.3123669055963503,0.3010691202583977,1,LONG,-0.002606828193832622,90563.4,90562.3,2.7604970661437184e-06,0.25,2,-0.00010836247253782929,-0.00016254370880674395,-0.0031505553015897803,-3.036546772733988e-06,-0.00030303472484463634,3.404394821604484e-17,-0.0004113971973824656,-0.0008030316901198042,-7.37257477290143e-18,-0.0009113941626576335,-0.0013030286553949444,1.929879867024198e-17,-0.0014655723642016884
development-main-202411191215-BTCUSDT,20241119-B,main,BTCUSDT,2024-11-19T12:15:00Z,2024-11-19T12:16:00Z,2024-11-19T12:16:00Z,2024-11-20T00:16:00Z,0.3605542013129992,-0.3080614127127641,0.3010691202583977,1,LONG,0.004042125264481333,92154.4,92223.5,2.712838453725487e-06,0.25,2,-7.008132076200647e-05,-0.0001051219811430097,-0.0030893804311025452,0.00018745713715244693,-0.0001126553371298411,3.415236843329339e-18,-0.00018273665789184757,-0.0006128426817927357,-4.217546450968612e-17,-0.0006829240025547421,-0.0011130300264555748,7.37257477290143e-18,-0.0012181520075985844
development-main-202411211215-BTCUSDT,20241121-B,main,BTCUSDT,2024-11-21T12:15:00Z,2024-11-21T12:16:00Z,2024-11-21T12:16:00Z,2024-11-22T00:16:00Z,-0.4761605529807006,-0.3080614127127641,0.29468661380882755,-1,SHORT,0.007077401617838763,97842.6,98233.1,2.5551242505820573e-06,0.25,2,4.9835692306142724e-05,2.4917846153071362e-05,-0.003212813232681855,-0.0009977760198522933,-0.0012983746854642042,4.336808689942018e-19,-0.0012485389931580614,-0.0017993730601496838,-4.90059381963448e-17,-0.001749537367843541,-0.0023003714348351634,-2.3852447794681098e-17,-0.002275453588682092
development-main-202411220015-BTCUSDT,20241122-A,main,BTCUSDT,2024-11-22T00:15:00Z,2024-11-22T00:16:00Z,2024-11-22T00:16:00Z,2024-11-22T12:16:00Z,-0.5143601763806465,-0.3123669055963503,0.2587030493541414,-1,SHORT,0.0018551532260697723,98233.1,98776.9,2.5449670223173246e-06,0.25,1,2.5256968505964385e-05,1.2628484252982193e-05,-0.003319909480612948,-0.0013839530667361314,-0.0016847834385761706,2.3852447794681098e-18,-0.0016595264700702062,-0.002186168222014756,-5.724587470723463e-17,-0.002160911253508792,-0.002687553005453286,1.3010426069826053e-17,-0.002674924521200304
development-main-202411221215-BTCUSDT,20241122-B,main,BTCUSDT,2024-11-22T12:15:00Z,2024-11-22T12:16:00Z,2024-11-22T12:16:00Z,2024-11-23T00:16:00Z,-0.6981284433812287,-0.323339912652275,0.2587030493541414,-1,SHORT,0.00015896931183490004,98776.9,98707.5,2.530956124357011e-06,0.25,2,5.0016394941421035e-05,2.5008197470710518e-05,-0.002235087353419707,0.00017564835503036184,-0.00012424625595666705,-4.708147934018303e-17,-7.422986101524601e-05,-0.0006240705022125259,1.691355389077387e-17,-0.0005740541072711049,-0.0011238947484685236,-2.1033522146218786e-17,-0.001098886550997813
development-main-202411231215-BTCUSDT,20241123-B,main,BTCUSDT,2024-11-23T12:15:00Z,2024-11-23T12:16:00Z,2024-11-23T12:16:00Z,2024-11-24T00:16:00Z,-0.37948976700962755,-0.35055066576519905,0.2587030493541414,-1,SHORT,-0.0016053933112325502,98571.2,97931.4,2.536237765189021e-06,0.25,2,4.9748684199847425e-05,2.4874342099923713e-05,-0.0008765237716493179,0.001622684922167943,0.0013236585331212192,-2.47198095326695e-17,0.0013734072173210666,0.0008252821916543696,-1.431146867680866e-17,0.000875030875854217,0.00032690585018746443,-2.2768245622195593e-17,0.00035178019228738816
