trade_id,week_id,entry_time,exit_time,decision_time,symbol,formation_days,formation_return,market_formation_return,formation_gap,leg_weight,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_short_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-20210104-XRPUSDT-7-1,development-20210104,2021-01-04T00:00:00Z,2021-01-11T00:00:00Z,2021-01-03T00:00:00Z,XRPUSDT,7,-0.20358649789029526,0.3687323888222464,-0.5723188867125417,0.25,0.2263,0.3152,1.104728236853734,21,0.00917660522181352,0.00458830261090676,-0.09821034025629694,-0.09856926646045072,-2.7755575615628914e-17,-0.0893926612386372,-0.09916753572691112,1.3877787807814457e-17,-0.0899909305050976,-0.09976580499337157,1.3877787807814457e-17,-0.09517750238246481
development-20210111-DOGEUSDT-7-1,development-20210111,2021-01-11T00:00:00Z,2021-01-18T00:00:00Z,2021-01-10T00:00:00Z,DOGEUSDT,7,-0.00364483142654648,0.2191071026897502,-0.22275193411629668,0.25,0.009842,0.009116,25.401341190814875,21,0.0010574780162924203,0.0005287390081462101,0.018441373704531583,0.018152438528754283,-1.3877787807814457e-17,0.019209916545046703,0.01767089096728311,0.0,0.01872836898357553,0.017189343405811824,3.469446951953614e-17,0.017718082413958034
development-20210118-XRPUSDT-7-1,development-20210118,2021-01-18T00:00:00Z,2021-01-25T00:00:00Z,2021-01-17T00:00:00Z,XRPUSDT,7,-0.11897208121827407,0.011630685507125538,-0.1306027667253996,0.25,0.2777,0.2739,0.9002520705797623,20,0.003751882712597407,0.0018759413562987035,0.0034209578682031228,0.00312301044292404,-1.3010426069826053e-18,0.006874893155521447,0.0026264334533669664,-1.214306433183765e-17,0.0063783161659643735,0.0021298564638098927,-2.3418766925686896e-17,0.004005797820108596
development-20210125-BTCUSDT-7-1,development-20210125,2021-01-25T00:00:00Z,2021-02-01T00:00:00Z,2021-01-24T00:00:00Z,BTCUSDT,7,-0.10020119972690145,-0.030808480264694977,-0.06939271946220647,0.25,32274.88,33125.11,7.74596218483229e-06,21,0.0019095440685533223,0.0009547720342766612,-0.006585849428409951,-0.006889800938066987,1.3877787807814457e-17,-0.004980256869513665,-0.0073963907390050265,-1.734723475976807e-18,-0.005486846670451705,-0.007902980539943177,-1.5612511283791264e-17,-0.0069482085056665165
development-20210201-ETHUSDT-7-1,development-20210201,2021-02-01T00:00:00Z,2021-02-08T00:00:00Z,2021-01-31T00:00:00Z,ETHUSDT,7,-0.05818223548313073,0.6735432257698958,-0.7317254612530265,0.25,1313.09,1612.0,0.00019039060536596883,22,0.007537208126384284,0.003768604063192142,-0.05690965584994179,-0.05724380164345169,2.7755575615628914e-17,-0.04970659351706741,-0.05780074544509517,-6.938893903907228e-18,-0.05026353731871089,-0.05835768924673865,-3.469446951953614e-17,-0.05458908518354651
development-20210208-XRPUSDT-7-1,development-20210208,2021-02-08T00:00:00Z,2021-02-15T00:00:00Z,2021-02-07T00:00:00Z,XRPUSDT,7,-0.15547489413188142,0.46933737209491744,-0.6248122662267989,0.25,0.4188,0.5935,0.5969436485195797,21,0.012059005127049844,0.006029502563524922,-0.10428605539637059,-0.10464862702960848,-6.938893903907228e-17,-0.09258962190255864,-0.10525297565663796,0.0,-0.09319397052958812,-0.10585732428366759,6.938893903907228e-17,-0.09982782172014266
development-20210215-DOGEUSDT-7-1,development-20210215,2021-02-15T00:00:00Z,2021-02-22T00:00:00Z,2021-02-14T00:00:00Z,DOGEUSDT,7,-0.19632192746379595,0.3099851522679797,-0.5063070797317757,0.25,0.062711,0.05609,3.9865414361116867,20,0.007646422284998644,0.003823211142499322,0.026394890848495473,0.026110727783004578,-3.469446951953614e-18,0.03375715006800322,0.025637138510787583,3.469446951953614e-18,0.033283560795786225,0.025163549238570587,1.0408340855860843e-17,0.02898676038106991
development-20210222-DOGEUSDT-7-1,development-20210222,2021-02-22T00:00:00Z,2021-03-01T00:00:00Z,2021-02-21T00:00:00Z,DOGEUSDT,7,-0.10601010986908199,0.25680859493493247,-0.36281870480401446,0.25,0.05609,0.048147,4.457122481725798,22,-0.00017618629911971838,-0.0012592200145567394,0.035402923872348,0.035124165626671394,-2.7755575615628914e-17,0.03494797932755168,0.03465958979229811,-1.3877787807814457e-17,0.03448340349317839,0.034195013957924764,6.938893903907228e-18,0.03293579394336803
development-20210301-BNBUSDT-7-1,development-20210301,2021-03-01T00:00:00Z,2021-03-08T00:00:00Z,2021-02-28T00:00:00Z,BNBUSDT,7,-0.2874342069564273,-0.1589312321525523,-0.128502974803875,0.25,210.196,240.283,0.0011893661154351177,21,0.0008446939577839385,0.00042234697889196926,-0.03578445831509636,-0.03610592899008544,-1.3877787807814457e-17,-0.035261235032301504,-0.03664173491907549,-6.938893903907228e-18,-0.035797040961291555,-0.037177540848065654,-4.85722573273506e-17,-0.03675519386917368
development-20210308-ADAUSDT-7-1,development-20210308,2021-03-08T00:00:00Z,2021-03-15T00:00:00Z,2021-03-07T00:00:00Z,ADAUSDT,7,-0.1388897349984769,0.09190777194689864,-0.23079750694537554,0.25,1.13111,1.05358,0.2210218281157447,20,0.00445831155314136,0.00222915577657068,0.01713582233381372,0.016846103827213993,-3.469446951953614e-18,0.02130441538035535,0.01636324993104124,-2.0816681711721685e-17,0.0208215614841826,0.015880396034868433,3.469446951953614e-18,0.018109551811439112
