decision_time,entry_time,exit_time,symbol,formation_pairs,chl_spread,chl_monthly_corrected,amihud,log_amihud,market_beta,mom7,mom28,vol28,max28,log_volume30,target_return,spread_percentile,group
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,TRXUSDT,56,0.009231037602394718,0.0,2.555154685000527e-10,-22.087738166042815,0.6369322690061194,-0.010613207547169767,0.04629773967264228,0.02849613769843242,0.06175059952038375,17.84576824862209,-0.03839857121595469,0.0,low
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,XLMUSDT,56,0.010215615256129311,0.0,6.138132992050905e-10,-21.21133030697684,0.6359629944536139,-0.03907478104648543,-0.07869523091829045,0.026070574567035248,0.05342624854819977,17.2315248342362,-0.004962478818687943,0.043478260869565216,low
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,BCHUSDT,56,0.010575498926725378,0.0,2.6048341905916984e-10,-22.06848190720555,0.7003659349784799,-0.04831536896057875,-0.0838775214047307,0.030854218714007533,0.06582818476022356,18.308885863653565,-0.029701372074253496,0.08695652173913043,low
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,BNBUSDT,56,0.01075746029345955,0.009876789032789855,3.659506511625154e-11,-24.0311077175013,0.5925620969690583,-0.038960609069844554,-0.12651182381611414,0.027015737672825967,0.07164088360467469,19.87044756647752,-0.0019058179424095156,0.13043478260869565,low
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,XMRUSDT,56,0.011311040806468517,0.006663533122159577,6.48514424404463e-10,-21.156336869698578,0.6139460620098549,-0.03645313643318049,-0.15647565804798513,0.02778387726995044,0.044168123826177075,17.26849673207558,0.002809928413728402,0.17391304347826086,low
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,LTCUSDT,56,0.01220504480701122,0.003468945011576086,6.575677042568778e-11,-23.445058477918145,0.7404386622398367,-0.01092776745710855,-0.09435661396838091,0.03228420048594028,0.07383812010443846,19.733793832471758,-0.15116796440489433,0.21739130434782608,other
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,XRPUSDT,56,0.012778846301864977,0.013289195908663214,3.9080523606526016e-11,-23.965396890519106,0.5700682251255169,-0.002645502645502673,-0.08428467330580525,0.022868958702925306,0.05055002619172355,19.92180113827476,0.01227495908346965,0.2608695652173913,other
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,LINKUSDT,56,0.013567189072254019,0.0,1.1135747021310804e-10,-22.918275636795986,0.8404500364350908,-0.06807826320021437,-0.047266748869708275,0.03720804666778479,0.09097390560387852,19.306504153141297,-0.0561797752808989,0.30434782608695654,other
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,DASHUSDT,56,0.014054433608153597,0.0,6.359507139865918e-10,-21.175900049322994,0.7104021460579508,-0.009710124232471862,0.10324530703149848,0.04262838244733695,0.07727632620744274,17.702857042354157,-0.18481090185270255,0.34782608695652173,other
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,UNIUSDT,56,0.01594816197898876,0.0065298375221373665,6.759468059737282e-10,-21.114906732369732,0.9321420793545715,-0.04580733526099534,-0.11252653927813172,0.03889111412642404,0.05495914116327505,17.75750283464217,-0.0707420828737988,0.391304347826087,other
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,KAVAUSDT,56,0.016034496450909676,0.0,7.906209259241243e-10,-20.958202497007285,0.7623840681596857,-0.09553490480507698,-0.23546316697001635,0.048648820745409806,0.08349817803227477,17.705752995882865,0.25227848101265815,0.43478260869565216,other
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,ETCUSDT,56,0.01741664344876778,0.014309210083067249,1.0991732376327758e-10,-22.93129263488266,0.8792795818958808,-0.03521660820930883,-0.12225097024579568,0.033025628663779116,0.058291315206634886,19.42893523186333,-0.051357374392220434,0.4782608695652174,other
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,ZECUSDT,56,0.017670050001734203,0.016181953013841864,7.016245981986119e-10,-21.077622615338914,0.894931651538222,-0.12527618205921331,-0.15837585034013602,0.0417720694618186,0.0797970479704797,17.687563388458535,-0.10112949829261886,0.5217391304347826,other
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,ENSUSDT,56,0.018163072504682045,0.0,1.2811862781769311e-09,-20.475479408384423,1.1230946849089913,-0.09363653735906752,-0.14127942063971033,0.05328776232134229,0.08751412053957064,17.353541625345617,-0.057920648711265454,0.5652173913043478,other
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,ZILUSDT,56,0.01879472004394987,0.0,8.780450927670925e-10,-20.85332316510757,1.2062054464116936,-0.14925373134328357,-0.044265593561368166,0.04547010892054289,0.08273991183452023,17.746272543728146,-0.11361161524500907,0.6086956521739131,other
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,AAVEUSDT,56,0.019432560019360296,0.01159813560369097,6.328404350753447e-10,-21.18080280285133,1.0851392787136633,-0.05740922473012744,-0.15690147026552548,0.04350887995151332,0.07743256262042375,17.816520786516833,-0.028799999999999937,0.6521739130434783,other
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,HBARUSDT,56,0.019467683781593245,0.0,6.992124434530205e-10,-21.081066495045036,1.228136170412349,-0.1709213424906052,-0.11483121195351409,0.05140100497708782,0.15878867676102693,17.556936648050563,-0.03192987948035686,0.6956521739130435,other
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,RUNEUSDT,56,0.0201755114893588,0.01684205759880874,1.1843173731773583e-09,-20.55409928473396,1.2090150480245814,-0.08160779537149809,-0.2067332982640715,0.049427724082210404,0.10526315789473695,17.406000567721247,-0.10013531799729358,0.7391304347826086,other
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,AVAXUSDT,56,0.020359133250881883,0.013750541726428566,1.5460428484807613e-10,-22.590152264453764,1.2156707169636594,-0.09379760609358001,-0.22084483323197834,0.045028536284381686,0.10010473513036788,19.243351317644414,0.0023548367106649426,0.782608695652174,other
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,VETUSDT,56,0.021236689506626282,0.022344471079604654,1.2286243412864873e-09,-20.517370715180682,1.2407036577121877,-0.08504504504504506,0.020908725371934,0.05534722085297567,0.13569078947368407,17.13640123087962,-0.0967078189300411,0.8260869565217391,high
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,SOLUSDT,56,0.021393916583373456,0.0,6.134686031740654e-11,-23.514477122651584,1.5746319780380906,-0.0716887848035388,-0.1328039541384758,0.04678384194211678,0.09278256090859127,20.23974978667944,-0.0365935114503817,0.8695652173913043,high
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,CRVUSDT,56,0.021769192109221895,0.0026387055098031228,2.3357763298383736e-10,-22.17750661877175,1.3275439868845538,-0.06318956870611825,-0.16157989228007186,0.05961915225797215,0.13714902807775364,18.979994703939745,0.023655913978494425,0.9130434782608695,high
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,NEARUSDT,56,0.022788261033763323,0.012078906816838693,2.393861118607233e-10,-22.152943336765134,1.5479628200471034,-0.09256055363321802,-0.16381028298126743,0.05554605318815504,0.11976847729296525,18.94116386862577,-0.04240631163708086,0.9565217391304348,high
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,SNXUSDT,56,0.029124707120501,0.028760582349886495,1.0103949718725145e-09,-20.712924521277852,1.3575157390569006,0.08819076457229369,0.12042088854247868,0.061119006709933865,0.09931644551668661,17.85834534685316,-0.10517851399163713,1.0,high
2023-03-11T00:00:00Z,2023-03-13T00:00:00Z,2023-03-20T00:00:00Z,TRXUSDT,56,0.009001358887653204,0.0,2.547155259690857e-10,-22.090873777932575,0.6598964940034899,-0.1466030989272944,-0.09395760835178746,0.0315023090380618,0.06175059952038375,17.772350447125955,0.0286333384924935,0.0,low
2023-03-11T00:00:00Z,2023-03-13T00:00:00Z,2023-03-20T00:00:00Z,BNBUSDT,56,0.009853884934647025,0.008837609358434763,3.1710739592735803e-11,-24.17436570400677,0.5664415140021118,-0.045809940412633976,-0.09319148936170218,0.023996838951064813,0.07164088360467469,19.862206793739883,0.1658103041244272,0.043478260869565216,low
2023-03-11T00:00:00Z,2023-03-13T00:00:00Z,2023-03-20T00:00:00Z,XLMUSDT,56,0.010415944863611202,0.002516302119203459,5.946295592892701e-10,-21.243082493701994,0.6389853045977771,-0.08798784762795053,-0.08841392198084563,0.02477255875562526,0.05342624854819977,17.286292741049884,0.0667801970563191,0.08695652173913043,low
2023-03-11T00:00:00Z,2023-03-13T00:00:00Z,2023-03-20T00:00:00Z,BCHUSDT,56,0.011139312381020573,0.0,2.627204359524143e-10,-22.05993063028548,0.7046411155578055,-0.1169016315539364,-0.10167579761521117,0.03119635572867082,0.06582818476022356,18.308885863653565,0.1293461986358344,0.13043478260869565,low
2023-03-11T00:00:00Z,2023-03-13T00:00:00Z,2023-03-20T00:00:00Z,LTCUSDT,56,0.011608494693675106,0.0,6.567195128764406e-11,-23.44634920263514,0.7802321139028504,-0.2114683460391117,-0.23504823151125398,0.03342331116271174,0.07383812010443846,19.764284787285224,0.10064211767789266,0.17391304347826086,low
2023-03-11T00:00:00Z,2023-03-13T00:00:00Z,2023-03-20T00:00:00Z,XMRUSDT,56,0.01189838540905565,0.0014263092585175966,6.74079703880591e-10,-21.1176727569921,0.6013854709924473,-0.06807041767345523,-0.12576905640826364,0.02693904298436978,0.044168123826177075,17.304424234985536,0.02214957635599446,0.21739130434782608,other
2023-03-11T00:00:00Z,2023-03-13T00:00:00Z,2023-03-20T00:00:00Z,XRPUSDT,56,0.012822279438680811,0.013039170840978147,3.7376054753493995e-11,-24.009990863786626,0.5307275757863078,-0.019098143236074283,-0.030414263240692185,0.023196899643586014,0.05055002619172355,19.92929975555175,0.04015090272163846,0.2608695652173913,other
2023-03-11T00:00:00Z,2023-03-13T00:00:00Z,2023-03-20T00:00:00Z,LINKUSDT,56,0.013674002806455785,0.0,1.1369076370138249e-10,-22.897538952408542,0.8746898048758236,-0.10713258556226635,-0.09831542259657278,0.03769540526556731,0.09097390560387852,19.306504153141297,0.08089133089133083,0.30434782608695654,other
2023-03-11T00:00:00Z,2023-03-13T00:00:00Z,2023-03-20T00:00:00Z,DASHUSDT,56,0.01402835298485851,0.0,6.669066382844689e-10,-21.128371052397004,0.7667180053089446,-0.28017303532804605,-0.13543470730862484,0.04271700534091597,0.07727632620744274,17.684093163545842,0.08189331329827199,0.34782608695652173,other
2023-03-11T00:00:00Z,2023-03-13T00:00:00Z,2023-03-20T00:00:00Z,UNIUSDT,56,0.015610638738813782,0.0,6.28797239842813e-10,-21.18721226438614,0.9522214123479893,-0.10414673046251988,-0.11640711027214101,0.037020490472950626,0.05495914116327505,17.81862777938842,0.0993557138012886,0.391304347826087,other
2023-03-11T00:00:00Z,2023-03-13T00:00:00Z,2023-03-20T00:00:00Z,KAVAUSDT,56,0.016747681092749902,0.0,6.410120846839589e-10,-21.1679728063245,0.6466336856307645,0.17679488785866426,0.11187403812004271,0.04182053585544288,0.1031242659149636,17.636085946638108,-0.000707571009804786,0.43478260869565216,other
2023-03-11T00:00:00Z,2023-03-13T00:00:00Z,2023-03-20T00:00:00Z,ETCUSDT,56,0.016819548771162797,0.011849797886143494,1.197883213731647e-10,-22.845294919363344,0.9278431016157673,-0.1447801522967329,-0.16954489075469892,0.030259763022320946,0.058291315206634886,19.237028267701387,0.1249332621462893,0.4782608695652174,other
2023-03-11T00:00:00Z,2023-03-13T00:00:00Z,2023-03-20T00:00:00Z,ZECUSDT,56,0.017005231104575063,0.013071572699735176,6.589422973943086e-10,-21.140385146118124,0.9323875402078121,-0.19070472341500389,-0.2639558924879394,0.039048725083304134,0.06023820430600102,17.725697458339134,0.07042665108123924,0.5217391304347826,other
2023-03-11T00:00:00Z,2023-03-13T00:00:00Z,2023-03-20T00:00:00Z,ENSUSDT,56,0.017658887922442523,0.0,1.2954815128288786e-09,-20.464383386326254,1.1555849959774835,-0.12847002600323276,-0.11173984671585135,0.04960500889025347,0.08751412053957064,17.211145293374106,0.10774669535813097,0.5652173913043478,other
2023-03-11T00:00:00Z,2023-03-13T00:00:00Z,2023-03-20T00:00:00Z,ZILUSDT,56,0.01849634916735227,0.0,1.0244616582594242e-09,-20.69909857378211,1.151552014236602,-0.19333333333333336,-0.17242620590352764,0.043756370720076605,0.08273991183452023,17.480739785262887,0.20270270270270263,0.6086956521739131,other
2023-03-11T00:00:00Z,2023-03-13T00:00:00Z,2023-03-20T00:00:00Z,SOLUSDT,56,0.018744934865970255,0.0,5.97056379081627e-11,-23.541594662666256,1.5276100721203112,-0.15202055594487274,-0.09638074376462391,0.04475621565016326,0.09278256090859127,20.23974978667944,0.08275144852176486,0.6521739130434783,other
2023-03-11T00:00:00Z,2023-03-13T00:00:00Z,2023-03-20T00:00:00Z,HBARUSDT,56,0.019119696924042504,0.0,6.310267078500119e-10,-21.183672928054836,1.19920656166427,-0.08049390434510773,-0.2254114549045425,0.04455634691597739,0.15878867676102693,17.50811764492461,0.04850444624090544,0.6956521739130435,other
2023-03-11T00:00:00Z,2023-03-13T00:00:00Z,2023-03-20T00:00:00Z,AVAXUSDT,56,0.019482874076888864,0.011242832227593855,1.4589173413621975e-10,-22.64815631631439,1.1988022527802484,-0.11245196926032652,-0.16804547245202317,0.04038019604384161,0.10010473513036788,19.186255034554005,0.08408037094281284,0.7391304347826086,other
