decision_time,rankable,high_chl_return,low_chl_return,high_minus_low,chl_rank_ic,controlled_chl_slope,amihud_high_minus_low,volatility_high_minus_low,main_minus_amihud,main_minus_volatility,monthly_corrected_chl_high_minus_low,score_log_amihud_spearman,score_market_beta_spearman,score_mom7_spearman,score_mom28_spearman,score_vol28_spearman,score_max28_spearman,score_log_volume30_spearman,selected_symbol,selected_gross_return
2023-03-04T00:00:00Z,24,-0.05144604840612928,-0.014431662327515448,-0.03701438607861383,-0.15478260869565216,0.04388477468613505,-0.04896084115376201,-0.049675079762335206,0.011946455075148181,0.012660693683721379,-0.08048484049957819,0.2982608695652174,0.9452173913043478,-0.43652173913043474,-0.31652173913043474,0.8991304347826086,0.8208695652173912,0.0,SOLUSDT,-0.0365935114503817
2023-03-11T00:00:00Z,24,0.08006608375147554,0.09824243119739337,-0.018176347445917826,0.03913043478260869,-0.02308197983614868,0.015055595244490405,-0.0004164218137902159,-0.03323194269040823,-0.01775992563212761,0.005590862289512541,0.38608695652173913,0.8834782608695652,-0.248695652173913,-0.21826086956521737,0.8226086956521739,0.697391304347826,-0.13999999999999999,CRVUSDT,0.06932773109243695
2023-03-18T00:00:00Z,24,-0.07913741962880302,-0.008116536242991579,-0.07102088338581145,-0.6043478260869565,0.032085042189062635,-0.09050222573831426,-0.10874752020865375,0.019481342352502817,0.0377266368228423,0.016591759163791922,0.4652173913043478,0.88,0.1269565217391304,-0.3095652173913043,0.7469565217391304,0.551304347826087,-0.17217391304347823,AVAXUSDT,-0.02480752780153972
2023-03-25T00:00:00Z,24,0.01006506425445688,-0.011217168709665182,0.02128223296412206,0.13217391304347825,0.03087819352202312,0.05303646323005513,0.008321763135747284,-0.03175423026593306,0.012960469828374777,0.04417686337429935,0.4991304347826086,0.863478260869565,-0.5626086956521739,-0.5356521739130434,0.6495652173913044,0.33739130434782605,-0.32,CRVUSDT,-0.027896995708154515
2023-04-01T00:00:00Z,24,0.0024870234559403403,0.0033331809204311556,-0.0008461574644908153,0.24086956521739128,0.021960165569725666,0.004548349769463765,-0.032071457377923517,-0.005394507233954581,0.031225299913432703,0.024989785727243263,0.5321739130434783,0.8243478260869566,0.10521739130434782,-0.40782608695652167,0.5591304347826086,0.3104347826086956,-0.40347826086956523,SNXUSDT,0.028135990621336315
2023-04-08T00:00:00Z,24,0.11190459385488775,0.061920631362789046,0.04998396249209871,0.25130434782608696,0.005705710713373224,-0.03340551641955475,0.030615174965049924,0.08338947891165346,0.019368787527048785,-0.008554983813791939,0.45999999999999996,0.6956521739130433,0.20173913043478262,-0.07130434782608694,0.7243478260869565,0.4504347826086956,-0.3043478260869565,NEARUSDT,0.15910224438902731
2023-04-15T00:00:00Z,24,-0.15599060457723107,-0.07232147656576952,-0.08366912801146155,-0.48086956521739127,-0.013192710956541898,-0.019900194014347755,-0.03170030759566307,-0.0637689339971138,-0.05196882041579848,-0.03131344946961401,0.49304347826086947,0.6139130434782608,0.2478260869565217,-0.16,0.6356521739130434,0.288695652173913,-0.31130434782608696,NEARUSDT,-0.17771084337349385
2023-04-22T00:00:00Z,24,0.007754866115320058,-0.00020434130913340453,0.007959207424453463,-0.015652173913043476,0.0034250743472104828,-0.052243336353352814,0.018823585821526746,0.060202543777806275,-0.010864378397073283,0.02529332039521435,0.5139130434782608,0.5826086956521739,-0.36,-0.11304347826086956,0.7730434782608695,0.5947826086956521,-0.35913043478260864,NEARUSDT,0.008895866038723055
2023-04-29T00:00:00Z,24,-0.06952408176423555,-0.019170930709067724,-0.05035315105516783,-0.5878260869565216,-0.006427101464993992,-0.028090797314236582,-0.035884199360122285,-0.022262353740931246,-0.014468951695045543,-0.037738056263656915,0.39652173913043476,0.5026086956521739,0.010434782608695651,-0.40869565217391296,0.6043478260869565,0.5156521739130434,-0.2582608695652174,XRPUSDT,-0.046140761216244996
2023-05-06T00:00:00Z,24,0.015557122508575017,-0.015102582547902931,0.03065970505647795,-0.49999999999999994,0.029361149609107018,0.05370311312330826,-0.05844690486444561,-0.023043408066830313,0.08910660992092356,-0.017343461279567117,0.40869565217391296,0.6234782608695651,-0.5121739130434783,-0.43043478260869555,0.617391304347826,0.5130434782608695,-0.2669565217391304,XRPUSDT,-0.05260811413285782
