decision_time,entry_time,exit_time,symbol,formation_days,amihud,log_amihud,market_beta,mom7,mom28,vol28,max28,log_volume30,target_return,illiquidity_percentile,group
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,XRPUSDT,56,3.4118740054759115e-11,-24.101174320869678,0.5700682251255169,-0.002645502645502673,-0.08428467330580525,0.022868958702925306,0.05055002619172355,19.92180113827476,0.01227495908346965,0.0,low
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,BNBUSDT,56,3.695716339132813e-11,-24.021261620170474,0.5925620969690583,-0.038960609069844554,-0.12651182381611414,0.027015737672825967,0.07164088360467469,19.87044756647752,-0.0019058179424095156,0.043478260869565216,low
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,SOLUSDT,56,5.2161321779398263e-11,-23.676679857768526,1.5746319780380906,-0.0716887848035388,-0.1328039541384758,0.04678384194211678,0.09278256090859127,20.23974978667944,-0.0365935114503817,0.08695652173913043,low
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,LTCUSDT,56,6.4679991406739e-11,-23.461569214077738,0.7404386622398367,-0.01092776745710855,-0.09435661396838091,0.03228420048594028,0.07383812010443846,19.733793832471758,-0.15116796440489433,0.13043478260869565,low
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,ETCUSDT,56,8.89154706793377e-11,-23.143334965159376,0.8792795818958808,-0.03521660820930883,-0.12225097024579568,0.033025628663779116,0.058291315206634886,19.42893523186333,-0.051357374392220434,0.17391304347826086,low
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,LINKUSDT,56,1.0837586468586026e-10,-22.94541570221275,0.8404500364350908,-0.06807826320021437,-0.047266748869708275,0.03720804666778479,0.09097390560387852,19.306504153141297,-0.0561797752808989,0.21739130434782608,other
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,AVAXUSDT,56,1.3924070910301947e-10,-22.6948169603308,1.2156707169636594,-0.09379760609358001,-0.22084483323197834,0.045028536284381686,0.10010473513036788,19.243351317644414,0.0023548367106649426,0.2608695652173913,other
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,NEARUSDT,56,2.0781438738500784e-10,-22.294375802966197,1.5479628200471034,-0.09256055363321802,-0.16381028298126743,0.05554605318815504,0.11976847729296525,18.94116386862577,-0.04240631163708086,0.30434782608695654,other
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,BCHUSDT,56,2.3230291926025343e-10,-22.182978909462943,0.7003659349784799,-0.04831536896057875,-0.0838775214047307,0.030854218714007533,0.06582818476022356,18.308885863653565,-0.029701372074253496,0.34782608695652173,other
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,CRVUSDT,56,2.447694403143915e-10,-22.130704408399982,1.3275439868845538,-0.06318956870611825,-0.16157989228007186,0.05961915225797215,0.13714902807775364,18.979994703939745,0.023655913978494425,0.391304347826087,other
2023-03-04T00:00:00Z,2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,TRXUSDT,56,2.5937898127495343e-10,-22.07273087556759,0.6369322690061194,-0.010613207547169767,0.04629773967264228,0.02849613769843242,0.06175059952038375,17.84576824862209,-0.03839857121595469,0.43478260869565216,other
