trade_id,strategy_variant,entry_time,exit_time,signal_cutoff,symbol,category,eligible_count,past14,ppc14,selection_past,selection_continuity,past_rank,continuity_rank,entry_price,exit_price,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-main-20240101-NEARUSDT,main,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,NEARUSDT,Layer-1,25,0.5386867419489751,0.047619047619047616,0.5386867419489751,0.047619047619047616,1.0,9.0,3.654,3.214,0.25,0.06841817186644773,21,-0.0011814112970190958,-0.0017721169455286432,-0.030103995621237,-0.030385933223864237,2.0816681711721685e-17,-0.031567344520883334,-0.030855847290640365,-1.0408340855860843e-17,-0.03203725858765946,-0.03132576135741652,2.0816681711721685e-17,-0.033097878302945166
development-main-20240115-TRXUSDT,main,2024-01-15T00:00:00+0000,2024-01-22T00:00:00+0000,2024-01-13T00:00:00+0000,TRXUSDT,Layer-1,25,0.07775051896584251,0.3523809523809524,0.07775051896584251,0.3523809523809524,3.0,5.0,0.11118,0.10883,0.25,2.248605864364094,21,-0.00035545260891527256,-0.0005661666618438568,-0.00528422378125562,-0.005581053246986878,0.0,-0.00593650585590215,-0.00607577219373992,-4.5102810375396984e-17,-0.0064312248026551925,-0.006570491140492907,-4.336808689942018e-18,-0.007136657802336763
development-main-20240122-BNBUSDT,main,2024-01-22T00:00:00+0000,2024-01-29T00:00:00+0000,2024-01-20T00:00:00+0000,BNBUSDT,Layer-1,25,0.03199869791666665,0.2,0.03199869791666665,0.2,6.0,3.0,318.41,305.25,0.25,0.000785151220124996,21,0.0006127021565748563,0.00030635107828742814,-0.010332590056844976,-0.010626390502810862,-1.734723475976807e-18,-0.010013688346236005,-0.011116064112308033,-5.204170427930421e-18,-0.010503361955733176,-0.011605737721805232,8.673617379884035e-18,-0.011299386643517803
development-main-20240122-LINKUSDT,main,2024-01-22T00:00:00+0000,2024-01-29T00:00:00+0000,2024-01-20T00:00:00+0000,LINKUSDT,Infrastructure,25,0.1749553305539011,0.02857142857142857,0.1749553305539011,0.02857142857142857,3.0,7.0,15.397,14.476,0.25,0.016236929271936092,21,-0.00047612597708969283,-0.0007141889656345392,-0.014954211859453143,-0.015245239332337429,2.949029909160572e-17,-0.01572136530942712,-0.01573029409300508,1.734723475976807e-17,-0.016206420070094773,-0.016215348853672762,3.122502256758253e-17,-0.0169295378193073
development-main-20240122-LTCUSDT,main,2024-01-22T00:00:00+0000,2024-01-29T00:00:00+0000,2024-01-20T00:00:00+0000,LTCUSDT,Payment,25,0.0871287128712872,0.10476190476190476,0.0871287128712872,0.10476190476190476,4.0,5.0,71.77,68.33,0.25,0.0034833495889647487,21,-0.0004893054374390415,-0.0007339581561585623,-0.011982722586038719,-0.012275532952487067,3.8163916471489756e-17,-0.01276483838992611,-0.01276355741953461,-2.949029909160572e-17,-0.013252862856973652,-0.013251581886582126,3.2959746043559335e-17,-0.013985540042740687
development-main-20240122-UNIUSDT,main,2024-01-22T00:00:00+0000,2024-01-29T00:00:00+0000,2024-01-20T00:00:00+0000,UNIUSDT,DeFi,25,0.029477020602218795,0.21904761904761905,0.029477020602218795,0.21904761904761905,7.0,2.0,6.375,5.94,0.25,0.0392156862745098,21,-0.00048676911270588235,-0.0007301536690588235,-0.017058823529411737,-0.017348588235294088,1.3877787807814457e-17,-0.01783535734799997,-0.017831539647058803,-2.42861286636753e-17,-0.018318308759764684,-0.01831449105882349,-3.469446951953614e-18,-0.019044644727882313
development-main-20240122-XMRUSDT,main,2024-01-22T00:00:00+0000,2024-01-29T00:00:00+0000,2024-01-20T00:00:00+0000,XMRUSDT,PoW,25,0.027739523903206775,0.14285714285714285,0.027739523903206775,0.14285714285714285,8.0,4.0,157.59,160.63,0.25,0.0015863950758296845,21,-0.0005211694176692682,-0.0007817541265039027,0.004822641030522212,0.004519747445903888,-2.7755575615628914e-17,0.0039985780282346195,0.004014927698458015,-4.683753385137379e-17,0.003493758280788747,0.003510107951012087,-3.0791341698588326e-17,0.002728353824508184
development-main-20240205-ETCUSDT,main,2024-02-05T00:00:00+0000,2024-02-12T00:00:00+0000,2024-02-03T00:00:00+0000,ETCUSDT,PoW,23,0.00529656733918249,0.2,0.00529656733918249,0.2,8.0,7.0,24.988,25.877,0.25,0.01000480230510645,21,-0.0005320234357891789,-0.0007980351536837683,0.008894269249239639,0.00858893268769012,3.642919299551295e-17,0.008056909251900942,0.008080043755002375,-3.8163916471489756e-17,0.007548020319213197,0.007571154822314741,3.5561831257524545e-17,0.006773119668630973
development-main-20240205-TRXUSDT,main,2024-02-05T00:00:00+0000,2024-02-12T00:00:00+0000,2024-02-03T00:00:00+0000,TRXUSDT,Layer-1,23,0.06546049640876439,0.2761904761904762,0.06546049640876439,0.2761904761904762,3.0,6.0,0.1184,0.12417,0.25,2.1114864864864864,21,5.668110474873292e-06,-0.0002502278012781884,0.01218327702702704,0.011875967060810844,3.9898639947466563e-17,0.011881635171285716,0.01136379109375002,1.9081958235744878e-17,0.011369459204224892,0.010851615126689196,1.734723475976807e-18,0.010601387325411007
development-main-20240205-XMRUSDT,main,2024-02-05T00:00:00+0000,2024-02-12T00:00:00+0000,2024-02-03T00:00:00+0000,XMRUSDT,PoW,23,0.05608728943338437,0.5428571428571428,0.05608728943338437,0.5428571428571428,5.0,1.0,165.94,120.68,0.25,0.001506568639267205,21,0.0065927891126273605,0.003199528070327782,-0.0681872966132337,-0.06844638423526575,-1.3877787807814457e-17,-0.06185359512263839,-0.06887823785103048,-4.163336342344337e-17,-0.06228544873840312,-0.06931009146679523,0.0,-0.06611056339646745
development-main-20240212-LINKUSDT,main,2024-02-12T00:00:00+0000,2024-02-19T00:00:00+0000,2024-02-10T00:00:00+0000,LINKUSDT,Infrastructure,23,0.3307295299204909,0.29523809523809524,0.3307295299204909,0.29523809523809524,1.0,5.0,20.153,20.135,0.25,0.012405100977521958,21,-0.0008602189998383108,-0.0012903284997574662,-0.00022329181759536687,-0.0005231578425047845,1.7889335846010823e-17,-0.0013833768423430954,-0.0010229346846622744,-1.691355389077387e-17,-0.0018831536845005854,-0.0015227115268197644,3.642919299551295e-17,-0.0028130400265772306
development-main-20240212-SOLUSDT,main,2024-02-12T00:00:00+0000,2024-02-19T00:00:00+0000,2024-02-10T00:00:00+0000,SOLUSDT,Layer-1,23,0.15639126467030295,0.44761904761904764,0.15639126467030295,0.44761904761904764,4.0,3.0,107.471,112.344,0.25,0.0023262089307813268,21,-0.0010362475380348846,-0.001554371307052327,0.011335616119697411,0.01102881475002554,-2.42861286636753e-17,0.009992567211990655,0.010517485935275517,-6.245004513516506e-17,0.009481238397240632,0.01000615712052555,2.2551405187698492e-17,0.008451785813473223
development-main-20240219-HBARUSDT,main,2024-02-19T00:00:00+0000,2024-02-26T00:00:00+0000,2024-02-17T00:00:00+0000,HBARUSDT,Layer-1,22,0.2057720057720056,0.3333333333333333,0.2057720057720056,0.3333333333333333,5.0,5.0,0.08989,0.10938,0.25,2.781176994103905,21,-0.0009578154246840583,-0.0014367231370260877,0.05420513961508511,0.053872616531316087,6.938893903907228e-18,0.05291480110663203,0.05331844391478474,-1.3877787807814457e-17,0.05236062849010068,0.05276427129825345,1.3877787807814457e-17,0.051327548161227365
development-main-20240219-RUNEUSDT,main,2024-02-19T00:00:00+0000,2024-02-26T00:00:00+0000,2024-02-17T00:00:00+0000,RUNEUSDT,DeFi,22,0.24638014249597795,0.4095238095238095,0.24638014249597795,0.4095238095238095,4.0,4.0,5.528,5.401,0.25,0.04522431259044863,21,-0.0012326969752574082,-0.0018490454628861122,-0.005743487698986971,-0.006040041606367563,1.0408340855860843e-17,-0.007272738581624971,-0.006534301564761202,-3.729655473350135e-17,-0.00776699854001861,-0.007028561523154814,2.168404344971009e-17,-0.008877606986040926
development-main-20240219-VETUSDT,main,2024-02-19T00:00:00+0000,2024-02-26T00:00:00+0000,2024-02-17T00:00:00+0000,VETUSDT,Layer-1,22,0.5929172510518934,0.4666666666666667,0.5929172510518934,0.4666666666666667,1.0,3.0,0.0456,0.04507,0.25,5.482456140350877,21,-0.0014189981764967103,-0.0021284972647450657,-0.002905701754385981,-0.00320395833333334,8.239936510889834e-18,-0.004622956509830051,-0.0037010543750000124,-3.0357660829594124e-17,-0.005120052551496723,-0.004198150416666713,-1.9949319973733282e-17,-0.006326647681411779
development-main-20240226-NEARUSDT,main,2024-02-26T00:00:00+0000,2024-03-04T00:00:00+0000,2024-02-24T00:00:00+0000,NEARUSDT,Layer-1,23,0.2711140322050607,0.5619047619047619,0.2711140322050607,0.5619047619047619,5.0,2.0,3.708,4.439,0.25,0.0674217907227616,21,-0.0033642237685797597,-0.00504633565286964,0.04928532901833871,0.0489557578209277,-1.3877787807814457e-17,0.04559153405234794,0.048406502063106815,-2.7755575615628914e-17,0.045042278294527054,0.04785724630528587,3.469446951953614e-17,0.04281091065241623
development-main-20240226-SNXUSDT,main,2024-02-26T00:00:00+0000,2024-03-04T00:00:00+0000,2024-02-24T00:00:00+0000,SNXUSDT,DeFi,23,0.16883492338826245,0.23809523809523808,0.16883492338826245,0.23809523809523808,8.0,6.0,3.923,4.446,0.25,0.0637267397399949,21,-0.0027652273450284796,-0.004147841017542718,0.03332908488401731,0.03300908743308689,-1.3877787807814457e-17,0.030243860088058412,0.03247577834565385,-2.0816681711721685e-17,0.02971055100062537,0.03194246925822075,3.469446951953614e-17,0.027794628240678035
development-main-20240226-ZECUSDT,main,2024-02-26T00:00:00+0000,2024-03-04T00:00:00+0000,2024-02-24T00:00:00+0000,ZECUSDT,PoW,23,0.3401913875598088,0.29523809523809524,0.3401913875598088,0.29523809523809524,4.0,5.0,27.77,31.68,0.25,0.009002520705797623,21,-0.0031642570376789005,-0.00474638555651835,0.035199855959668735,0.03487873604609293,2.0816681711721685e-17,0.03171447900841403,0.03434355731004679,-4.163336342344337e-17,0.03117930027236789,0.033808378574000764,4.163336342344337e-17,0.029061993017482413
