trade_id,strategy_variant,entry_time,exit_time,signal_cutoff,symbol,category,eligible_count,past14,ppc14,selection_past,selection_continuity,past_rank,continuity_rank,entry_price,exit_price,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-inverse_max_share-20240101-ENSUSDT,inverse_max_share,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,ENSUSDT,Infrastructure,25,0.1186286752185266,0.009523809523809525,0.1186286752185266,0.8537561296869568,8.0,1.0,9.684,11.79,0.25,0.025815778603882695,21,-0.0012017230016548764,-0.0018501898179511297,0.054368029739776946,0.05403540892193309,0.0,0.05283368592027821,0.05348107351301118,-3.469446951953614e-17,0.0522793505113563,0.05292673810408921,1.3877787807814457e-17,0.05107654828613808
development-inverse_max_share-20240101-SOLUSDT,inverse_max_share,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,SOLUSDT,Layer-1,25,0.3829013927878815,-0.12380952380952381,0.3829013927878815,0.8395837703951317,2.0,5.0,101.775,89.414,0.25,0.0024563989191844753,21,-0.0012217305350939406,-0.0018325958026409106,-0.030363547040039324,-0.03064532891181529,-3.469446951953614e-18,-0.03186705944690923,-0.031114983582903488,-3.122502256758253e-17,-0.03233671411799743,-0.03158463825399166,0.0,-0.03341723405663257
development-inverse_max_share-20240101-UNIUSDT,inverse_max_share,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,UNIUSDT,DeFi,25,0.19351701782820108,-0.3333333333333333,0.19351701782820108,0.8279672409348606,4.0,7.0,7.231,6.004,0.25,0.03457336467985064,21,-0.0010325030953787305,-0.0015487546430680956,-0.04242151846217676,-0.04269606555109945,-6.938893903907228e-18,-0.04372856864647818,-0.04315366948554833,-2.0816681711721685e-17,-0.04418617258092706,-0.04361127341999721,2.7755575615628914e-17,-0.04516002806306531
development-inverse_max_share-20240122-LINKUSDT,inverse_max_share,2024-01-22T00:00:00+0000,2024-01-29T00:00:00+0000,2024-01-20T00:00:00+0000,LINKUSDT,Infrastructure,25,0.1749553305539011,0.02857142857142857,0.1749553305539011,0.8295022735314905,3.0,9.0,15.397,14.476,0.25,0.016236929271936092,21,-0.00047612597708969283,-0.0007141889656345392,-0.014954211859453143,-0.015245239332337429,2.949029909160572e-17,-0.01572136530942712,-0.01573029409300508,1.734723475976807e-17,-0.016206420070094773,-0.016215348853672762,3.122502256758253e-17,-0.0169295378193073
development-inverse_max_share-20240122-XMRUSDT,inverse_max_share,2024-01-22T00:00:00+0000,2024-01-29T00:00:00+0000,2024-01-20T00:00:00+0000,XMRUSDT,PoW,25,0.027739523903206775,0.14285714285714285,0.027739523903206775,0.8413018991567012,8.0,7.0,157.59,160.63,0.25,0.0015863950758296845,21,-0.0005211694176692682,-0.0007817541265039027,0.004822641030522212,0.004519747445903888,-2.7755575615628914e-17,0.0039985780282346195,0.004014927698458015,-4.683753385137379e-17,0.003493758280788747,0.003510107951012087,-3.0791341698588326e-17,0.002728353824508184
development-inverse_max_share-20240205-AVAXUSDT,inverse_max_share,2024-02-05T00:00:00+0000,2024-02-12T00:00:00+0000,2024-02-03T00:00:00+0000,AVAXUSDT,Layer-1,23,0.09336415059911207,0.08571428571428572,0.09336415059911207,0.8350901185954924,2.0,6.0,34.854,39.73,0.25,0.007172777873414816,21,-0.0005427202737861257,-0.0008140804106791886,0.03497446491077061,0.034653480231824185,1.3877787807814457e-17,0.034110759958038056,0.034118526751592326,-4.85722573273506e-17,0.0335758064778062,0.03358357327136058,2.7755575615628914e-17,0.03276949286068139
development-inverse_max_share-20240205-BCHUSDT,inverse_max_share,2024-02-05T00:00:00+0000,2024-02-12T00:00:00+0000,2024-02-03T00:00:00+0000,BCHUSDT,Payment,23,0.0073237078886796425,-0.047619047619047616,0.0073237078886796425,0.8590724900404275,7.0,1.0,235.03,277.62,0.25,0.0010636939965110836,21,-0.00015251227516789844,-0.00037497094972585283,0.045302727311407054,0.04497554567502021,0.0,0.044823033399852316,0.044430270129345195,-2.0816681711721685e-17,0.0442777578541773,0.04388499458367018,2.0816681711721685e-17,0.04351002363394432
development-inverse_max_share-20240205-TRXUSDT,inverse_max_share,2024-02-05T00:00:00+0000,2024-02-12T00:00:00+0000,2024-02-03T00:00:00+0000,TRXUSDT,Layer-1,23,0.06546049640876439,0.2761904761904762,0.06546049640876439,0.8319587877732723,3.0,8.0,0.1184,0.12417,0.25,2.1114864864864864,21,5.668110474873292e-06,-0.0002502278012781884,0.01218327702702704,0.011875967060810844,3.9898639947466563e-17,0.011881635171285716,0.01136379109375002,1.9081958235744878e-17,0.011369459204224892,0.010851615126689196,1.734723475976807e-18,0.010601387325411007
development-inverse_max_share-20240205-XMRUSDT,inverse_max_share,2024-02-05T00:00:00+0000,2024-02-12T00:00:00+0000,2024-02-03T00:00:00+0000,XMRUSDT,PoW,23,0.05608728943338437,0.5428571428571428,0.05608728943338437,0.8386763485917597,5.0,5.0,165.94,120.68,0.25,0.001506568639267205,21,0.0065927891126273605,0.003199528070327782,-0.0681872966132337,-0.06844638423526575,-1.3877787807814457e-17,-0.06185359512263839,-0.06887823785103048,-4.163336342344337e-17,-0.06228544873840312,-0.06931009146679523,0.0,-0.06611056339646745
development-inverse_max_share-20240212-ENSUSDT,inverse_max_share,2024-02-12T00:00:00+0000,2024-02-19T00:00:00+0000,2024-02-10T00:00:00+0000,ENSUSDT,Infrastructure,23,0.13188044197769733,-0.10476190476190476,0.13188044197769733,0.829287052239754,5.0,8.0,21.412,22.497,0.25,0.01167569587147394,21,-0.0014759121259643635,-0.002213868188946545,0.012668130020549229,0.012360529142536936,3.122502256758253e-17,0.010884617016572572,0.011847868613394374,-1.734723475976807e-18,0.010371956487430011,0.011335208084251869,2.2551405187698492e-17,0.009121339895305324
development-inverse_max_share-20240212-SOLUSDT,inverse_max_share,2024-02-12T00:00:00+0000,2024-02-19T00:00:00+0000,2024-02-10T00:00:00+0000,SOLUSDT,Layer-1,23,0.15639126467030295,0.44761904761904764,0.15639126467030295,0.829674647933413,4.0,7.0,107.471,112.344,0.25,0.0023262089307813268,21,-0.0010362475380348846,-0.001554371307052327,0.011335616119697411,0.01102881475002554,-2.42861286636753e-17,0.009992567211990655,0.010517485935275517,-6.245004513516506e-17,0.009481238397240632,0.01000615712052555,2.2551405187698492e-17,0.008451785813473223
development-inverse_max_share-20240219-SNXUSDT,inverse_max_share,2024-02-19T00:00:00+0000,2024-02-26T00:00:00+0000,2024-02-17T00:00:00+0000,SNXUSDT,DeFi,22,0.182052106786748,-0.08571428571428572,0.182052106786748,0.8267115897305223,7.0,7.0,3.769,3.923,0.25,0.06633059166887768,21,-0.0008638253254550742,-0.0012957379881826114,0.010214911117007175,0.009908782170336972,1.9081958235744878e-17,0.009044956844881897,0.009398573388166631,-1.3877787807814457e-17,0.008534748062711556,0.00888836460599629,-1.3877787807814457e-17,0.0075926266178136794
development-inverse_max_share-20240304-ZILUSDT,inverse_max_share,2024-03-04T00:00:00+0000,2024-03-11T00:00:00+0000,2024-03-02T00:00:00+0000,ZILUSDT,PoW,24,0.3727034120734909,0.4666666666666667,0.3727034120734909,0.8370055361859213,4.0,3.0,0.03028,0.03609,0.25,8.256274768824307,21,-0.0034231565112351385,-0.005134734766852709,0.047968956406869157,0.04764017503302509,2.0816681711721685e-17,0.04421701852178995,0.04709223485799208,3.469446951953614e-17,0.043669078346756936,0.04654429468295901,-1.3877787807814457e-17,0.0414095599161063
