trade_id,strategy_variant,entry_time,exit_time,signal_cutoff,symbol,category,eligible_count,past14,ppc14,selection_past,selection_continuity,past_rank,continuity_rank,entry_price,exit_price,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-directional_smoothness-20240101-BCHUSDT,directional_smoothness,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,BCHUSDT,Payment,25,0.1787004395700047,-0.10476190476190476,0.1787004395700047,0.34282116098695964,6.0,6.0,259.79,232.19,0.25,0.0009623157165402824,21,-2.7123046198462893e-05,-0.00032118213903796597,-0.026559913776511818,-0.026843977828245907,3.469446951953614e-18,-0.02687110087444437,-0.027317433850417655,-3.469446951953614e-17,-0.027344556896616117,-0.02779088987258943,1.0408340855860843e-17,-0.028112072011627395
development-directional_smoothness-20240101-BNBUSDT,directional_smoothness,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,BNBUSDT,Layer-1,25,0.29714121887287015,-0.14285714285714285,0.29714121887287015,0.5585984595767679,3.0,1.0,311.33,302.06,0.25,0.0008030064561719076,21,0.00273890017139831,0.001369450085699155,-0.0074438698487135635,-0.007739403526804328,1.3010426069826053e-17,-0.005000503355406019,-0.008231964123277452,2.42861286636753e-17,-0.005493063951879143,-0.008724524719750743,5.204170427930421e-18,-0.007355074634051588
development-directional_smoothness-20240101-ENSUSDT,directional_smoothness,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,ENSUSDT,Infrastructure,25,0.1186286752185266,0.009523809523809525,0.1186286752185266,0.29783095741587895,8.0,7.0,9.684,11.79,0.25,0.025815778603882695,21,-0.0012017230016548764,-0.0018501898179511297,0.054368029739776946,0.05403540892193309,0.0,0.05283368592027821,0.05348107351301118,-3.469446951953614e-17,0.0522793505113563,0.05292673810408921,1.3877787807814457e-17,0.05107654828613808
development-directional_smoothness-20240101-HBARUSDT,directional_smoothness,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,HBARUSDT,Layer-1,25,0.0858176375202695,-0.14285714285714285,0.0858176375202695,0.24418637211419555,9.0,8.0,0.08599,0.07527,0.25,2.9073148040469823,21,-0.0008538437011460637,-0.0012820435848901032,-0.031166414699383638,-0.031447714850563996,0.0,-0.03230155855171006,-0.03191656713571342,1.3877787807814457e-17,-0.032770410836859484,-0.03238541942086287,2.0816681711721685e-17,-0.033667463005752976
development-directional_smoothness-20240101-NEARUSDT,directional_smoothness,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,NEARUSDT,Layer-1,25,0.5386867419489751,0.047619047619047616,0.5386867419489751,0.38986050995948074,1.0,2.0,3.654,3.214,0.25,0.06841817186644773,21,-0.0011814112970190958,-0.0017721169455286432,-0.030103995621237,-0.030385933223864237,2.0816681711721685e-17,-0.031567344520883334,-0.030855847290640365,-1.0408340855860843e-17,-0.03203725858765946,-0.03132576135741652,2.0816681711721685e-17,-0.033097878302945166
development-directional_smoothness-20240101-SOLUSDT,directional_smoothness,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,SOLUSDT,Layer-1,25,0.3829013927878815,-0.12380952380952381,0.3829013927878815,0.3663572529308911,2.0,4.0,101.775,89.414,0.25,0.0024563989191844753,21,-0.0012217305350939406,-0.0018325958026409106,-0.030363547040039324,-0.03064532891181529,-3.469446951953614e-18,-0.03186705944690923,-0.031114983582903488,-3.122502256758253e-17,-0.03233671411799743,-0.03158463825399166,0.0,-0.03341723405663257
development-directional_smoothness-20240101-UNIUSDT,directional_smoothness,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,UNIUSDT,DeFi,25,0.19351701782820108,-0.3333333333333333,0.19351701782820108,0.3765923704204993,4.0,3.0,7.231,6.004,0.25,0.03457336467985064,21,-0.0010325030953787305,-0.0015487546430680956,-0.04242151846217676,-0.04269606555109945,-6.938893903907228e-18,-0.04372856864647818,-0.04315366948554833,-2.0816681711721685e-17,-0.04418617258092706,-0.04361127341999721,2.7755575615628914e-17,-0.04516002806306531
development-directional_smoothness-20240101-VETUSDT,directional_smoothness,2024-01-01T00:00:00+0000,2024-01-08T00:00:00+0000,2023-12-30T00:00:00+0000,VETUSDT,Layer-1,25,0.19224339685723835,-0.21904761904761905,0.19224339685723835,0.34793140067268036,5.0,5.0,0.03434,0.02862,0.25,7.2801397786837505,21,-0.0005759048964880605,-0.001043537583421666,-0.04164239953407106,-0.0419174140943506,3.469446951953614e-17,-0.042493318990838656,-0.042375796680256234,6.938893903907228e-18,-0.04295170157674429,-0.042834179266161926,1.3877787807814457e-17,-0.043877716849583595
development-directional_smoothness-20240115-ENSUSDT,directional_smoothness,2024-01-15T00:00:00+0000,2024-01-22T00:00:00+0000,2024-01-13T00:00:00+0000,ENSUSDT,Infrastructure,25,1.359447939922874,-0.29523809523809524,1.359447939922874,0.5165897726856165,1.0,1.0,23.711,18.458,0.25,0.010543629539032517,21,-0.0004706267224073215,-0.0007059400836109822,-0.05538568596853782,-0.05565245455695669,0.0,-0.056123081279364016,-0.05609710210239971,0.0,-0.05656772882480703,-0.05654174964784278,2.0816681711721685e-17,-0.05724768973145376
development-directional_smoothness-20240115-ETCUSDT,directional_smoothness,2024-01-15T00:00:00+0000,2024-01-22T00:00:00+0000,2024-01-13T00:00:00+0000,ETCUSDT,PoW,25,0.282657455589449,-0.4666666666666667,0.282657455589449,0.31480589197769726,2.0,3.0,26.496,24.526,0.25,0.009435386473429952,21,-0.0005059093957955919,-0.0007588640936933877,-0.018587711352656994,-0.01887655872584537,2.7755575615628914e-17,-0.019382468121640965,-0.019357982167119564,-1.0408340855860843e-17,-0.019863891562915157,-0.0198394056083937,3.469446951953614e-18,-0.02059826970208709
