trade_id,strategy_variant,entry_time,exit_time,decision_time,symbol,score,selection_rank,eligible_count,entry_price,exit_price,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-naive_all-20230102-TRXUSDT,naive_all,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,TRXUSDT,-0.023565208017713512,1,21,0.05476,0.05439,0.5,9.130752373995616,20,0.004673015642016982,0.0023001603779204704,-0.0033783783783783994,-0.0039763513513513815,-1.0408340855860843e-17,0.0006966642906656006,-0.004972975000000046,-6.852157730108388e-17,-0.000299959357983064,-0.005969598648648711,0.0,-0.0036694382707282403
development-naive_all-20230102-XRPUSDT,naive_all,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,XRPUSDT,-0.023685024925093563,2,21,0.3384,0.345,0.5,1.4775413711583925,20,0.0003056065149125296,-0.00037350876565839247,0.009751773049645363,0.009145921985815653,5.724587470723463e-17,0.009451528500728182,0.00813617606382988,1.9081958235744878e-17,0.00844178257874241,0.007126430141843998,3.642919299551295e-17,0.0067529213761856055
development-naive_all-20230102-RUNEUSDT,naive_all,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,RUNEUSDT,-0.023819381136645508,3,21,1.287,1.421,0.5,0.38850038850038854,20,-0.0009859675361305364,-0.0014789513041958047,0.05205905205905215,0.0514278166278167,2.0816681711721685e-17,0.05044184909168617,0.05037578881118898,1.3877787807814457e-17,0.04938982127505845,0.04932376099456104,2.7755575615628914e-17,0.04784480969036523
development-naive_all-20230102-ETCUSDT,naive_all,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,ETCUSDT,-0.023937613303034906,4,21,15.782,20.394,0.5,0.031681662653656066,20,0.0005432490439565391,-1.1531883168229645e-05,0.14611582815866175,0.14542815866176662,8.326672684688674e-17,0.14597140770572314,0.1442821305031048,-5.551115123125783e-17,0.14482537954706132,0.14313610234444307,5.551115123125783e-17,0.14312457046127483
development-naive_all-20230102-XMRUSDT,naive_all,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,XMRUSDT,-0.024063999551228784,5,21,148.46,155.36,0.5,0.003367910548295837,20,0.003358992816316461,0.0016794964081582305,0.023238582783241313,0.02262463963357142,6.938893903907228e-17,0.02598363244988788,0.021601414993937862,-6.938893903907228e-18,0.024960407810254322,0.020578190354304193,0.0,0.022257686762462425
development-naive_all-20230109-AVAXUSDT,naive_all,2023-01-09T00:00:00+0000,2023-01-16T00:00:00+0000,2023-01-08T00:00:00+0000,AVAXUSDT,-0.018478338748430412,1,22,12.087,16.817,0.5,0.04136675767353355,21,-0.0013826760607071236,-0.0023662800850666175,0.19566476379581366,0.19494736493753628,5.551115123125783e-17,0.19356468887682915,0.19375181757259863,-1.1102230246251565e-16,0.1923691415118915,0.1925562702076613,1.3877787807814457e-16,0.1901899901225947
development-naive_all-20230109-UNIUSDT,naive_all,2023-01-09T00:00:00+0000,2023-01-16T00:00:00+0000,2023-01-08T00:00:00+0000,UNIUSDT,-0.018618792438012354,2,22,5.578,6.595,0.5,0.08963786303334528,21,-0.0010889803051828974,-0.0016334704577743457,0.09116170670491208,0.0905070096808892,4.163336342344337e-17,0.08941802937570631,0.08941590267120836,-1.3877787807814457e-17,0.08832692236602546,0.08832479566152751,9.71445146547012e-17,0.08669132520375317
development-naive_all-20230109-XLMUSDT,naive_all,2023-01-09T00:00:00+0000,2023-01-16T00:00:00+0000,2023-01-08T00:00:00+0000,XLMUSDT,-0.018820174047007653,3,22,0.0772,0.08803,0.5,6.476683937823834,21,-0.0011171563924870466,-0.00167573458873057,0.07014248704663206,0.06950040155440407,-4.163336342344337e-17,0.06838324516191702,0.06843030115284976,0.0,0.06731314476036271,0.06736020075129534,8.326672684688674e-17,0.06568446616256476
development-naive_all-20230109-ENSUSDT,naive_all,2023-01-09T00:00:00+0000,2023-01-16T00:00:00+0000,2023-01-08T00:00:00+0000,ENSUSDT,-0.019114057951884006,5,22,12.076,14.04,0.5,0.04140443855581318,21,-0.0014866833880106576,-0.002230025082015986,0.08131831732361705,0.08066952633322289,1.3877787807814457e-17,0.07918284294521223,0.07958825680688963,-6.938893903907228e-17,0.07810157341887898,0.0785069872805565,8.326672684688674e-17,0.07627696219854051
development-naive_all-20230116-HBARUSDT,naive_all,2023-01-16T00:00:00+0000,2023-01-23T00:00:00+0000,2023-01-15T00:00:00+0000,HBARUSDT,-0.01716554100012881,3,24,0.05232,0.06901,0.5,9.556574923547402,21,0.0016937903907779052,9.752380777427363e-05,0.15949923547400613,0.1588035359327219,1.3877787807814457e-16,0.1604973263234998,0.1576441323967891,-5.551115123125783e-17,0.159337922787567,0.15648472886085618,-8.326672684688674e-17,0.15658225266863046
