trade_id,symbol,signal_time,entry_time,exit_time,direction,entry_price,exit_price,funding_rate_sum,funding_events,funding_return,return_z,volume_shock,quote_volume,favorable_price_cost_return,favorable_net_return,base_price_cost_return,base_net_return,stress_price_cost_return,stress_net_return
ALGOUSDT-20220226--1,ALGOUSDT,2022-02-25T00:00:00+00:00,2022-02-26T00:00:00+00:00,2022-02-27T00:00:00+00:00,-1,0.8293,0.859,-0.00017558,3,-0.00017558,1.72695343085,-0.435788495825,83965953.7284,-0.0370126169806,-0.0371881969806,-0.0390863173541,-0.0392618973541,-0.0411641734398,-0.0413397534398
ALGOUSDT-20220228-+1,ALGOUSDT,2022-02-27T00:00:00+00:00,2022-02-28T00:00:00+00:00,2022-03-01T00:00:00+00:00,1,0.7975,0.8671,0.00012305,2,-0.00012305,-1.71516505098,-0.288737239956,86413678.9198,0.0859687823669,0.0858457323669,0.08379901457,0.08367596457,0.0816335776469,0.0815105276469
ALGOUSDT-20220412-+1,ALGOUSDT,2022-04-11T00:00:00+00:00,2022-04-12T00:00:00+00:00,2022-04-13T00:00:00+00:00,1,0.6932,0.7254,2.933e-05,2,-2.933e-05,-1.81902648257,-0.190162707907,97626241.7515,0.0451962521275,0.0451669221275,0.0431079479275,0.0430786179275,0.0410238119993,0.0409944819993
ALGOUSDT-20220501-+1,ALGOUSDT,2022-04-30T00:00:00+00:00,2022-05-01T00:00:00+00:00,2022-05-02T00:00:00+00:00,1,0.5665,0.6008,-0.0002283,2,0.0002283,-2.6774319174,-0.135303228561,83348578.851,0.0592753262429,0.0595036262429,0.0571588920246,0.0573871920246,0.055046682226,0.055274982226
ALGOUSDT-20220519-+1,ALGOUSDT,2022-05-18T00:00:00+00:00,2022-05-19T00:00:00+00:00,2022-05-20T00:00:00+00:00,1,0.4334,0.4509,-0.00010851,2,0.00010851,-1.51801378889,-0.936013135518,102007577.858,0.0391306978619,0.0392392078619,0.0370545126513,0.0371630226513,0.0349824715231,0.0350909815231
ALGOUSDT-20220617-+1,ALGOUSDT,2022-06-16T00:00:00+00:00,2022-06-17T00:00:00+00:00,2022-06-18T00:00:00+00:00,1,0.3017,0.3099,0.0001836,3,-0.0001836,-2.02686552842,-0.130802257053,78770410.8199,0.0259474411475,0.0257638411475,0.0238975961103,0.0237139961103,0.0218518425801,0.0216682425801
ALGOUSDT-20220726-+1,ALGOUSDT,2022-07-25T00:00:00+00:00,2022-07-26T00:00:00+00:00,2022-07-27T00:00:00+00:00,1,0.3117,0.3112,0.00014629,3,-0.00014629,-2.21160532322,-0.44647338304,41337952.0453,-0.00280146317086,-0.00294775317086,-0.00479386783985,-0.00494015783985,-0.00678229565321,-0.00692858565321
ALGOUSDT-20220830--1,ALGOUSDT,2022-08-29T00:00:00+00:00,2022-08-30T00:00:00+00:00,2022-08-31T00:00:00+00:00,-1,0.2978,0.2915,0.0003,3,0.0003,1.62939791836,-1.26608104986,33912568.6552,0.0199558572446,0.0202558572446,0.0179962078705,0.0182962078705,0.0160326313435,0.0163326313435
ALGOUSDT-20221217-+1,ALGOUSDT,2022-12-16T00:00:00+00:00,2022-12-17T00:00:00+00:00,2022-12-18T00:00:00+00:00,1,0.1848,0.1942,-0.00019199,3,0.00019199,-3.0438682034,-0.192173591741,74900036.5446,0.0496055180744,0.0497975080744,0.0475084041522,0.0477003941522,0.0454154760861,0.0456074660861
ALGOUSDT-20221220-+1,ALGOUSDT,2022-12-19T00:00:00+00:00,2022-12-20T00:00:00+00:00,2022-12-21T00:00:00+00:00,1,0.174,0.1784,-5.418e-05,3,5.418e-05,-1.88039226248,-0.442336911092,54891731.7703,0.0240577492585,0.0241119292585,0.0220116798294,0.0220658598294,0.0199696943712,0.0200238743712
