entry_time,variant,eligible_count,tail_count,top_symbols,bottom_symbols,top_asset_return,top_excess_return,bottom_excess_return,top_minus_bottom_excess,rank_ic,signal_raw_spearman
2022-05-16T00:00:00Z,rmom_90_14,25,5,ETCUSDT|XLMUSDT|ZECUSDT|TRXUSDT|UNIUSDT,SOLUSDT|ENSUSDT|KAVAUSDT|AAVEUSDT|LINKUSDT,-0.0158949571491,0.0116998046472,0.045512290091,-0.0338124854438,0.0838461538462,0.805384615385
2022-05-23T00:00:00Z,rmom_90_14,25,5,HBARUSDT|ZECUSDT|BNBUSDT|ETCUSDT|KAVAUSDT,DASHUSDT|CRVUSDT|XRPUSDT|AVAXUSDT|RUNEUSDT,-0.0660333092049,0.0101227913495,-0.0148730668337,0.0249958581832,0.218461538462,0.81
2022-05-30T00:00:00Z,rmom_90_14,25,5,BNBUSDT|TRXUSDT|XMRUSDT|AAVEUSDT|ETCUSDT,HBARUSDT|RUNEUSDT|AVAXUSDT|NEARUSDT|BCHUSDT,0.00119236704482,-0.010697763927,-0.0109178053577,0.000220041430692,0.0269230769231,0.909230769231
2022-06-06T00:00:00Z,rmom_90_14,25,5,AAVEUSDT|XLMUSDT|TRXUSDT|LINKUSDT|1000XECUSDT,ZECUSDT|NEARUSDT|HBARUSDT|LTCUSDT|SOLUSDT,-0.178008854427,0.0281927744803,-0.0194185319649,0.0476113064452,0.244615384615,0.945384615385
2022-06-13T00:00:00Z,rmom_90_14,25,5,LINKUSDT|XLMUSDT|VETUSDT|RUNEUSDT|1000XECUSDT,NEARUSDT|SOLUSDT|ETCUSDT|CRVUSDT|LTCUSDT,-0.0717376676834,0.0127827331578,0.0479629731283,-0.0351802399705,0.0376923076923,0.9
2022-06-20T00:00:00Z,rmom_90_14,25,5,ENSUSDT|SOLUSDT|VETUSDT|XRPUSDT|1000XECUSDT,BNBUSDT|ETCUSDT|XMRUSDT|CRVUSDT|AAVEUSDT,0.0839143607502,-0.0329443334855,0.0107038221011,-0.0436481555866,-0.162307692308,0.827692307692
2022-06-27T00:00:00Z,rmom_90_14,24,5,UNIUSDT|SOLUSDT|DASHUSDT|LTCUSDT|ZILUSDT,ETCUSDT|BNBUSDT|KAVAUSDT|XMRUSDT|BCHUSDT,-0.131258247477,-0.0458317104664,0.0151020654381,-0.0609337759044,-0.486956521739,0.96
2022-07-04T00:00:00Z,rmom_90_14,24,5,CRVUSDT|UNIUSDT|SNXUSDT|BNBUSDT|ZILUSDT,DASHUSDT|HBARUSDT|ENSUSDT|BCHUSDT|ZECUSDT,0.100138047827,0.0252071698154,-0.0264743540737,0.0516815238891,0.240869565217,0.946086956522
2022-07-11T00:00:00Z,rmom_90_14,24,5,AAVEUSDT|CRVUSDT|UNIUSDT|TRXUSDT|BNBUSDT,DASHUSDT|LINKUSDT|ZILUSDT|XLMUSDT|ZECUSDT,0.0863197954639,0.0426607501573,-0.0423928083642,0.0850535585216,0.401739130435,0.953043478261
2022-07-18T00:00:00Z,rmom_90_14,24,5,UNIUSDT|AAVEUSDT|CRVUSDT|AVAXUSDT|BNBUSDT,VETUSDT|DASHUSDT|XLMUSDT|KAVAUSDT|ZILUSDT,0.110126944422,-0.0135430991884,-0.0697041712612,0.0561610720729,-0.0208695652174,0.934782608696
