trade_id,strategy_variant,entry_time,exit_time,signal_cutoff,symbol,category,eligible_count,ptv26,ptv52,ptv78,ptv52_zero,mom52,skew52,vol52,selection_score,selection_rank,entry_price,exit_price,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-ptv26-20220328-CRVUSDT,ptv26,2022-03-28T00:00:00+0000,2022-04-04T00:00:00+0000,2022-03-26T00:00:00+0000,CRVUSDT,DeFi,20,-0.07779948380502436,-0.09111484309276478,-0.11670338478731557,-0.18835976439835223,-0.259719909086821,0.2831914447946585,0.12237725893809462,-0.07779948380502436,2.0,2.615,2.948,0.25,0.09560229445506692,21,-0.00015960616252420648,-0.0004546942936121893,0.03183556405353727,0.031516462715105165,2.0816681711721685e-17,0.031356856552580956,0.030984646252390058,-2.0816681711721685e-17,0.030825040089865852,0.03045282978967495,2.0816681711721685e-17,0.029998135496062762
development-ptv26-20220328-SNXUSDT,ptv26,2022-03-28T00:00:00+0000,2022-04-04T00:00:00+0000,2022-03-26T00:00:00+0000,SNXUSDT,DeFi,20,-0.07962336366699095,-0.10724539161301097,-0.1025409523906873,-0.15319092509047413,-1.213112423529873,1.4660609528885404,0.12258940125136018,-0.07962336366699095,1.0,5.414,7.315,0.25,0.046176579239009974,21,-0.0006323571893239748,-0.0009485357839859624,0.087781677133358,0.08742900812707799,1.3877787807814457e-17,0.08679665093775402,0.0868412791189509,-2.7755575615628914e-17,0.08620892192962692,0.08625355011082375,-5.551115123125783e-17,0.08530501432683779
development-ptv26-20220404-UNIUSDT,ptv26,2022-04-04T00:00:00+0000,2022-04-11T00:00:00+0000,2022-04-02T00:00:00+0000,UNIUSDT,DeFi,20,-0.08388392301933617,-0.09006003196320886,-0.07437680691366139,-0.16457252296837852,-0.9120153639179245,0.22745288043435308,0.07497041424735372,-0.08388392301933617,1.0,11.872,9.88,0.25,0.021057951482479784,22,-0.0004449457220932193,-0.0006674185831398291,-0.04194743935309972,-0.04222227088948785,0.0,-0.04266721661158107,-0.0426803486185984,-5.551115123125783e-17,-0.04312529434069162,-0.0431384263477089,-1.3877787807814457e-17,-0.04380584493084873
development-ptv26-20220411-CRVUSDT,ptv26,2022-04-11T00:00:00+0000,2022-04-18T00:00:00+0000,2022-04-09T00:00:00+0000,CRVUSDT,DeFi,20,-0.08001888412630362,-0.07360757499172922,-0.09621361312262294,-0.18947113747760191,0.184044915605539,0.32245880400845417,0.11601626019511431,-0.08001888412630362,1.0,2.4,2.192,0.25,0.10416666666666667,20,0.0011471085705468125,0.0005722540508984063,-0.02166666666666664,-0.02195366666666662,2.0816681711721685e-17,-0.02080655809611981,-0.022432012999999945,0.0,-0.021284904429453133,-0.022910359333333297,-3.469446951953614e-18,-0.022338105282434892
development-ptv26-20220418-SNXUSDT,ptv26,2022-04-18T00:00:00+0000,2022-04-25T00:00:00+0000,2022-04-16T00:00:00+0000,SNXUSDT,DeFi,22,-0.07450043901108469,-0.09108366534010602,-0.09758949895600129,-0.16088315306897905,-0.8097863012684984,1.53177320283603,0.1220784954909225,-0.07450043901108469,3.0,4.99,5.87,0.25,0.0501002004008016,21,0.0001733471184990481,-0.00019569018340590179,0.0440881763527054,0.043761723446893774,-6.938893903907228e-18,0.04393507056539282,0.043217661723446876,-4.163336342344337e-17,0.043391008841945924,0.042673600000000034,6.938893903907228e-18,0.042477909816594134
development-ptv26-20220418-UNIUSDT,ptv26,2022-04-18T00:00:00+0000,2022-04-25T00:00:00+0000,2022-04-16T00:00:00+0000,UNIUSDT,DeFi,22,-0.09030619254796174,-0.07558817511467522,-0.06710728772926892,-0.173985057767663,-0.7310462134763976,0.6269602292538807,0.06979507562497964,-0.09030619254796174,1.0,9.229,8.704,0.25,0.027088525300682634,21,-0.0004597073716897389,-0.0007010498710572004,-0.014221475782858345,-0.014512942897388609,2.2551405187698492e-17,-0.014972650269078347,-0.014998729954491224,-3.469446951953614e-18,-0.015458437326180963,-0.01548451701159384,2.2551405187698492e-17,-0.01618556688265104
development-ptv26-20220425-CRVUSDT,ptv26,2022-04-25T00:00:00+0000,2022-05-02T00:00:00+0000,2022-04-23T00:00:00+0000,CRVUSDT,DeFi,22,-0.07940011251258901,-0.06052473926271308,-0.08364407927644885,-0.17187524029610035,0.40874481587207845,0.4698101791108594,0.11239846271527035,-0.07940011251258901,2.0,2.7,2.065,0.25,0.09259259259259259,21,0.0008946488240626388,0.0004442505601794676,-0.05879629629629632,-0.05906101851851853,6.938893903907228e-18,-0.05816636969445589,-0.059502257500000016,0.0,-0.05860760867593738,-0.05994349648148148,6.938893903907228e-18,-0.05949924592130201
development-ptv26-20220425-VETUSDT,ptv26,2022-04-25T00:00:00+0000,2022-05-02T00:00:00+0000,2022-04-23T00:00:00+0000,VETUSDT,Layer-1,22,-0.07168159198096223,-0.08169809894810696,-0.060853416344990544,-0.184212084384001,-0.8416598855205505,0.13458423214414694,0.06753759984184877,-0.07168159198096223,3.0,0.05587,0.04843,0.25,4.474673348845534,21,-0.0002319657756327188,-0.00041528829026132093,-0.03329156971541078,-0.033571594773581515,1.3877787807814457e-17,-0.03380356054921423,-0.03403832317880795,-2.0816681711721685e-17,-0.03427028895444067,-0.03450505158403436,0.0,-0.03492033987429568
development-ptv26-20220502-RUNEUSDT,ptv26,2022-05-02T00:00:00+0000,2022-05-09T00:00:00+0000,2022-04-30T00:00:00+0000,RUNEUSDT,DeFi,22,-0.07331686080777572,-0.08025460098595479,-0.061028923161822166,-0.1913982216100613,-0.1395878161552973,0.9222817053791326,0.134030235012698,-0.07331686080777572,3.0,6.395,5.759,0.25,0.03909304143862393,22,-0.0002237345561146404,-0.0003900242149041342,-0.024863174354964795,-0.025148256450351764,4.85722573273506e-17,-0.025371991006466404,-0.025623408193901492,-3.8163916471489756e-17,-0.025847142750016133,-0.026098559937451055,3.469446951953614e-17,-0.02648858415235519
development-ptv26-20220502-UNIUSDT,ptv26,2022-05-02T00:00:00+0000,2022-05-09T00:00:00+0000,2022-04-30T00:00:00+0000,UNIUSDT,DeFi,22,-0.08579955501760253,-0.08363361929458492,-0.06492191819028682,-0.18997453968929554,-0.9886017243746383,0.7291654575072266,0.06779966331292965,-0.08579955501760253,2.0,7.109,7.093,0.25,0.03516669011112674,22,-0.00026818803532324513,-0.0004861644922331447,-0.0005626670417780422,-0.0008623294415529559,5.637851296924623e-18,-0.001130517476876201,-0.0013617671121113895,-1.0625181290357943e-17,-0.0016299551474346346,-0.001861204782669823,4.553649124439119e-18,-0.0023473692749029678
