trade_id,stage,strategy_variant,entry_time,decision_time,exit_time,symbol,category,direction,score,selection_rank,eligible_count,entry_price,exit_price,hold_days,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_price_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,favorable_after_hurdle_return,base_price_cost_return,base_reconciliation_error,base_net_return,base_after_hurdle_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return,stress_after_hurdle_return
evaluation-extreme5-20250101-BNBUSDT-LONG,evaluation,extreme5,2025-01-01T00:00:00+0000,2024-12-31T00:00:00+0000,2025-02-01T00:00:00+0000,BNBUSDT,Layer-1,LONG,0.5219450145197776,1,25,702.13,677.79,31,0.25,0.00035605941919587543,93,0.000641254159588161,2.3873693327727634e-05,-0.008666486263227607,-0.008961286371469646,3.8163916471489756e-17,-0.008320032211881484,-0.011617896070327705,-0.00945262508509817,-8.673617379884035e-18,-0.00881137092551001,-0.012107600821147035,-0.009943963798726724,3.8163916471489756e-17,-0.009920090105398996,-0.013212632919486267
evaluation-extreme5-20250101-SOLUSDT-LONG,evaluation,extreme5,2025-01-01T00:00:00+0000,2024-12-31T00:00:00+0000,2025-02-01T00:00:00+0000,SOLUSDT,Layer-1,LONG,0.7335853884436355,2,25,189.22,231.6,31,0.25,0.001321213402388754,93,-0.0004009748585308003,-0.0013493200982862483,0.05599302399323536,0.05565942817883951,6.245004513516506e-17,0.05525845332030871,0.05174915714859418,0.05510346875066069,3.469446951953614e-17,0.05470249389212989,0.05119504658150409,0.05454750932248176,6.938893903907228e-18,0.05319818922419551,0.04969574452747505
evaluation-extreme5-20250101-XMRUSDT-LONG,evaluation,extreme5,2025-01-01T00:00:00+0000,2024-12-31T00:00:00+0000,2025-02-01T00:00:00+0000,XMRUSDT,PoW,LONG,0.8251689907568415,3,25,193.76,238.6,31,0.25,0.0012902559867877788,93,-0.0016116492745662165,-0.00370407156215127,0.05785507844756399,0.05752036540049549,2.0816681711721685e-17,0.05590871612592927,0.05239725748418933,0.05696254503509496,-6.938893903907228e-17,0.05535089576052874,0.05184129216848454,0.056404724669694484,1.3877787807814457e-17,0.05270065310754321,0.04919986298329637
evaluation-extreme5-20250101-BCHUSDT-LONG,evaluation,extreme5,2025-01-01T00:00:00+0000,2024-12-31T00:00:00+0000,2025-02-01T00:00:00+0000,BCHUSDT,Payment,LONG,0.8445742106728424,4,25,434.35,424.11,31,0.25,0.0005755726948313572,93,-0.0019889485442003397,-0.003062939477721595,-0.005893864395073112,-0.006190328076436047,1.1275702593849246e-17,-0.008179276620636387,-0.011477608566361042,-0.006684437748359612,-3.382710778154774e-17,-0.008673386292559952,-0.011970075060563912,-0.0071785474202832045,-8.673617379884035e-18,-0.0102414868980048,-0.013532960896646462
evaluation-extreme5-20250101-ETCUSDT-LONG,evaluation,extreme5,2025-01-01T00:00:00+0000,2024-12-31T00:00:00+0000,2025-02-01T00:00:00+0000,ETCUSDT,PoW,LONG,0.9075920897823203,5,25,25.036,26.833,31,0.25,0.009985620706183095,93,-0.002186015261873866,-0.0033329335051144444,0.01794416040901098,0.017633393912765583,-3.469446951953614e-18,0.015447378650891717,0.012070475497673927,0.01711546051885282,-3.469446951953614e-17,0.014929445256978955,0.01155426450804109,0.01659752712494006,0.0,0.013264593619825614,0.0098949493889402
evaluation-extreme5-20250101-HBARUSDT-SHORT,evaluation,extreme5,2025-01-01T00:00:00+0000,2024-12-31T00:00:00+0000,2025-02-01T00:00:00+0000,HBARUSDT,Layer-1,SHORT,1.8060272984437082,1,25,0.26882,0.30644,31,0.25,0.9299903281005878,93,0.0017462475887274015,0.0005809519671504167,-0.03498623614314411,-0.03530722788483001,-2.7755575615628914e-17,-0.03356098029610261,-0.03677490456401189,-0.03584223511271481,-2.7755575615628914e-17,-0.03409598752398741,-0.03730813260802868,-0.036377242340599664,-2.0816681711721685e-17,-0.035796290373449245,-0.0390027810452831
evaluation-extreme5-20250101-XLMUSDT-SHORT,evaluation,extreme5,2025-01-01T00:00:00+0000,2024-12-31T00:00:00+0000,2025-02-01T00:00:00+0000,XLMUSDT,Layer-2,SHORT,1.6354997646355873,2,25,0.33255,0.41403,31,0.25,0.7517666516313336,93,0.0012870919470894602,-3.707815032829655e-05,-0.061253946774921075,-0.061590699142986066,-5.551115123125783e-17,-0.06030360719589661,-0.06342859799172051,-0.06215198984212897,-1.3877787807814457e-17,-0.06086489789503951,-0.0639880221004604,-0.06271328054127195,1.3877787807814457e-17,-0.06275035869160026,-0.06586721273606255
evaluation-extreme5-20250101-TRXUSDT-SHORT,evaluation,extreme5,2025-01-01T00:00:00+0000,2024-12-31T00:00:00+0000,2025-02-01T00:00:00+0000,TRXUSDT,Layer-1,SHORT,1.6027470001919342,3,25,0.25456,0.25361,31,0.25,0.9820867379006913,93,0.0012994439926342512,0.00020839685924187818,0.000932982401005672,0.0006335421904462568,-9.75781955236954e-18,0.001932986183080508,-0.0013989744201855503,0.00013447573263672408,-1.3796472644878044e-17,0.0014339197252709753,-0.001896381216322296,-0.0003645907251727809,9.920449878242366e-18,-0.00015619386593090272,-0.003481206833264916
evaluation-extreme5-20250101-ENSUSDT-SHORT,evaluation,extreme5,2025-01-01T00:00:00+0000,2024-12-31T00:00:00+0000,2025-02-01T00:00:00+0000,ENSUSDT,Infrastructure,SHORT,1.4340946339655314,4,25,32.983,34.045,31,0.25,0.00757966225025013,93,0.001790222646851278,0.000726924479768405,-0.008049601309765675,-0.008354431070551532,1.734723475976807e-18,-0.006564208423700254,-0.00986791133103404,-0.00886248550162208,6.938893903907228e-18,-0.007072262854770802,-0.010374276210635691,-0.009370539932692656,-1.214306433183765e-17,-0.00864361545292425,-0.011940403224819818
evaluation-extreme5-20250101-VETUSDT-SHORT,evaluation,extreme5,2025-01-01T00:00:00+0000,2024-12-31T00:00:00+0000,2025-02-01T00:00:00+0000,VETUSDT,Layer-1,SHORT,1.3875993760849206,5,25,0.043127,0.046653,31,0.25,5.796832610661535,93,0.0024441513637697963,0.0012146776264555848,-0.02043963178519259,-0.02075189556426374,-4.163336342344337e-17,-0.01830774420049394,-0.021572393599169182,-0.021272347459827867,3.8163916471489756e-17,-0.01882819609605807,-0.022091114715094506,-0.021792799355392217,1.734723475976807e-17,-0.02057812172893663,-0.023835220913591804
