trade_id,stage,strategy_variant,entry_time,decision_time,exit_time,symbol,category,direction,score,selection_rank,eligible_count,entry_price,exit_price,hold_days,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_price_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,favorable_after_hurdle_return,base_price_cost_return,base_reconciliation_error,base_net_return,base_after_hurdle_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return,stress_after_hurdle_return
evaluation-rv120-20250101-BNBUSDT-LONG,evaluation,rv120,2025-01-01T00:00:00+0000,2024-12-31T00:00:00+0000,2025-02-01T00:00:00+0000,BNBUSDT,Layer-1,LONG,0.5004199726699263,1,25,702.13,677.79,31,0.25,0.00035605941919587543,93,0.000641254159588161,2.3873693327727634e-05,-0.008666486263227607,-0.008961286371469646,3.8163916471489756e-17,-0.008320032211881484,-0.011617896070327705,-0.00945262508509817,-8.673617379884035e-18,-0.00881137092551001,-0.012107600821147035,-0.009943963798726724,3.8163916471489756e-17,-0.009920090105398996,-0.013212632919486267
evaluation-rv120-20250101-SOLUSDT-LONG,evaluation,rv120,2025-01-01T00:00:00+0000,2024-12-31T00:00:00+0000,2025-02-01T00:00:00+0000,SOLUSDT,Layer-1,LONG,0.7071970575829424,2,25,189.22,231.6,31,0.25,0.001321213402388754,93,-0.0004009748585308003,-0.0013493200982862483,0.05599302399323536,0.05565942817883951,6.245004513516506e-17,0.05525845332030871,0.05174915714859418,0.05510346875066069,3.469446951953614e-17,0.05470249389212989,0.05119504658150409,0.05454750932248176,6.938893903907228e-18,0.05319818922419551,0.04969574452747505
evaluation-rv120-20250101-XMRUSDT-LONG,evaluation,rv120,2025-01-01T00:00:00+0000,2024-12-31T00:00:00+0000,2025-02-01T00:00:00+0000,XMRUSDT,PoW,LONG,0.7515648604057611,3,25,193.76,238.6,31,0.25,0.0012902559867877788,93,-0.0016116492745662165,-0.00370407156215127,0.05785507844756399,0.05752036540049549,2.0816681711721685e-17,0.05590871612592927,0.05239725748418933,0.05696254503509496,-6.938893903907228e-17,0.05535089576052874,0.05184129216848454,0.056404724669694484,1.3877787807814457e-17,0.05270065310754321,0.04919986298329637
evaluation-rv120-20250101-HBARUSDT-SHORT,evaluation,rv120,2025-01-01T00:00:00+0000,2024-12-31T00:00:00+0000,2025-02-01T00:00:00+0000,HBARUSDT,Layer-1,SHORT,1.602463108982673,1,25,0.26882,0.30644,31,0.25,0.9299903281005878,93,0.0017462475887274015,0.0005809519671504167,-0.03498623614314411,-0.03530722788483001,-2.7755575615628914e-17,-0.03356098029610261,-0.03677490456401189,-0.03584223511271481,-2.7755575615628914e-17,-0.03409598752398741,-0.03730813260802868,-0.036377242340599664,-2.0816681711721685e-17,-0.035796290373449245,-0.0390027810452831
evaluation-rv120-20250101-XLMUSDT-SHORT,evaluation,rv120,2025-01-01T00:00:00+0000,2024-12-31T00:00:00+0000,2025-02-01T00:00:00+0000,XLMUSDT,Layer-2,SHORT,1.4320338399255395,2,25,0.33255,0.41403,31,0.25,0.7517666516313336,93,0.0012870919470894602,-3.707815032829655e-05,-0.061253946774921075,-0.061590699142986066,-5.551115123125783e-17,-0.06030360719589661,-0.06342859799172051,-0.06215198984212897,-1.3877787807814457e-17,-0.06086489789503951,-0.0639880221004604,-0.06271328054127195,1.3877787807814457e-17,-0.06275035869160026,-0.06586721273606255
evaluation-rv120-20250101-TRXUSDT-SHORT,evaluation,rv120,2025-01-01T00:00:00+0000,2024-12-31T00:00:00+0000,2025-02-01T00:00:00+0000,TRXUSDT,Layer-1,SHORT,1.391069954466444,3,25,0.25456,0.25361,31,0.25,0.9820867379006913,93,0.0012994439926342512,0.00020839685924187818,0.000932982401005672,0.0006335421904462568,-9.75781955236954e-18,0.001932986183080508,-0.0013989744201855503,0.00013447573263672408,-1.3796472644878044e-17,0.0014339197252709753,-0.001896381216322296,-0.0003645907251727809,9.920449878242366e-18,-0.00015619386593090272,-0.003481206833264916
evaluation-rv120-20250201-RUNEUSDT-SHORT,evaluation,rv120,2025-02-01T00:00:00+0000,2025-01-31T00:00:00+0000,2025-03-01T00:00:00+0000,RUNEUSDT,DeFi,SHORT,1.472310656758919,3,24,2.123,1.29,28,0.25,0.11775788977861515,83,-0.00037255116008748227,-0.0012497605343124057,0.09809232218558644,0.09785117757889777,-2.7755575615628914e-17,0.09747862641881029,0.0941815914421924,0.09744932875647672,1.3877787807814457e-17,0.09707677759638923,0.09378094985022734,0.09704747993405557,1.3877787807814457e-17,0.09579771939974317,0.09250573418819652
evaluation-rv120-20250301-BNBUSDT-LONG,evaluation,rv120,2025-03-01T00:00:00+0000,2025-02-28T00:00:00+0000,2025-04-01T00:00:00+0000,BNBUSDT,Layer-1,LONG,0.5583243868317952,1,21,587.83,604.62,31,0.25,0.000425293026895531,92,0.0026131864612781385,0.0013065932306390692,0.007140669921575971,0.006836385519623012,7.806255641895632e-18,0.00944957198090115,0.006092614728063772,0.006329249134103376,-4.9439619065339e-17,0.008942435595381515,0.005587164841023062,0.005822112748583741,-1.0408340855860843e-17,0.00712870597922281,0.0037794668414588006
evaluation-rv120-20250301-XMRUSDT-LONG,evaluation,rv120,2025-03-01T00:00:00+0000,2025-02-28T00:00:00+0000,2025-04-01T00:00:00+0000,XMRUSDT,PoW,LONG,0.7946521204797113,2,21,217.9,214.97,31,0.25,0.0011473152822395593,92,-0.004905696265935928,-0.0075012079580286245,-0.0033616337769619142,-0.0036596167966957416,-2.6020852139652106e-18,-0.008565313062631669,-0.011862361231662732,-0.004156257179899037,-1.5612511283791264e-17,-0.009061953445834964,-0.012357350021182989,-0.0046528975631023595,-2.5153490401663703e-17,-0.012154105521130984,-0.015439219044582009
evaluation-rv120-20250301-BCHUSDT-LONG,evaluation,rv120,2025-03-01T00:00:00+0000,2025-02-28T00:00:00+0000,2025-04-01T00:00:00+0000,BCHUSDT,Payment,LONG,0.8388796559755765,3,21,315.57,303.28,31,0.25,0.000792217257660741,92,0.00017528195186224346,-0.000817506658138266,-0.009736350096650526,-0.010030508286592493,3.9898639947466563e-17,-0.00985522633473025,-0.01314798485538815,-0.010520777778305901,0.0,-0.010345495826443658,-0.013636623940024517,-0.011011047270019392,-2.949029909160572e-17,-0.011828553928157657,-0.015114750083977446
