trade_id,strategy_variant,entry_time,exit_time,decision_time,symbol,score,selection_rank,eligible_count,entry_price,exit_price,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-main-20240226-CRVUSDT,main,2024-02-26T00:00:00+0000,2024-03-04T00:00:00+0000,2024-02-25T00:00:00+0000,CRVUSDT,-0.09104704097116856,2,23,0.6,0.669,0.25,0.4166666666666667,21,-0.00227711647601775,-0.003415674714026625,0.028750000000000053,0.028432750000000062,3.8163916471489756e-17,0.026155633523982313,0.027904017250000024,-1.734723475976807e-17,0.025626900773982275,0.027375284500000097,3.8163916471489756e-17,0.02395960978597347
development-main-20240226-XMRUSDT,main,2024-02-26T00:00:00+0000,2024-03-04T00:00:00+0000,2024-02-25T00:00:00+0000,XMRUSDT,-0.235497114297614,1,23,128.5,151.02,0.25,0.0019455252918287938,21,-0.003980990209375127,-0.00597148531406269,0.04381322957198447,0.04348694163424127,6.938893903907228e-18,0.03950595142486615,0.042943154692607066,-3.469446951953614e-17,0.03896216448323194,0.04239936775097275,-1.3877787807814457e-17,0.03642788243691006
development-main-20240226-ZECUSDT,main,2024-02-26T00:00:00+0000,2024-03-04T00:00:00+0000,2024-02-25T00:00:00+0000,ZECUSDT,-0.06814367237327956,4,23,27.77,31.68,0.25,0.009002520705797623,21,-0.0031642570376789005,-0.00474638555651835,0.035199855959668735,0.03487873604609293,2.0816681711721685e-17,0.03171447900841403,0.03434355731004679,-4.163336342344337e-17,0.03117930027236789,0.033808378574000764,4.163336342344337e-17,0.029061993017482413
development-main-20240304-RUNEUSDT,main,2024-03-04T00:00:00+0000,2024-03-11T00:00:00+0000,2024-03-03T00:00:00+0000,RUNEUSDT,-0.06783297573857083,2,24,5.649,8.592,0.25,0.044255620463798905,21,-0.004494438767241914,-0.006741658150862872,0.1302442910249602,0.12986614445034528,8.326672684688674e-17,0.12537170568310335,0.1292359783058949,0.0,0.12474153953865298,0.12860581216144457,2.7755575615628914e-17,0.12186415401058169
development-main-20240304-SNXUSDT,main,2024-03-04T00:00:00+0000,2024-03-11T00:00:00+0000,2024-03-03T00:00:00+0000,SNXUSDT,0.08677584942556815,4,24,4.446,4.374,0.25,0.05623031938821413,21,-0.0026159867742724416,-0.003923980161408663,-0.0040485829959514275,-0.004346153846153833,1.6479873021779667e-17,-0.006962140620426275,-0.0048421076923076956,3.469446951953614e-18,-0.0074580944665801376,-0.00533806153846153,1.734723475976807e-17,-0.009262041699870193
development-main-20240311-AAVEUSDT,main,2024-03-11T00:00:00+0000,2024-03-18T00:00:00+0000,2024-03-10T00:00:00+0000,AAVEUSDT,0.16721823864680996,2,25,126.99,126.99,0.25,0.0019686589495235846,21,-0.001789775917961849,-0.0026846638769427735,0.0,-0.0002999999999999947,5.2583805365546965e-18,-0.002089775917961844,-0.0007999999999999952,1.951563910473908e-18,-0.0025897759179618444,-0.0012999999999999956,-1.3010426069826053e-18,-0.0039846638769427695
development-main-20240311-DASHUSDT,main,2024-03-11T00:00:00+0000,2024-03-18T00:00:00+0000,2024-03-10T00:00:00+0000,DASHUSDT,0.2717254408060452,4,25,40.39,37.2,0.25,0.006189650903689032,21,-0.001495464461819399,-0.0022431966927290983,-0.019744986382768004,-0.020033139390938287,4.85722573273506e-17,-0.021528603852757688,-0.02051340625154735,1.0408340855860843e-17,-0.02200887071336675,-0.02099367311215644,-1.3877787807814457e-17,-0.02323686980488554
development-main-20240311-ZECUSDT,main,2024-03-11T00:00:00+0000,2024-03-18T00:00:00+0000,2024-03-10T00:00:00+0000,ZECUSDT,0.25473449684366867,3,25,33.78,29.29,0.25,0.007400828892835998,21,-0.002066514113138295,-0.003099771169707442,-0.03322972172883365,-0.03350978389579631,2.7755575615628914e-17,-0.03557629800893461,-0.0339765741119005,-6.938893903907228e-18,-0.036043088225038794,-0.03444336432800474,6.938893903907228e-18,-0.03754313549771218
development-main-20240318-CRVUSDT,main,2024-03-18T00:00:00+0000,2024-03-25T00:00:00+0000,2024-03-17T00:00:00+0000,CRVUSDT,0.33914728682170536,4,25,0.691,0.682,0.25,0.36179450072358904,21,-0.000580860004830427,-0.0008712900072456405,-0.003256150506512262,-0.0035541968162083326,2.42861286636753e-17,-0.004135056821038759,-0.004050942619392123,-2.949029909160572e-17,-0.0046318026242225495,-0.004547688422575941,8.673617379884035e-18,-0.005418978429821581
development-main-20240318-LTCUSDT,main,2024-03-18T00:00:00+0000,2024-03-25T00:00:00+0000,2024-03-17T00:00:00+0000,LTCUSDT,0.33857409713574094,2,25,85.99,89.71,0.25,0.0029073148040469825,21,-0.0007972298353187563,-0.0011958447529781344,0.010815211071054764,0.010508721944412158,2.0816681711721685e-17,0.009711492109093401,0.009997913222467791,4.163336342344337e-17,0.009200683387149034,0.009487104500523313,-5.204170427930421e-18,0.008291259747545179
